symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CD300A,2026,-0.49,0.23,-2.1,1.5,0.42
RAB24,780,-0.79,0.37,-2.1,1.49,0.42
ATF7IP,2042,0.38,0.18,2.1,1.5,0.42
GTPBP2,886,-0.71,0.33,-2.1,1.5,0.42
NPM1,14473,0.43,0.2,2.2,1.5,0.42
MT.CO1,1289900,-1.69,0.79,-2.1,1.49,0.42
AATBC,159,-1.3,0.6,-2.2,1.51,0.42
MT.ATP8,49343,-1.51,0.7,-2.1,1.5,0.42
SERPINB9P1,237,0.88,0.41,2.1,1.5,0.42
PRAF2,218,0.55,0.26,2.1,1.5,0.42
LINC02481,97,0.72,0.33,2.1,1.5,0.42
MTATP6P1,41099,-1.68,0.78,-2.1,1.5,0.42
RN7SL1,371,-0.8,0.37,-2.2,1.5,0.42
POLR1HASP.1,621,-0.79,0.37,-2.1,1.49,0.42
ADISSP,606,-0.68,0.32,-2.1,1.49,0.42
ZC2HC1A,125,-0.76,0.36,-2.1,1.49,0.42
TTYH2,525,-0.39,0.18,-2.1,1.49,0.42
CYP2U1,244,0.5,0.23,2.1,1.49,0.42
GSAP,839,-0.62,0.29,-2.1,1.49,0.42
PI4KA,1255,-0.39,0.18,-2.1,1.49,0.42
NUDT3,1340,-0.27,0.13,-2.1,1.49,0.42
INO80B,236,-0.46,0.21,-2.1,1.49,0.42
USP44,63,1.37,0.64,2.1,1.49,0.42
MBD6,574,-0.93,0.43,-2.1,1.49,0.42
POLR2L,463,-0.45,0.21,-2.1,1.49,0.42
RPL15P3,74,0.57,0.27,2.1,1.49,0.42
SF3A3,1819,0.37,0.17,2.1,1.49,0.42
SELENOO,156,-0.79,0.37,-2.1,1.48,0.41
TLE5,7231,0.48,0.22,2.1,1.48,0.41
GBF1,742,-0.48,0.23,-2.1,1.48,0.41
VASP,4645,-0.4,0.19,-2.1,1.48,0.41
RPL30,25746,0.42,0.2,2.1,1.48,0.41
TGFBR2,3733,0.4,0.19,2.1,1.48,0.41
NCKAP5L,239,-0.64,0.3,-2.1,1.48,0.41
LPCAT2,1085,-0.55,0.26,-2.1,1.48,0.41
SLC24A4,807,-0.74,0.35,-2.1,1.48,0.41
PPIP5K2,1322,-0.45,0.21,-2.1,1.48,0.41
SLAMF6,1637,0.9,0.42,2.1,1.48,0.41
DERPC,493,-0.44,0.21,-2.1,1.48,0.41
PF4V1,154,-1.62,0.76,-2.1,1.48,0.41
ARAP3,198,-0.76,0.36,-2.1,1.48,0.41
DDX56,528,-0.45,0.21,-2.1,1.48,0.41
CYFIP2,4531,0.54,0.25,2.1,1.47,0.41
HLTF,264,0.78,0.37,2.1,1.47,0.41
GTF2H3,586,0.47,0.22,2.1,1.47,0.41
ARRB1,2417,-0.43,0.2,-2.1,1.47,0.41
HDGFL3,266,0.92,0.43,2.1,1.47,0.41
HARBI1,87,-0.76,0.36,-2.1,1.47,0.41
IFI30,13560,-0.51,0.24,-2.1,1.47,0.41
IGHV3.30,133,1.07,0.5,2.1,1.47,0.41
IGFBP4,79,0.89,0.42,2.1,1.47,0.41
CD151,593,-0.88,0.41,-2.1,1.47,0.41
RHOBTB2,326,0.43,0.2,2.1,1.47,0.41
TRMT2A,371,-0.65,0.31,-2.1,1.47,0.41
PGM3,280,-0.85,0.4,-2.1,1.46,0.41
BIRC3,3552,0.72,0.34,2.1,1.47,0.41
NFATC2,1499,0.8,0.38,2.1,1.47,0.41
SLC27A1,280,-0.56,0.27,-2.1,1.46,0.41
CNPY3,3477,-0.41,0.19,-2.1,1.46,0.41
RHOB,1458,-0.89,0.42,-2.1,1.46,0.41
FGD6,178,-0.7,0.33,-2.1,1.46,0.41
LRRC75A,332,1.35,0.64,2.1,1.47,0.41
MSRB1,1087,-0.62,0.29,-2.1,1.46,0.41
DENND11,1521,0.59,0.28,2.1,1.46,0.41
P2RY14,220,0.58,0.27,2.1,1.46,0.41
MT.ND4,624700,-1.7,0.81,-2.1,1.46,0.41
CORO7,1074,-0.67,0.32,-2.1,1.46,0.41
CD3G,2241,0.85,0.4,2.1,1.46,0.41
