symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MIR646HG,93,-0.68,0.41,-1.7,1.02,0.3
FAM157C,104,-1.36,0.82,-1.7,1.02,0.3
RCC1L,448,0.44,0.27,1.7,1.01,0.3
NEFL,149,0.93,0.56,1.7,1.02,0.3
PPAT,266,0.58,0.35,1.7,1.01,0.3
SNRK,2238,0.34,0.2,1.7,1.01,0.3
CDC42BPB,304,-0.53,0.32,-1.7,1.01,0.3
AKT1S1,247,-0.37,0.22,-1.7,1.01,0.3
ACIN1,2071,-0.67,0.4,-1.7,1.01,0.3
IMPDH1,1350,-0.37,0.22,-1.7,1.01,0.3
ACVR2A,219,-0.58,0.35,-1.7,1.01,0.3
INTS11,683,-0.46,0.28,-1.7,1.01,0.3
TMEM65,556,-0.34,0.21,-1.7,1.01,0.3
FRAT1,610,-0.31,0.19,-1.7,1.01,0.3
ZNF16,79,0.48,0.29,1.7,1.01,0.3
CD247,3183,0.65,0.39,1.7,1.01,0.3
RPL30.AS1,79,-1.21,0.73,-1.7,1.01,0.3
MAP2K3,1407,-0.31,0.19,-1.7,1.01,0.3
ATP11A,965,-0.48,0.29,-1.7,1.01,0.3
ARSA,377,-0.55,0.33,-1.7,1.01,0.3
GIT1,631,0.3,0.18,1.7,1.01,0.3
IRAG2,1094,-0.22,0.13,-1.7,1.01,0.3
PHF11,1051,-0.32,0.2,-1.7,1.01,0.3
PPP4C,1491,-0.27,0.16,-1.7,1.01,0.3
COX8A,931,-0.39,0.23,-1.7,1.01,0.3
TOMM7,4099,0.27,0.17,1.7,1.01,0.3
ANKRD44.AS1,70,0.68,0.41,1.7,1.01,0.3
PCID2,646,0.31,0.19,1.7,1.01,0.3
DELE1,828,-0.4,0.24,-1.7,1.01,0.3
NCALD,435,0.8,0.48,1.7,1.01,0.3
TMOD2,436,-0.52,0.32,-1.7,1.01,0.3
UBR1,655,0.37,0.22,1.7,1.01,0.3
MRPL48,446,0.29,0.18,1.7,1.01,0.3
PARP10,712,-0.6,0.36,-1.7,1.01,0.3
CNOT7,2731,0.34,0.21,1.7,1.01,0.3
IGLV2.14,180,1.01,0.61,1.7,1.01,0.3
TIPARP.AS1,73,-0.67,0.41,-1.7,1.01,0.3
NFKBIA,1765,-0.71,0.43,-1.7,1,0.3
PLCL2,1998,0.38,0.23,1.7,1.01,0.3
MATK,599,0.66,0.4,1.6,1,0.3
SLC4A4,74,0.87,0.53,1.6,1,0.3
LGALS2,1408,-0.98,0.59,-1.6,1,0.3
C1orf54,97,-0.88,0.54,-1.6,1,0.3
FAM174A,94,-0.45,0.28,-1.6,1,0.3
CAMKK1,96,-0.64,0.39,-1.6,1,0.3
CEP76,86,0.71,0.43,1.6,1,0.3
B3GAT1,77,1.13,0.69,1.6,1,0.3
PTCD3,969,-0.55,0.33,-1.6,1,0.3
IL16,3889,0.32,0.2,1.6,1,0.3
TTC3,2206,0.34,0.21,1.6,1,0.3
C11orf21,1021,-0.63,0.38,-1.6,1,0.3
TOP1MT,337,0.47,0.29,1.6,1,0.3
HBA1,303,-1.87,1.14,-1.6,1,0.3
CYBA,6005,-0.34,0.2,-1.6,1,0.3
PICK1,149,-0.48,0.29,-1.6,1,0.3
PRDX2,832,0.45,0.27,1.6,1,0.3
ALG13,455,-0.33,0.2,-1.6,1,0.3
MXI1,614,0.34,0.21,1.6,1,0.3
RNF113A,552,0.3,0.18,1.6,1,0.3
WDR82,5380,0.41,0.25,1.6,1,0.3
GLRX,2355,-0.36,0.22,-1.6,1,0.3
PDPR2P.1,105,-0.89,0.54,-1.6,1,0.3
IFI35,635,-0.44,0.27,-1.6,1,0.3
PIP4K2A,5761,0.55,0.33,1.6,1,0.3
FAM107B,6045,0.56,0.34,1.6,1,0.3
SMIM11,332,0.29,0.18,1.6,1,0.3
MT.RNR2,885121,-1.49,0.91,-1.6,1,0.3
MRI1,264,-0.87,0.53,-1.6,0.99,0.3
MOSPD1,203,0.49,0.3,1.6,0.99,0.3
KDM4C,869,0.25,0.15,1.6,1,0.3
KLHL2,387,-0.37,0.22,-1.6,1,0.3
FYTTD1,2256,0.47,0.29,1.6,0.99,0.3
NSD3,1962,0.25,0.15,1.6,0.99,0.3
EML3,1100,-0.53,0.32,-1.6,0.99,0.3
CMTM7,875,-0.26,0.16,-1.6,0.99,0.3
EFCAB14,3403,0.27,0.17,1.6,0.99,0.3
FOLR2,106,-0.56,0.34,-1.6,0.99,0.3
ZNF319,334,0.39,0.24,1.6,0.99,0.3
ZNF253,204,0.66,0.4,1.6,0.99,0.3
EDEM3,1149,-0.43,0.26,-1.6,0.99,0.3
FCF1,1105,0.47,0.29,1.6,0.99,0.3
PCBD1,136,-0.47,0.29,-1.6,0.99,0.3
MAP1A,125,-0.78,0.48,-1.6,0.99,0.3
SLAMF7,1557,0.5,0.31,1.6,0.99,0.3
DERL3,58,-0.77,0.47,-1.6,0.99,0.3
BCL2L12,132,-0.41,0.25,-1.6,0.99,0.3
SUMF2,1683,0.25,0.15,1.6,0.99,0.3
SAE1,1274,0.29,0.18,1.6,0.99,0.3
ZKSCAN5,285,0.4,0.24,1.6,0.99,0.3
ZBTB14,736,0.32,0.19,1.6,0.99,0.3
HSD17B8,110,0.41,0.25,1.6,0.99,0.3
H4C14,121,1.18,0.72,1.6,0.99,0.3
RABEP1,855,0.35,0.22,1.6,0.98,0.3
HMGB3,71,-0.62,0.38,-1.6,0.99,0.3
PUM2,4323,0.4,0.24,1.6,0.99,0.3
SIDT1,543,0.58,0.36,1.6,0.98,0.3
SH3BP2,1589,-0.62,0.38,-1.6,0.98,0.3
SLC9A1,335,-0.35,0.22,-1.6,0.98,0.3
HNRNPC,12270,0.25,0.15,1.6,0.98,0.3
COMT,887,-0.41,0.25,-1.6,0.99,0.3
SPECC1L,602,0.35,0.21,1.6,0.98,0.3
HCK,4482,-0.44,0.27,-1.6,0.99,0.3
FOXRED1,197,-0.35,0.22,-1.6,0.98,0.3
RASGRF2,398,0.62,0.38,1.6,0.99,0.3
ABTB1,1060,-0.41,0.25,-1.6,0.98,0.3
CEP89,208,-0.33,0.2,-1.6,0.98,0.3
GPSM2,153,-0.33,0.21,-1.6,0.98,0.3
LSM8,812,-0.32,0.19,-1.6,0.98,0.3
GAMT,59,0.67,0.41,1.6,0.99,0.3
KAT7,906,0.28,0.17,1.6,0.98,0.3
YME1L1,3617,0.32,0.19,1.6,0.98,0.3
INTS14,445,0.39,0.24,1.6,0.98,0.3
PFKL,1672,-0.29,0.18,-1.6,0.98,0.3
BCL10,396,-0.34,0.21,-1.6,0.98,0.3
MBOAT2,135,-0.7,0.43,-1.6,0.98,0.3
FUOM,139,-0.68,0.42,-1.6,0.98,0.3
SLC30A6,577,0.38,0.23,1.6,0.98,0.3
UBALD1,163,-0.39,0.24,-1.6,0.99,0.3
RGS14,882,-0.35,0.21,-1.6,0.98,0.3
UBE2N,2150,0.31,0.19,1.6,0.99,0.3
GRINA,1343,-0.41,0.25,-1.6,0.98,0.3
CBX6,837,-0.35,0.22,-1.6,0.99,0.3
ZFP90,580,0.48,0.29,1.6,0.98,0.3
RPS2P46,919,0.61,0.37,1.6,0.99,0.3
ZNF134,365,0.53,0.32,1.6,0.98,0.3
GALT,334,-0.54,0.33,-1.6,0.99,0.3
LYRM4,441,0.31,0.19,1.6,0.98,0.3
RNASEK,1906,-0.32,0.2,-1.6,0.99,0.3
LINC00665,69,0.56,0.34,1.6,0.99,0.3
ZNF747.DT,91,0.47,0.29,1.6,0.98,0.3
MACC1.OT1,205,0.37,0.22,1.6,0.99,0.3
TUBA1B.AS1,1244,-0.72,0.44,-1.6,0.98,0.3
MAGED2,990,0.3,0.19,1.6,0.98,0.3
CPPED1,3704,-0.38,0.24,-1.6,0.98,0.3
RPS25,28612,0.32,0.2,1.6,0.98,0.3
SH3BGRL,6729,-0.32,0.19,-1.6,0.98,0.3
NIPSNAP3A,663,-0.41,0.25,-1.6,0.98,0.3
IKZF3,1661,0.59,0.36,1.6,0.98,0.3
USP1,1517,0.32,0.2,1.6,0.98,0.3
ICE1,901,0.36,0.22,1.6,0.98,0.3
IFIT1,756,-0.98,0.6,-1.6,0.98,0.3
MIPEP,113,0.45,0.28,1.6,0.98,0.3
PPP2R3C,835,-0.3,0.18,-1.6,0.98,0.3
ELP4,333,0.29,0.18,1.6,0.98,0.3
ZMYM2,1098,-0.32,0.2,-1.6,0.98,0.3
ATAD3A,144,-0.35,0.21,-1.6,0.98,0.3
UBIAD1,606,0.47,0.29,1.6,0.98,0.3
RDH14,287,0.44,0.27,1.6,0.98,0.3
LAG3,92,1.07,0.66,1.6,0.98,0.3
OCIAD2,399,0.62,0.38,1.6,0.98,0.3
AGAP2,555,0.72,0.45,1.6,0.98,0.29
RNH1,1786,-0.37,0.23,-1.6,0.97,0.29
CTNNA1,2074,-0.38,0.23,-1.6,0.97,0.29
ITGA4,8679,0.22,0.14,1.6,0.97,0.29
RREB1,518,-0.39,0.24,-1.6,0.97,0.29
CCDC142,92,-0.76,0.47,-1.6,0.97,0.29
BTRC,361,0.55,0.34,1.6,0.97,0.29
MALT1,1868,0.31,0.19,1.6,0.97,0.29
DNM1L,1122,-0.31,0.19,-1.6,0.97,0.29
COQ9,278,-0.37,0.23,-1.6,0.97,0.29
MS4A6A,6610,-0.52,0.32,-1.6,0.97,0.29
ELMOD3,202,-0.55,0.34,-1.6,0.97,0.29
KLF12,1506,0.53,0.33,1.6,0.97,0.29
PEX1,422,-0.69,0.43,-1.6,0.97,0.29
GCSH,75,0.6,0.37,1.6,0.97,0.29
NCK1,1076,0.3,0.19,1.6,0.97,0.29
PIP4P1,442,-0.43,0.26,-1.6,0.97,0.29
SMAGP,118,0.63,0.39,1.6,0.97,0.29
GAS2L1,266,-0.86,0.53,-1.6,0.97,0.29
WBP1,459,-0.32,0.2,-1.6,0.97,0.29
NDUFAF4,231,0.38,0.24,1.6,0.97,0.29
SNRPN,1510,0.5,0.31,1.6,0.97,0.29
GFI1,208,0.76,0.47,1.6,0.97,0.29
FOSL2,1675,-0.43,0.27,-1.6,0.97,0.29
NFX1,778,0.31,0.19,1.6,0.97,0.29
LYL1,495,-0.52,0.32,-1.6,0.97,0.29
AOAH,4273,-0.29,0.18,-1.6,0.97,0.29
JAKMIP1,104,0.94,0.59,1.6,0.97,0.29
ATP5MJ,1494,-0.38,0.24,-1.6,0.97,0.29
CD52,10175,0.42,0.26,1.6,0.97,0.29
DIPK2A,690,-0.46,0.28,-1.6,0.97,0.29
UPP1,607,-0.28,0.17,-1.6,0.97,0.29
ANXA4,1117,0.21,0.13,1.6,0.97,0.29
CCNT2.AS1,67,0.68,0.42,1.6,0.97,0.29
COIL,382,0.34,0.21,1.6,0.97,0.29
UBE2D2,2367,0.21,0.13,1.6,0.97,0.29
EPHA1.AS1,109,-0.55,0.34,-1.6,0.97,0.29
DNASE1L1,607,-0.4,0.25,-1.6,0.96,0.29
ZRANB1,635,0.39,0.25,1.6,0.96,0.29
HSF2,271,0.51,0.32,1.6,0.96,0.29
GAB2,706,-0.53,0.33,-1.6,0.96,0.29
ACTB,134561,-0.42,0.26,-1.6,0.96,0.29
KLHL20,278,0.58,0.36,1.6,0.97,0.29
REXO1,429,-0.6,0.37,-1.6,0.96,0.29
RNGTT,801,0.49,0.3,1.6,0.96,0.29
UBE3A,1705,0.31,0.2,1.6,0.96,0.29
DENND1A,638,-0.44,0.27,-1.6,0.97,0.29
ZNF410,845,0.27,0.17,1.6,0.96,0.29
TTPAL,513,0.47,0.3,1.6,0.96,0.29
KLF2,4940,0.24,0.15,1.6,0.96,0.29
VPS13C,3005,-0.55,0.34,-1.6,0.96,0.29
STARD3,727,-0.3,0.19,-1.6,0.96,0.29
C5AR2,221,-0.63,0.39,-1.6,0.97,0.29
ISCU,1581,0.25,0.16,1.6,0.96,0.29
ESYT1,3846,0.42,0.26,1.6,0.96,0.29
STK11IP,345,-0.7,0.43,-1.6,0.96,0.29
BCL2L11,977,0.32,0.2,1.6,0.96,0.29
FBRS,1315,-0.37,0.23,-1.6,0.96,0.29
GNE,338,0.44,0.27,1.6,0.96,0.29
EIF5A2,221,0.77,0.48,1.6,0.96,0.29
RGS19,1345,-0.33,0.21,-1.6,0.96,0.29
SERF1A,84,1.47,0.92,1.6,0.96,0.29
FAM241A,506,-0.35,0.22,-1.6,0.96,0.29
CTBP2,1303,-0.37,0.23,-1.6,0.96,0.29
ZNF654,568,0.27,0.17,1.6,0.96,0.29
FAAP100,251,-0.5,0.31,-1.6,0.97,0.29
DZIP3,266,0.61,0.38,1.6,0.96,0.29
NCR3,283,0.72,0.45,1.6,0.96,0.29
TRAV14DV4,67,1.28,0.8,1.6,0.96,0.29
NEURL4,330,-0.93,0.58,-1.6,0.96,0.29
LYRM9,124,0.45,0.28,1.6,0.96,0.29
FAM200B,599,-0.4,0.25,-1.6,0.96,0.29
JMJD7,86,-0.4,0.25,-1.6,0.96,0.29
TRAC,5485,0.67,0.42,1.6,0.97,0.29
GZMA,2680,0.67,0.42,1.6,0.96,0.29
ZXDC,334,-0.39,0.24,-1.6,0.96,0.29
MGAT4A,1656,0.37,0.23,1.6,0.96,0.29
SNU13,1700,0.21,0.13,1.6,0.96,0.29
HIF1A,2087,-0.37,0.23,-1.6,0.96,0.29
C14orf93,188,0.4,0.25,1.6,0.96,0.29
KCNN4,144,-0.6,0.38,-1.6,0.96,0.29
TIMMDC1,648,-0.23,0.14,-1.6,0.96,0.29
FLOT2,2732,0.26,0.16,1.6,0.96,0.29
PRPF38B,1836,-0.32,0.2,-1.6,0.96,0.29
EPB41,4519,0.49,0.3,1.6,0.96,0.29
BROX,1046,-0.41,0.26,-1.6,0.96,0.29
PRAG1,214,0.54,0.34,1.6,0.96,0.29
PARN,750,0.32,0.2,1.6,0.96,0.29
GCFC2,294,0.47,0.3,1.6,0.95,0.29
IL32,6914,0.73,0.46,1.6,0.95,0.29
SPDL1,134,0.43,0.27,1.6,0.96,0.29
AP2S1,1407,-0.39,0.24,-1.6,0.95,0.29
FOXN3,3183,0.45,0.28,1.6,0.95,0.29
ACSL4,2116,-0.3,0.19,-1.6,0.95,0.29
DDX18,2650,0.32,0.2,1.6,0.96,0.29
ARHGAP4,1941,-0.75,0.47,-1.6,0.95,0.29
PCBP4,97,0.58,0.37,1.6,0.95,0.29
SUPT16H,2275,0.22,0.14,1.6,0.95,0.29
MSH2,556,0.47,0.29,1.6,0.95,0.29
LZTR1,422,-0.71,0.45,-1.6,0.95,0.29
CTSH,3932,-0.44,0.28,-1.6,0.95,0.29
TBCB,988,-0.29,0.18,-1.6,0.95,0.29
PLIN3,1032,-0.36,0.22,-1.6,0.95,0.29
RAB3D,1375,-0.53,0.33,-1.6,0.95,0.29
POLD2,365,0.27,0.17,1.6,0.95,0.29
NUP88,1113,0.24,0.15,1.6,0.95,0.29
LUC7L3,1730,-0.67,0.42,-1.6,0.95,0.29
CTSC,3591,-0.21,0.13,-1.6,0.95,0.29
THRA,437,0.42,0.26,1.6,0.95,0.29
AP4B1,333,-0.57,0.36,-1.6,0.95,0.29
LRRC8A,316,0.49,0.31,1.6,0.95,0.29
POC1B,761,0.28,0.18,1.6,0.95,0.29
VPS53,480,-0.37,0.23,-1.6,0.95,0.29
ITPKB,1722,0.42,0.26,1.6,0.95,0.29
RABL3,599,0.61,0.38,1.6,0.95,0.29
HHEX,1170,-0.37,0.23,-1.6,0.95,0.29
MARCKSL1,852,0.31,0.2,1.6,0.95,0.29
EIF3F,5600,0.21,0.13,1.6,0.96,0.29
TOP3A,592,-0.43,0.27,-1.6,0.95,0.29
ATOX1,262,-0.45,0.28,-1.6,0.95,0.29
CYC1,725,-0.34,0.21,-1.6,0.95,0.29
FRAT2,906,-0.39,0.25,-1.6,0.95,0.29
DENND5A,2047,-0.38,0.24,-1.6,0.95,0.29
STING1,1668,-0.3,0.19,-1.6,0.95,0.29
ZNF566,123,0.39,0.25,1.6,0.96,0.29
SIRT7,441,-0.49,0.31,-1.6,0.95,0.29
FANCA,156,-0.69,0.43,-1.6,0.95,0.29
RPS3AP26,224,0.39,0.25,1.6,0.95,0.29
LINC00847,355,0.34,0.22,1.6,0.95,0.29
LOXL1.AS1,99,0.87,0.54,1.6,0.95,0.29
HSH2D.AS1,151,0.99,0.62,1.6,0.95,0.29
ZNHIT3,452,0.44,0.28,1.6,0.95,0.29
MBD2,3067,-0.28,0.18,-1.6,0.95,0.29
TUG1,2643,-0.31,0.19,-1.6,0.95,0.29
RRN3,932,0.4,0.25,1.6,0.95,0.29
HIVEP1,271,-0.35,0.22,-1.6,0.95,0.29
RCL1,151,0.46,0.29,1.6,0.95,0.29
CDC16,753,-0.43,0.27,-1.6,0.95,0.29
ASAP1,1057,-0.33,0.21,-1.6,0.95,0.29
IFNGR2,2160,-0.32,0.2,-1.6,0.95,0.29
COQ8A,722,-0.2,0.13,-1.6,0.95,0.29
DTWD2,149,0.43,0.27,1.6,0.95,0.29
MYO5A,1029,-0.29,0.18,-1.6,0.95,0.29
NAP1L4,2092,0.39,0.25,1.6,0.95,0.29
RPP21,133,-0.4,0.25,-1.6,0.95,0.29
CYBRD1,1228,-0.44,0.28,-1.6,0.95,0.29
ZNF646,416,-0.29,0.18,-1.6,0.95,0.29
GMFB,1052,-0.29,0.18,-1.6,0.94,0.29
RASGRP1,1798,0.56,0.36,1.6,0.94,0.29
USP3,1845,-0.33,0.21,-1.6,0.94,0.29
CLPB,272,-0.36,0.23,-1.6,0.94,0.29
ATMIN,1480,0.4,0.25,1.6,0.94,0.29
HGS,612,-0.62,0.39,-1.6,0.94,0.29
PTPRA,1476,0.22,0.14,1.6,0.94,0.29
ZZZ3,772,0.41,0.26,1.6,0.94,0.29
C5,91,-0.58,0.37,-1.6,0.94,0.29
BARD1,150,1,0.63,1.6,0.94,0.29
CHLSN,400,-0.19,0.12,-1.6,0.94,0.29
BICD1,136,0.52,0.33,1.6,0.94,0.29
RPS23,32019,0.28,0.18,1.6,0.94,0.29
MPDU1,577,-0.27,0.17,-1.6,0.94,0.29
RBM27,1335,0.32,0.2,1.6,0.94,0.29
SRPK1,592,0.41,0.26,1.6,0.94,0.29
DNTTIP1,563,-0.32,0.2,-1.6,0.94,0.29
FSD1L,109,-0.45,0.28,-1.6,0.94,0.29
LAMTOR2,560,-0.33,0.21,-1.6,0.94,0.29
NCOA5,769,0.4,0.26,1.6,0.94,0.29
PRR12,576,0.31,0.2,1.6,0.94,0.29
SMARCA4,901,-0.39,0.25,-1.6,0.94,0.29
RELCH,525,-0.71,0.45,-1.6,0.94,0.29
SANBR,91,-0.72,0.46,-1.6,0.94,0.29
MARCHF8,1185,0.44,0.28,1.6,0.94,0.29
JAKMIP2,114,0.8,0.51,1.6,0.94,0.29
SEPHS2,1603,0.27,0.17,1.6,0.94,0.29
FBXL6,98,-0.72,0.46,-1.6,0.94,0.29
HNRNPUL2,3995,0.21,0.13,1.6,0.94,0.29
LRCH1,357,0.27,0.17,1.6,0.94,0.29
HMOX2,847,0.41,0.26,1.6,0.94,0.29
MFSD10,357,-0.49,0.31,-1.6,0.94,0.29
MTCH1,1466,-0.37,0.23,-1.6,0.94,0.29
VOPP1,2271,0.35,0.23,1.6,0.94,0.29
FAM111A,1107,-0.72,0.46,-1.6,0.94,0.29
SFXN4,192,-0.36,0.23,-1.6,0.94,0.29
IGHV3.33,124,0.99,0.63,1.6,0.94,0.29
ADCY7,2519,-0.42,0.26,-1.6,0.94,0.29
ZNF320,280,0.48,0.31,1.6,0.93,0.29
MYOM2,161,-1.33,0.85,-1.6,0.93,0.29
MTMR1,884,0.36,0.23,1.6,0.93,0.29
GNLY,5267,0.72,0.46,1.6,0.93,0.29
AMPD3,458,-0.3,0.19,-1.6,0.93,0.29
IGFBP3,152,0.93,0.59,1.6,0.93,0.29
GTF3C5,520,-0.36,0.23,-1.6,0.93,0.29
LIG4,412,0.34,0.22,1.6,0.93,0.29
SH2D1A,1289,0.68,0.43,1.6,0.93,0.29
ATP11B,2468,0.39,0.25,1.6,0.93,0.29
SIRPG,409,0.62,0.4,1.6,0.93,0.29
PRDM4,555,0.24,0.16,1.6,0.93,0.29
ALDH5A1,318,0.79,0.51,1.6,0.93,0.29
SFPQ,4343,-0.27,0.17,-1.6,0.93,0.29
MAPKAP1,1118,0.31,0.2,1.6,0.93,0.29
IFIT3,1022,-0.9,0.58,-1.6,0.93,0.29
OS9,4387,-0.3,0.19,-1.6,0.93,0.29
EIF4E2,1981,-0.3,0.19,-1.6,0.93,0.29
SCYL1,559,-0.28,0.18,-1.6,0.93,0.29
NKAPD1,854,0.36,0.23,1.6,0.93,0.29
OXNAD1,1073,0.51,0.33,1.6,0.93,0.29
LZTFL1,270,0.41,0.26,1.6,0.93,0.29
WEE1,130,0.57,0.36,1.6,0.93,0.29
MEI1,222,0.41,0.26,1.6,0.93,0.29
GLOD4,1230,0.25,0.16,1.6,0.93,0.29
USP32,1263,-0.37,0.24,-1.6,0.93,0.29
AP2A2,631,-0.33,0.21,-1.6,0.93,0.29
BRD10,615,0.48,0.31,1.6,0.93,0.29
FAF1,715,0.29,0.18,1.6,0.93,0.29
BCL9L,1247,0.48,0.31,1.6,0.93,0.29
TLR5,492,-0.38,0.24,-1.6,0.93,0.29
SLC25A29,172,-0.92,0.59,-1.6,0.93,0.29
IGLV3.1,91,1.05,0.67,1.6,0.93,0.29
SCAF8,1268,0.25,0.16,1.6,0.93,0.29
PCED1B.AS1,2426,0.57,0.37,1.6,0.93,0.29
WDFY1,1447,-0.24,0.16,-1.6,0.93,0.29
MAPKAPK5,524,-0.27,0.17,-1.6,0.93,0.29
GFUS,430,-0.2,0.13,-1.6,0.93,0.29
RPS15,12362,0.24,0.15,1.6,0.93,0.29
RAB33A,60,0.65,0.42,1.6,0.93,0.29
SPAG16,80,0.56,0.36,1.6,0.93,0.29
ACOX1,774,-0.32,0.21,-1.6,0.93,0.29
YWHAZ,23481,0.36,0.23,1.6,0.93,0.29
EPS8L2,55,0.56,0.36,1.6,0.93,0.29
SUZ12,1157,0.24,0.15,1.6,0.93,0.29
RPL35A,20695,0.28,0.18,1.6,0.93,0.29
ATP1A1.AS1,139,-0.51,0.33,-1.6,0.93,0.29
S1PR3,368,-0.68,0.43,-1.6,0.93,0.29
PRKCZ,112,0.69,0.44,1.6,0.92,0.29
STK3,158,-0.52,0.33,-1.6,0.92,0.29
SEMA7A,62,0.49,0.31,1.6,0.92,0.29
SLC7A1,425,0.49,0.31,1.6,0.92,0.29
SEC16A,1442,-0.34,0.22,-1.6,0.92,0.29
IGKV3.11,264,0.77,0.5,1.6,0.93,0.29
KIAA0930,2929,-0.4,0.26,-1.6,0.92,0.29
HDAC10,374,-0.73,0.47,-1.6,0.92,0.29
PXMP4,141,-0.39,0.25,-1.6,0.92,0.29
FMR1,931,-0.3,0.19,-1.6,0.92,0.29
HIPK3,4308,-0.35,0.22,-1.6,0.92,0.29
USP35,81,-0.7,0.45,-1.6,0.92,0.29
FASTKD3,135,-0.44,0.28,-1.6,0.92,0.29
SREK1IP1,683,-0.51,0.33,-1.6,0.92,0.29
SLC37A3,190,-0.38,0.24,-1.6,0.92,0.29
PSIP1,2635,0.32,0.2,1.6,0.92,0.29
AMZ2,842,0.28,0.18,1.6,0.92,0.29
FPR1,3425,-0.51,0.33,-1.6,0.92,0.29
LIME1,605,0.46,0.29,1.6,0.92,0.29
INPP1,183,-0.26,0.17,-1.6,0.92,0.29
ALOX5,2076,-0.58,0.37,-1.6,0.92,0.29
RNF10,2047,-0.32,0.2,-1.6,0.92,0.29
SLC23A2,454,-0.3,0.19,-1.6,0.92,0.29
GLS,2468,0.32,0.21,1.6,0.92,0.29
DYNC1LI2,806,-0.44,0.29,-1.6,0.92,0.29
RHOF,1099,0.37,0.24,1.6,0.92,0.29
JDP2,392,-0.57,0.37,-1.6,0.92,0.29
ATP6V0D1,2466,-0.35,0.23,-1.6,0.92,0.29
RPRD2,1077,0.39,0.25,1.6,0.92,0.29
PI16,107,0.86,0.55,1.6,0.92,0.29
TMUB2,539,-0.42,0.27,-1.6,0.92,0.29
MX2,1884,-0.53,0.34,-1.6,0.92,0.29
IPO5,2230,0.29,0.19,1.6,0.92,0.29
RSBN1,1111,0.32,0.21,1.6,0.92,0.29
POLR1F,366,0.47,0.3,1.6,0.92,0.29
SLC43A2,1437,-0.46,0.29,-1.6,0.92,0.29
ZFTRAF1,303,0.36,0.23,1.6,0.92,0.29
LINC01504,103,-0.71,0.46,-1.6,0.92,0.29
PIP4K2B,1428,0.43,0.28,1.6,0.92,0.29
OAZ1,15678,-0.37,0.24,-1.6,0.92,0.29
VIPR1,490,-0.37,0.24,-1.6,0.92,0.29
SMPD4BP.1,134,-0.79,0.51,-1.6,0.92,0.29
TTC28.AS1,218,0.29,0.19,1.6,0.92,0.29
RNF181,619,-0.27,0.18,-1.6,0.92,0.29
RBM4,1412,0.23,0.15,1.5,0.92,0.28
EXOC3,1026,-0.23,0.15,-1.5,0.92,0.28
TCTN1,95,0.53,0.34,1.5,0.92,0.28
BTG2,2593,-0.4,0.26,-1.5,0.92,0.28
CD6,1920,0.44,0.28,1.5,0.91,0.28
MTPAP,325,-0.29,0.19,-1.5,0.91,0.28
ERG28,315,0.43,0.28,1.5,0.91,0.28
SETDB1,732,-0.41,0.27,-1.5,0.91,0.28
AZIN1,3331,0.28,0.18,1.5,0.91,0.28
ADGRG5,256,0.6,0.39,1.5,0.91,0.28
SELENOM,110,0.55,0.36,1.5,0.91,0.28
MALAT1,2931,-1.34,0.87,-1.5,0.91,0.28
ZNF358,131,0.53,0.35,1.5,0.91,0.28
HMGXB3,383,-0.38,0.25,-1.5,0.91,0.28
RPS20,34508,0.31,0.2,1.5,0.91,0.28
VAMP3,1687,-0.33,0.22,-1.5,0.91,0.28
DOCK9,766,0.47,0.31,1.5,0.91,0.28
CYTH2,547,-0.26,0.17,-1.5,0.91,0.28
CDKN1A,670,-0.63,0.41,-1.5,0.91,0.28
EXOC4,1157,0.26,0.17,1.5,0.91,0.28
IPO8,1292,0.22,0.14,1.5,0.91,0.28
ALDH1B1,142,0.52,0.34,1.5,0.91,0.28
ING1,627,0.19,0.12,1.5,0.91,0.28
KCNJ15,71,-0.79,0.52,-1.5,0.91,0.28
DHX57,536,-0.34,0.22,-1.5,0.91,0.28
COPS2,1542,0.25,0.16,1.5,0.91,0.28
ING2,185,-0.41,0.27,-1.5,0.91,0.28
POLH,291,0.43,0.28,1.5,0.91,0.28
TDRKH,156,0.52,0.34,1.5,0.91,0.28
NPIPA6,227,-1.16,0.75,-1.5,0.91,0.28
ARHGAP27P1.BPTFP1.KPNA2P3,204,-1.31,0.85,-1.5,0.91,0.28
LILRA2,1634,-0.39,0.25,-1.5,0.91,0.28
OTUD6B.AS1,566,0.31,0.2,1.5,0.91,0.28
PIEZO1,1015,-0.62,0.4,-1.5,0.91,0.28
TMEM62,185,-0.26,0.17,-1.5,0.91,0.28
EOMES,500,0.66,0.43,1.5,0.91,0.28
ARMC8,884,0.17,0.11,1.5,0.91,0.28
LINC00963,461,-0.6,0.39,-1.5,0.91,0.28
STIM1,1742,0.36,0.23,1.5,0.91,0.28
SLC25A12,346,0.31,0.2,1.5,0.91,0.28
PSMA1,2247,-0.25,0.16,-1.5,0.91,0.28
FZD6,83,0.85,0.55,1.5,0.91,0.28
KCNE3,1299,-0.46,0.3,-1.5,0.91,0.28
BAZ1B,1297,0.33,0.22,1.5,0.91,0.28
MAVS,1076,-0.3,0.19,-1.5,0.91,0.28
P2RX7,537,-0.52,0.34,-1.5,0.91,0.28
USP48,1138,-0.29,0.19,-1.5,0.91,0.28
FOXP4,185,-0.38,0.24,-1.5,0.91,0.28
HINT1,3686,0.29,0.19,1.5,0.91,0.28
