symbol,baseMean,log2FoldChange,lfcSE,stat,minus_log10_pvalue,minus_log10_padjvalue
HLA.L,4,5.746,3,1.9,1.27,0.17
RNU1.27P,3,5.142,3,1.7,1.08,0.14
SOX6,3,5.046,3,1.7,1.05,0.13
SMG1P4,4,4.838,2.6,1.9,1.2,0.15
DEFA4,3,4.656,1.5,3.2,2.83,0.6
HBA2,1841,4.47,0.9,5,6.19,2.74
CEACAM8,3,4.36,1.5,3,2.58,0.52
COL17A1,3,4.264,1.3,3.2,2.87,0.6
TTLL10,3,4.232,1.4,3,2.6,0.53
ACTA1,6,4.204,1.2,3.5,3.26,0.74
GYPA,6,3.928,2,1.9,1.28,0.17
CASQ1,3,3.839,1.1,3.6,3.45,0.83
SLC4A1,56,3.659,1.2,3,2.59,0.53
ALAS2,77,3.628,1.3,2.9,2.37,0.44
ARMCX5.GPRASP2,3,3.423,2.9,1.2,0.63,0.07
SYCP2L,8,3.381,1.2,2.9,2.37,0.44
HBM,5,3.348,1.3,2.6,2.06,0.35
MUC16,7,3.183,1.3,2.5,1.94,0.31
OLFM4,3,3.119,1.5,2.1,1.48,0.21
FAM238A.1,4,3.105,1,3,2.62,0.55
HMCN1,5,3.08,1.1,2.7,2.22,0.38
PTPRD,3,2.992,1.3,2.4,1.75,0.27
KIAA0087,3,2.885,1.1,2.7,2.18,0.38
HBB,9056,2.664,1.2,2.2,1.56,0.23
ROPN1L.AS1,3,2.62,0.9,2.8,2.26,0.4
MAPK8IP1P2,4,2.558,1.8,1.4,0.78,0.09
PKD1L1,3,2.491,1.1,2.3,1.71,0.26
DAZL,5,2.422,1.1,2.2,1.56,0.23
ALX3,4,2.382,1.1,2.1,1.42,0.2
SPTA1,5,2.346,0.9,2.7,2.19,0.38
RAB3C,7,2.345,1.3,1.8,1.15,0.15
LINC01811,4,2.343,0.8,2.8,2.28,0.41
FAM221B,3,2.342,1,2.4,1.78,0.28
RNF5P1,10,2.297,0.8,3.1,2.65,0.55
GNG4,3,2.295,1,2.3,1.7,0.25
PMS2P14,4,2.281,1.3,1.8,1.14,0.15
DSP,102,2.28,0.9,2.7,2.1,0.36
MYBPC2,7,2.273,0.7,3.1,2.73,0.57
RNA5.8SN2,95,2.266,2.9,0.8,0.36,0.03
LTF,24,2.263,0.8,2.7,2.12,0.37
HBA1,1599,2.238,1,2.2,1.53,0.22
CHI3L1,3,2.225,1.2,1.9,1.21,0.16
STAG3,150,2.218,0.7,3.2,2.82,0.6
RPL7AP64,3,2.209,2.9,0.8,0.36,0.03
SYN3,7,2.208,0.9,2.6,1.98,0.32
ARHGEF18.AS1,3,2.19,1,2.3,1.66,0.24
MMP1,10,2.131,1,2.1,1.45,0.2
CENPBD2P,28,2.13,1.7,1.2,0.65,0.07
C4B,24,2.12,0.8,2.6,2.05,0.35
LINC00484,11,2.118,1.1,1.9,1.22,0.16
CHST8,6,2.073,0.7,3,2.64,0.55
IFIT1B,3,2.07,1.2,1.7,1.07,0.13
RHEBP1,5,2.052,1.5,1.4,0.77,0.09
SLC5A10,16,2.046,0.6,3.2,2.8,0.6
RPL13AP20,3,2.04,1.2,1.7,1.03,0.13
CA3,4,2.029,1,2,1.34,0.18
HEXIM2.AS2,6,2.026,0.8,2.7,2.11,0.37
SLX1B.SULT1A4,53,2.023,1.4,1.5,0.83,0.1
TBC1D3,13,2.019,1,2,1.34,0.18
PACRG,4,2.016,0.8,2.6,2,0.33
COL10A1,3,2.003,1,2.1,1.43,0.2
UGT2B17,61,1.983,1,2,1.39,0.19
MIR193BHG,3,1.981,1.2,1.7,1.06,0.13
ZNF137P,7,1.968,1.8,1.1,0.54,0.06
SEMA3D,8,1.934,0.8,2.6,2,0.33
ENAH,23,1.933,0.6,3,2.59,0.53
BRME1,12,1.93,0.9,2.1,1.49,0.21
KCNG1,80,1.916,0.8,2.5,1.92,0.3
IL6.AS1,14,1.876,0.7,2.8,2.24,0.39
LINC03080,4,1.871,1.1,1.8,1.11,0.14
TCL1B,14,1.856,1,1.9,1.29,0.17
MYO16,6,1.854,0.9,2.2,1.52,0.22
CHURC1.FNTB,34,1.852,1.3,1.4,0.79,0.09
NETO1,54,1.849,0.6,2.9,2.36,0.44
C8G,4,1.848,0.7,2.5,1.87,0.29
RPL23AP7.1,324,1.848,0.4,4.5,5.08,1.82
SLC26A4,4,1.84,0.9,2.1,1.48,0.21
FAM20A,24,1.839,0.6,3.3,2.97,0.63
ATP1A4,5,1.831,1.2,1.6,0.92,0.11
CA1,14,1.83,0.7,2.7,2.17,0.38
GBP1P1.1,67,1.829,0.7,2.7,2.16,0.38
HLA.DRB6.1,269,1.819,1,1.7,1.09,0.14
RFPL4A,4,1.812,1.5,1.2,0.67,0.07
HBD,19,1.792,0.8,2.3,1.7,0.26
LPIN2.AS1,3,1.774,0.7,2.4,1.82,0.28
LRP1B,4,1.769,1.2,1.5,0.85,0.1
RRN3P3,4,1.769,1.3,1.4,0.79,0.09
OGFR.AS1,3,1.764,1,1.7,1.05,0.13
LINC02076,7,1.761,0.8,2.1,1.43,0.2
F8A2,47,1.725,2.4,0.7,0.32,0.03
SYCE2,5,1.725,0.8,2.2,1.59,0.23
LMNTD2.AS1,8,1.712,1,1.8,1.14,0.15
CSTF3.DT,11,1.711,0.6,3,2.58,0.52
EPB42,9,1.706,1.7,1,0.5,0.05
IL3RA.1,119,1.706,1.1,1.5,0.87,0.1
EPGN,3,1.689,1.1,1.5,0.87,0.1
HLA.DQA2,768,1.688,1,1.7,1.06,0.13
EOLA1.DT,6,1.68,1,1.6,1,0.12
MIR302CHG,3,1.677,1,1.6,0.99,0.12
C15orf48,7,1.676,0.7,2.3,1.64,0.24
DNAH14,4,1.676,0.9,1.8,1.16,0.15
CRNDE,12,1.673,0.8,2.2,1.51,0.21
ADAM7.AS1,7,1.67,0.5,3.2,2.83,0.6
CCDC30,36,1.656,0.6,2.8,2.3,0.42
MIR210HG,5,1.648,0.6,2.7,2.12,0.37
CCN2,9,1.646,0.6,2.6,1.99,0.33
AMT,23,1.638,0.6,2.6,2.04,0.35
LINC03007,4,1.628,0.9,1.9,1.19,0.15
AKR1C1,6,1.627,0.6,2.6,2.03,0.34
CXCL10,100,1.591,0.6,2.7,2.13,0.37
DEGS2,17,1.586,0.5,3.1,2.68,0.56
RPS10P7,3,1.586,1.1,1.4,0.79,0.09
DUXAP10.1,21,1.583,0.6,2.5,1.87,0.29
NCKAP5,5,1.582,0.8,1.9,1.21,0.16
IGHV1.69.2,5,1.575,1.3,1.2,0.67,0.07
MT.TP,3,1.575,1.1,1.4,0.8,0.09
CADM2,8,1.572,0.9,1.7,1.02,0.13
NYAP1,6,1.568,0.7,2.1,1.48,0.21
INTS4P1,8,1.563,2.3,0.7,0.3,0.02
CHRM3,6,1.561,1,1.6,0.96,0.11
PDC.AS1,3,1.558,0.9,1.7,1.02,0.13
BTG2.DT,4,1.557,0.9,1.8,1.17,0.15
USP12.AS1,4,1.55,1,1.6,0.92,0.11
SPINT1.AS1,8,1.539,0.5,3.3,3.01,0.64
CNTNAP2,144,1.534,0.8,1.9,1.2,0.15
RPS15AP19,4,1.529,0.6,2.7,2.12,0.37
C19orf84,4,1.526,0.8,2,1.34,0.18
RPS4XP16,3,1.526,1,1.6,0.92,0.11
SCHIP1,14,1.525,0.6,2.7,2.1,0.36
SLC1A3,32,1.523,0.4,3.7,3.66,1.01
SCUBE2,11,1.51,0.7,2.1,1.41,0.2
IRS4,10,1.5,1.8,0.8,0.39,0.04
ZNF625,5,1.492,1,1.5,0.91,0.11
CORO7.PAM16,6,1.487,0.9,1.6,0.99,0.12
XNDC1N.ZNF705EP.ALG1L9P,4,1.487,1.1,1.4,0.77,0.09
FGL1.AS1,5,1.486,0.8,2,1.29,0.17
SDR16C5,6,1.485,1.1,1.3,0.72,0.08
NPM1P25,13,1.483,0.9,1.6,0.95,0.11
PDZD7,5,1.479,0.8,1.9,1.24,0.16
CLVS1,8,1.476,0.7,2.2,1.56,0.23
PIGR,4,1.476,0.9,1.6,0.92,0.11
SPATA21,10,1.475,0.8,1.9,1.28,0.17
SLC13A4,3,1.473,1.1,1.4,0.79,0.09
ABCB4,81,1.468,0.5,2.7,2.17,0.38
PEG10,126,1.466,0.5,2.7,2.14,0.37
NPTX1,8,1.464,0.7,2.2,1.56,0.23
DUXAP9.1,10,1.462,0.5,2.8,2.25,0.39
DPF3,52,1.457,0.5,2.8,2.23,0.38
CCNB3,6,1.455,0.7,2.1,1.48,0.21
RPS26P19,11,1.45,1.8,0.8,0.39,0.04
IQSEC3.AS2,25,1.447,0.5,2.7,2.11,0.37
STEAP1B,31,1.446,0.6,2.4,1.81,0.28
C1S,7,1.443,0.7,2.1,1.44,0.2
LINC02798,5,1.433,0.6,2.3,1.64,0.24
GATD3,232,1.432,0.7,2.2,1.54,0.22
TRHDE,6,1.422,1,1.5,0.85,0.1
IGFBP2,15,1.418,0.7,2,1.35,0.18
NOTCH3,3,1.412,0.7,2.1,1.4,0.2
OR2A7,7,1.412,1,1.5,0.84,0.1
SNX29P1,6,1.411,0.9,1.5,0.89,0.11
MAST3.AS1,12,1.41,1,1.5,0.83,0.1
MT.TH,4,1.398,1,1.5,0.84,0.1
CHDH,5,1.389,0.6,2.4,1.75,0.27
CERS3,5,1.387,1,1.4,0.79,0.09
WNT5A,3,1.385,0.8,1.6,0.99,0.12
SFRP1,3,1.384,0.7,2,1.37,0.19
DNAH8,10,1.375,0.6,2.3,1.65,0.24
P4HA2,8,1.375,0.6,2.5,1.9,0.3
FAT4,8,1.37,0.6,2.3,1.66,0.24
NTNG1,4,1.37,0.8,1.7,1.03,0.13
SLC23A3,3,1.367,1.2,1.1,0.58,0.06
EGR2,403,1.366,0.5,2.6,1.98,0.32
SOBP,26,1.364,0.5,2.5,1.96,0.31
THSD1P1,5,1.364,0.8,1.7,1.09,0.14
ROCK1P1.1,11,1.363,0.6,2.2,1.61,0.23
CFAP263,5,1.359,0.7,1.9,1.25,0.16
ADM5,3,1.356,0.9,1.6,0.95,0.11
LNCAROD,8,1.342,0.7,2,1.34,0.18
NAV2,11,1.34,0.7,2,1.31,0.18
NEK10,6,1.339,0.6,2.1,1.44,0.2
TMEM176A,505,1.339,0.7,1.8,1.18,0.15
LINC01270,6,1.338,0.6,2.1,1.45,0.2
DPYSL4,15,1.335,0.5,2.5,1.85,0.29
FKBP10,4,1.331,0.9,1.4,0.8,0.09
NEFM,9,1.327,0.6,2.2,1.55,0.23
LINC00482,19,1.322,0.6,2.1,1.49,0.21
WNT2B,20,1.319,0.5,2.7,2.18,0.38
LINC03112,14,1.317,0.9,1.5,0.85,0.1
GJA1,5,1.312,0.7,1.8,1.15,0.15
CAMP,11,1.31,0.6,2.2,1.58,0.23
DNAJC27.AS1,12,1.309,0.4,3.1,2.66,0.55
LINC02195,4,1.307,0.8,1.7,1.05,0.13
RPL23P6,4,1.303,0.5,2.7,2.14,0.37
RHD,11,1.302,0.6,2,1.37,0.19
ARFGEF1.DT,3,1.297,0.7,1.8,1.11,0.14
NOTCH2NLR,15,1.297,0.6,2.2,1.58,0.23
PNMA5,4,1.297,0.6,2.1,1.44,0.2
GARNL3,7,1.293,0.9,1.4,0.81,0.1
H2BP1.1,9,1.292,0.8,1.6,0.92,0.11
KLHDC9,4,1.292,0.7,1.8,1.14,0.15
PRECSIT,11,1.291,0.9,1.5,0.86,0.1
HSPA12A,13,1.289,0.6,2.2,1.55,0.23
LRRC75A,468,1.289,0.4,2.9,2.4,0.45
LRRC32,9,1.288,0.6,2.1,1.49,0.21
ZC2HC1C,10,1.287,0.5,2.5,1.93,0.3
NINL,14,1.285,0.6,2.3,1.66,0.24
UPB1,4,1.282,0.8,1.6,0.97,0.12
ANKRD24,4,1.281,0.6,2,1.34,0.18
ANKRD65,3,1.28,0.9,1.5,0.88,0.1
MAN2A1.DT,4,1.278,0.7,1.9,1.2,0.15
NLRP4,3,1.277,1,1.3,0.73,0.08
RPS26P6,19,1.276,0.5,2.6,2.07,0.35
EDNRB.AS1,3,1.269,1.2,1,0.53,0.05
CLC,16,1.266,0.7,1.9,1.2,0.15
LHFPL1,8,1.262,0.6,2.3,1.66,0.24
PROK2.DT,4,1.256,0.6,2.1,1.47,0.21
AFF3,594,1.255,0.5,2.7,2.12,0.37
NPFF,3,1.253,0.8,1.6,0.98,0.12
HEY1,4,1.251,0.7,1.9,1.22,0.16
MYH15,3,1.251,0.8,1.5,0.88,0.1
MTND6P4,4,1.246,0.7,1.8,1.11,0.14
CSMD1,11,1.243,1.1,1.1,0.59,0.07
LURAP1L,4,1.242,0.8,1.6,0.99,0.12
RTCA.AS1,52,1.238,0.4,2.8,2.33,0.43
SRPX2,5,1.235,0.9,1.3,0.72,0.08
SLC44A3,4,1.233,0.8,1.5,0.87,0.1
OVGP1,10,1.224,0.5,2.3,1.62,0.23
SPIRE2,6,1.224,0.6,2,1.33,0.18
SNORD3B.1,4,1.223,0.8,1.5,0.9,0.11
EDN1,5,1.22,0.6,2,1.33,0.18
RIMKLA,5,1.215,0.8,1.6,0.95,0.11
LINC02397,155,1.21,0.5,2.3,1.69,0.25
ANO2,5,1.206,1.1,1.1,0.58,0.06
SLPI,5,1.206,0.6,1.9,1.21,0.16
TSSK3,6,1.206,0.7,1.7,1.03,0.13
AGT,18,1.205,0.8,1.5,0.91,0.11
DBNDD1,60,1.203,0.4,3.2,2.82,0.6
SMIM2.AS1,5,1.203,0.9,1.4,0.77,0.09
TBC1D3F,6,1.201,1,1.2,0.63,0.07
MTCO1P40,36,1.198,1.7,0.7,0.32,0.03
IGLV4.3,7,1.194,0.9,1.3,0.72,0.08
IGHV1.69,34,1.193,0.6,1.9,1.27,0.17
KCNMA1,24,1.189,0.7,1.7,1.04,0.13
SMIM10,8,1.185,0.5,2.4,1.76,0.27
GUSBP1,3,1.183,2.9,0.4,0.16,0.01
NXN,9,1.182,0.5,2.4,1.83,0.28
LINC00926,567,1.18,0.6,2,1.36,0.18
CATSPERE,3,1.17,0.7,1.7,1.05,0.13
FNDC11,9,1.17,0.7,1.8,1.1,0.14
GALNTL6,8,1.165,0.9,1.3,0.73,0.08
TCL6,125,1.161,0.5,2.1,1.48,0.21
ZNF793.AS1,8,1.161,0.4,2.6,2.04,0.34
EFEMP1,3,1.16,1.1,1,0.51,0.05
PGBD5,5,1.16,0.8,1.4,0.79,0.09
ANK1,109,1.159,0.3,4.3,4.69,1.54
DDX11L2.2,22,1.159,0.9,1.3,0.73,0.08
DPYS,3,1.154,1.2,1,0.48,0.05
SEMA3A,9,1.154,0.6,1.8,1.15,0.15
AP3B2,7,1.151,0.7,1.6,0.94,0.11
NPIPA7,26,1.148,0.8,1.5,0.86,0.1
PDZK1,11,1.148,0.4,2.6,1.98,0.32
PLXNA1,87,1.148,0.3,3.7,3.68,1.01
GNG3,29,1.147,0.5,2.3,1.67,0.24
CLEC4F,21,1.146,0.7,1.6,0.96,0.12
IGLC6,4,1.145,0.8,1.4,0.81,0.1
MEIKIN,10,1.143,0.8,1.5,0.89,0.11
PTCH2,5,1.139,0.8,1.4,0.78,0.09
B3GNT3,7,1.138,0.6,1.9,1.25,0.16
ANOS1,5,1.137,1.4,0.8,0.39,0.04
ICOSLG,170,1.136,0.3,3.3,3.05,0.64
LRRC63,4,1.135,0.6,2,1.39,0.2
KCNQ3,4,1.13,1,1.1,0.6,0.07
ARMC3,14,1.128,0.6,1.9,1.22,0.16
LRRC39,6,1.128,0.7,1.5,0.91,0.11
PODNL1,5,1.127,0.8,1.5,0.87,0.1
EFHD2.AS1,9,1.123,0.5,2.2,1.56,0.23
PPP2R3B,28,1.123,1.1,1,0.51,0.05
BTNL9,10,1.121,1.1,1,0.52,0.05
PERPP2,3,1.121,0.7,1.6,0.95,0.11
TMEM176B,1559,1.121,0.8,1.4,0.8,0.09
TXNDC11.AS1,5,1.118,0.7,1.5,0.9,0.11
DUXAP8,12,1.117,0.8,1.5,0.84,0.1
LINC01766,20,1.116,0.4,2.9,2.38,0.44
ADRA2A,11,1.115,0.7,1.7,1.06,0.13
EHD2,7,1.115,0.6,1.9,1.23,0.16
IGHV1OR15.1,53,1.114,2.1,0.5,0.22,0.02
SH3PXD2B,38,1.114,0.6,1.9,1.22,0.16
SPDYE3,4,1.113,0.8,1.4,0.8,0.09
TMT1B,6,1.113,0.7,1.6,0.93,0.11
LINC01063,5,1.112,0.5,2.1,1.41,0.2
SNX22,219,1.112,0.5,2.4,1.8,0.28
CLK3.AS1,4,1.11,1.1,1,0.48,0.05
BCL2L2.PABPN1,7,1.109,0.8,1.4,0.76,0.09
FAM177B,69,1.109,0.7,1.7,1.03,0.13
PLAAT1,15,1.108,0.7,1.6,0.94,0.11
KCNJ10,6,1.106,0.8,1.3,0.74,0.08
GDF7,47,1.103,0.5,2,1.37,0.19
LILRB5,9,1.102,0.6,1.7,1.06,0.13
DLEC1,27,1.101,0.7,1.5,0.87,0.1
FCER2,651,1.1,0.5,2.3,1.63,0.24
TTLL7,14,1.1,0.5,2,1.38,0.19
CAPN11,3,1.099,0.8,1.4,0.82,0.1
SERPINE3,4,1.099,1,1.1,0.58,0.06
CD200,207,1.097,0.6,1.9,1.29,0.17
ADRB1,13,1.093,0.5,2.2,1.56,0.23
SLC38A11,40,1.089,0.7,1.6,0.97,0.12
HNRNPA1P27,3,1.085,1,1.1,0.58,0.06
LINC02569,3,1.083,0.8,1.3,0.72,0.08
SYT17,55,1.081,0.4,2.6,2.02,0.34
FAM182B,5,1.08,0.7,1.5,0.84,0.1
OR2W3,11,1.079,0.8,1.4,0.79,0.09
SLC44A5,10,1.078,1.1,1,0.47,0.05
CXCL11,5,1.075,0.7,1.4,0.82,0.1
SNX30.DT,3,1.075,0.8,1.4,0.81,0.1
PTPN20,11,1.072,0.5,2.1,1.49,0.21
ZNF451.AS1,3,1.072,0.9,1.2,0.66,0.07
GPX1P1,16,1.071,0.3,3.1,2.74,0.58
LINC01013,32,1.071,0.6,1.8,1.16,0.15
FFAR2,61,1.068,0.4,2.7,2.11,0.37
RASIP1,3,1.067,1.2,0.9,0.44,0.04
FHL1P1,8,1.064,0.9,1.1,0.58,0.06
TRAPPC3L,37,1.064,0.5,2.1,1.45,0.2
EGR1,2365,1.063,0.6,1.7,1.07,0.13
C1QB,114,1.061,0.7,1.5,0.88,0.1
LCN10,171,1.061,0.5,2.3,1.62,0.23
RPS26P58,3,1.061,0.7,1.5,0.83,0.1
IFNAR2.IL10RB,58,1.059,0.6,1.8,1.18,0.15
FAM138B,5,1.058,1,1.1,0.54,0.06
GBA1LP.1,132,1.058,0.5,2.3,1.73,0.26
LACTB2.AS1,14,1.058,0.5,2,1.39,0.19
TSKS,11,1.057,0.5,2.2,1.56,0.23
LINC02687,6,1.056,0.6,1.7,1.08,0.14
PTOV1.AS1,13,1.055,0.8,1.3,0.69,0.08
PCBP1.AS1,4,1.054,0.9,1.2,0.61,0.07
MICALL2.DT,3,1.053,0.8,1.4,0.78,0.09
CEL,3,1.047,0.9,1.2,0.62,0.07
SCN4A,4,1.047,0.7,1.4,0.8,0.09
FNBP1P1,3,1.046,0.8,1.3,0.75,0.09
MEIOC,3,1.046,0.8,1.3,0.75,0.09
SLC9A5,3,1.046,1.1,1,0.48,0.05
GYPE,24,1.045,0.4,2.4,1.75,0.27
RPS26P3,7,1.045,0.5,2,1.37,0.19
PLCD4,7,1.042,0.9,1.2,0.63,0.07
ADAMTS1,28,1.04,0.5,2.1,1.4,0.2
MPP3,3,1.039,1.1,1,0.48,0.05
AHSP,9,1.038,1,1.1,0.55,0.06
DMRTC1B,6,1.038,1.2,0.8,0.4,0.04
ELL3,35,1.037,0.4,2.5,1.94,0.3
MIR3150BHG,8,1.037,0.7,1.6,0.92,0.11
MAD2L1.DT,3,1.036,1,1,0.53,0.05
DDX11L16.2,27,1.034,0.5,2,1.39,0.19
LINC02887,4,1.034,1,1,0.53,0.05
TSPAN13,730,1.034,0.5,2.1,1.4,0.2
RAC3,3,1.032,0.7,1.5,0.91,0.11
LDLRAD2,7,1.03,0.8,1.2,0.65,0.07
CABYR,5,1.029,0.5,1.9,1.22,0.16
VEPH1,36,1.029,0.5,2.2,1.52,0.22
IL3RA,164,1.026,1.4,0.7,0.33,0.03
SNHG28,6,1.026,1,1,0.49,0.05
FABP3,26,1.025,0.6,1.6,0.96,0.12
GABRR2,8,1.025,0.7,1.4,0.79,0.09
PDK4.AS1,9,1.025,0.7,1.4,0.77,0.09
PROM1,6,1.025,0.7,1.5,0.89,0.11
CCDC26,12,1.023,0.5,2,1.39,0.19
CHMP4C,4,1.023,0.9,1.1,0.58,0.06
CFLAR.AS1,4,1.022,0.9,1.1,0.58,0.06
IGKV1D.8,22,1.021,0.6,1.6,1,0.12
ITIH1,8,1.02,0.6,1.7,1.04,0.13
MTCL1,15,1.02,0.6,1.7,1.08,0.14
ZNF436.AS1,5,1.019,0.9,1.2,0.63,0.07
TNFSF11,6,1.018,0.5,2.1,1.45,0.2
SPACA6,8,1.017,0.6,1.8,1.1,0.14
TLCD2,6,1.015,0.6,1.6,0.96,0.12
RPS18P12,7,1.013,0.4,2.3,1.73,0.26
MUC12,4,1.011,1.5,0.7,0.3,0.02
APOC1,4,1.008,0.6,1.7,1.09,0.14
CA6,21,1.008,0.5,2.1,1.45,0.2
CAHM,9,1.008,0.5,2.2,1.55,0.23
LINC03126,5,1.007,0.8,1.3,0.72,0.08
C1QC,39,1.005,0.7,1.4,0.79,0.09
CD9,459,1.005,0.4,2.6,1.97,0.32
EML6,31,1.004,0.6,1.7,1.01,0.13
GNMT,3,1.004,0.7,1.4,0.83,0.1
NEFL,160,1.004,0.4,2.7,2.1,0.36
FHIP1A,17,1.003,0.5,1.9,1.22,0.16
MT.TE,12,1.003,0.7,1.5,0.84,0.1
RMRP,42,1,0.4,2.6,1.99,0.33
KIF5A,13,0.996,0.6,1.7,1.02,0.13
KLKB1,3,0.996,1.1,0.9,0.42,0.04
ADM.DT,4,0.993,0.8,1.2,0.66,0.07
DDAH1,3,0.991,1,1,0.53,0.05
NIPAL4,23,0.99,0.6,1.5,0.91,0.11
CASC11,5,0.989,1.1,0.9,0.45,0.05
ADGRB3.DT,11,0.988,0.9,1,0.53,0.05
CLEC12B,20,0.988,0.6,1.6,0.92,0.11
CPEB1,5,0.988,0.7,1.3,0.74,0.08
DHRSX.1,74,0.988,0.8,1.3,0.7,0.08
ELAVL4,3,0.986,0.8,1.3,0.71,0.08
LINC03008,5,0.984,0.7,1.5,0.84,0.1
NIBAN3,377,0.984,0.5,2,1.37,0.19
AKR1E2,6,0.979,0.6,1.8,1.11,0.14
SAXO2,9,0.979,0.6,1.6,0.94,0.11
BACE2,201,0.978,0.4,2.2,1.6,0.23
MST1,13,0.978,0.5,2,1.32,0.18
DNAH10,8,0.977,0.8,1.3,0.71,0.08
ZDHHC19,3,0.976,1,0.9,0.46,0.05
PDE8B,24,0.975,0.4,2.3,1.65,0.24
PPP1R17,38,0.975,0.6,1.7,1.04,0.13
SULT1A2,5,0.975,0.9,1.1,0.58,0.06
LINC02848,9,0.974,0.5,2.2,1.5,0.21
ATP6V1C2,123,0.97,0.9,1.1,0.57,0.06
CRISP3,3,0.97,1.2,0.8,0.38,0.03
FAM88D,8,0.97,0.5,2,1.37,0.19
LINC02019,17,0.968,0.5,2.1,1.41,0.2
RPS27AP11,6,0.968,0.4,2.3,1.63,0.24
BTBD6P1,3,0.966,0.8,1.2,0.67,0.07
LCMT1.AS1,9,0.966,0.6,1.7,1.03,0.13
GLYATL2,4,0.964,0.7,1.3,0.71,0.08
LINC00689,8,0.964,1.1,0.9,0.42,0.04
GOLGA6L10,7,0.961,0.8,1.2,0.64,0.07
MYH3,19,0.961,0.8,1.2,0.66,0.07
EFCAB5,8,0.96,0.7,1.5,0.83,0.1
FOXC1,4,0.96,0.8,1.2,0.67,0.07
MELTF,12,0.96,0.5,1.8,1.12,0.14
OR2A1,5,0.96,0.7,1.4,0.82,0.1
ZNF475,27,0.96,0.7,1.3,0.73,0.08
FCGR1A,906,0.959,0.5,2.1,1.44,0.2
MPL,15,0.959,0.6,1.7,1.06,0.13
TFPI,23,0.959,0.5,2,1.35,0.18
WNK2,3,0.959,1.1,0.9,0.44,0.04
CMYA5,3,0.958,0.8,1.2,0.63,0.07
SRRM5,3,0.957,0.9,1.1,0.54,0.06
TUNAR,4,0.957,1,1,0.49,0.05
HBQ1,5,0.956,0.8,1.2,0.67,0.07
IL6,11,0.955,0.9,1.1,0.56,0.06
DNAAF4,5,0.954,0.6,1.5,0.86,0.1
HNRNPA1P21,11,0.954,0.8,1.1,0.6,0.07
MYO1B,51,0.954,0.5,2,1.3,0.18
PALM,3,0.953,0.8,1.3,0.69,0.08
TNF,92,0.951,0.4,2.5,1.85,0.29
AS3MT,6,0.95,2.2,0.4,0.17,0.01
GNG12,5,0.95,0.8,1.1,0.6,0.07
RPL3P7,5,0.95,0.6,1.5,0.91,0.11
SELENBP1,16,0.95,0.9,1.1,0.55,0.06
CLEC20A,8,0.949,0.8,1.1,0.6,0.07
GOLGA8J,6,0.948,0.8,1.2,0.64,0.07
ENPP3,4,0.947,0.5,1.9,1.24,0.16
KNDC1,27,0.945,0.5,2,1.38,0.19
LINC02704,5,0.945,0.7,1.4,0.82,0.1
RPL35P1,4,0.941,0.6,1.5,0.85,0.1
LAMA3,4,0.94,1,1,0.48,0.05
GSTM5,5,0.939,1.1,0.8,0.38,0.03
BORCS7.ASMT,3,0.938,0.8,1.1,0.58,0.06
TEKT4P2.1,49,0.938,0.7,1.3,0.73,0.08
FAM174A.DT,3,0.937,1.3,0.7,0.34,0.03
TMEM276.ZFTRAF1,63,0.937,0.6,1.5,0.85,0.1
LPAL2.1,12,0.935,0.6,1.4,0.83,0.1
MFAP5,4,0.935,1,0.9,0.46,0.05
RNU2.2,3,0.935,0.8,1.2,0.61,0.07
WFDC21P.1,27,0.935,0.4,2.1,1.46,0.21
C1QA,256,0.934,0.7,1.3,0.75,0.09
HPSE2,5,0.934,0.6,1.6,1,0.12
INPP5B.AS1,12,0.934,1,1,0.47,0.05
RPS26,22271,0.934,0.4,2.2,1.6,0.23
ST6GALNAC1,42,0.934,0.4,2.4,1.82,0.28
ZNF225.AS1,34,0.933,0.7,1.3,0.7,0.08
PPM1N,66,0.932,0.3,2.7,2.17,0.38
CKAP2.DT,9,0.931,0.5,2,1.31,0.18
ARG2,42,0.93,0.4,2.5,1.88,0.29
LINC01852,4,0.929,0.8,1.2,0.66,0.07
LIX1.AS1,6,0.928,1,1,0.47,0.05
NKD1,22,0.927,0.5,1.7,1.09,0.14
DISP2,16,0.926,0.9,1,0.52,0.05
MIR3945HG,9,0.925,0.7,1.4,0.78,0.09
IGKV2.26,4,0.923,1,0.9,0.46,0.05
NRIP3,20,0.92,0.6,1.6,0.95,0.11
NUDT16.DT,9,0.918,0.7,1.4,0.79,0.09
PAX6,5,0.918,0.8,1.2,0.62,0.07
SLC15A2,75,0.916,0.5,1.8,1.13,0.14
BCAM,3,0.913,0.9,1,0.52,0.05
KCNH8,18,0.913,0.6,1.5,0.87,0.1
S100P,38,0.913,0.6,1.6,0.92,0.11
KIF26B,6,0.912,0.6,1.6,0.92,0.11
IRGQ,158,0.91,0.3,3.1,2.66,0.55
KLC1.AS1,7,0.91,0.6,1.6,0.95,0.11
CEACAM19,4,0.908,0.7,1.2,0.65,0.07
EDN3,12,0.908,0.8,1.1,0.56,0.06
ADGRB2,6,0.907,0.5,2,1.31,0.18
OBI1.AS1,5,0.907,1.3,0.7,0.31,0.02
RASL10A,4,0.907,0.7,1.3,0.72,0.08
HTT.AS,3,0.906,0.9,1,0.47,0.05
NBPF25P.1,8,0.906,0.6,1.5,0.87,0.1
