symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MTMR3,1154,-0.62,0.15,-4.1,4.41,2.56
IGKV4.1,642,1.53,0.37,4.1,4.41,2.56
AGO1,1129,-0.4,0.1,-4.1,4.4,2.56
FAM168A,684,-0.39,0.09,-4.1,4.4,2.55
JARID2,715,-0.37,0.09,-4.1,4.38,2.55
C1QBP,2184,0.47,0.12,4.1,4.39,2.55
SPCS1,1857,0.35,0.09,4.1,4.38,2.55
TP53BP2,609,-0.32,0.08,-4.1,4.38,2.55
EBP,403,0.49,0.12,4.1,4.38,2.55
MAD2L1,241,0.95,0.23,4.1,4.38,2.55
NSMCE1,928,0.35,0.09,4.1,4.37,2.55
BUB1,82,1.8,0.44,4.1,4.37,2.55
RPL10A,29783,0.53,0.13,4.1,4.37,2.55
RPS29,22300,0.62,0.15,4.1,4.37,2.55
SMIM29,193,0.38,0.09,4.1,4.36,2.55
METTL5,451,0.42,0.1,4.1,4.36,2.54
RPS9,26434,0.49,0.12,4.1,4.34,2.53
SLC12A6,1380,-0.59,0.15,-4.1,4.34,2.53
MRPL54,824,0.6,0.15,4.1,4.34,2.53
IGLV6.57,64,2.07,0.51,4.1,4.33,2.53
ZFAS1,3473,0.51,0.12,4.1,4.32,2.52
PPIH,529,0.45,0.11,4.1,4.32,2.52
CNPY2,723,0.33,0.08,4.1,4.31,2.51
DTYMK,172,0.43,0.11,4.1,4.3,2.51
RPS7,35673,0.59,0.15,4.1,4.3,2.51
NABP2,327,0.43,0.11,4.1,4.29,2.51
NDUFB9,2020,0.48,0.12,4.1,4.29,2.51
RPL28,21128,0.41,0.1,4,4.29,2.5
PFDN1,890,0.32,0.08,4,4.25,2.47
ELK1,660,0.32,0.08,4,4.24,2.47
APOBEC3G,2135,0.52,0.13,4,4.24,2.46
IGKV1D.39,496,1.58,0.39,4,4.23,2.46
SELENOK,978,0.54,0.13,4,4.23,2.46
PPIL1,441,0.63,0.16,4,4.22,2.46
GLDC,57,2.49,0.62,4,4.22,2.45
LRRC42,169,0.34,0.08,4,4.21,2.45
MRPS18C,620,0.41,0.1,4,4.21,2.45
GUK1,1483,0.42,0.11,4,4.2,2.44
RABAC1,764,0.43,0.11,4,4.19,2.43
RPL36,9961,0.55,0.14,4,4.19,2.43
DDA1,568,0.3,0.07,4,4.19,2.43
RBIS,1011,0.48,0.12,4,4.19,2.43
MRPS33,691,0.56,0.14,4,4.18,2.43
NARS1,2400,-0.33,0.08,-4,4.18,2.43
IGKV3.11,555,1.39,0.35,4,4.18,2.43
SMURF1,188,-0.58,0.15,-4,4.17,2.43
CPEB4,511,-0.69,0.17,-4,4.17,2.43
NDUFAF4,303,0.53,0.13,4,4.17,2.43
VASH1,328,-0.89,0.22,-4,4.16,2.42
TMEM258,793,0.4,0.1,4,4.15,2.42
C19orf53,1198,0.39,0.1,4,4.15,2.42
GGH,104,1.1,0.28,4,4.15,2.42
TMF1,1069,-0.33,0.08,-4,4.14,2.42
NSD1,1591,-0.36,0.09,-4,4.14,2.42
LSM3,1169,0.35,0.09,4,4.14,2.42
RNASEH2C,510,0.43,0.11,4,4.14,2.42
RPS5,18628,0.66,0.17,4,4.13,2.41
TPX2,63,1.07,0.27,4,4.12,2.4
SSR2,6378,0.37,0.09,3.9,4.1,2.39
PRDX4,509,0.6,0.15,3.9,4.09,2.38
SLC35B2,358,0.32,0.08,3.9,4.09,2.38
SEC61G,845,0.47,0.12,3.9,4.08,2.37
PHB2,3378,0.32,0.08,3.9,4.08,2.37
RPS21,13297,0.69,0.18,3.9,4.07,2.37
NDUFA11,1033,0.54,0.14,3.9,4.08,2.37
MRPL51,1199,0.53,0.14,3.9,4.07,2.37
EPS8L2,80,0.71,0.18,3.9,4.06,2.36
SLC8B1,492,-0.48,0.12,-3.9,4.05,2.36
STRN4,621,-0.63,0.16,-3.9,4.06,2.36
KIAA0513,929,-0.71,0.18,-3.9,4.06,2.36
IGHA2,2068,2.68,0.68,3.9,4.06,2.36
TFPT,283,0.44,0.11,3.9,4.05,2.36
PPP1CA,4560,0.29,0.07,3.9,4.05,2.36
AIP,1406,0.26,0.07,3.9,4.04,2.36
EAF2,543,0.98,0.25,3.9,4.04,2.36
QSER1,336,-0.58,0.15,-3.9,4.04,2.36
SLC7A6,686,-0.67,0.17,-3.9,4.02,2.35
NEK4,408,-0.44,0.11,-3.9,4.02,2.35
UTRN,2052,-0.52,0.13,-3.9,4.02,2.35
PRPF40A,2040,-0.22,0.06,-3.9,4.02,2.35
IGKV1.39,178,2.27,0.58,3.9,4.02,2.35
IGKV2.28,160,1.36,0.35,3.9,4.02,2.35
RPS15,15217,0.4,0.1,3.9,4.01,2.34
ORMDL2,668,0.44,0.11,3.9,4.01,2.34
STK40,1112,-0.31,0.08,-3.9,4,2.34
IL17RA,2555,-0.59,0.15,-3.9,4,2.33
SMIM27,110,0.54,0.14,3.9,4,2.33
C11orf98,672,0.43,0.11,3.9,3.99,2.33
RPS16,25764,0.52,0.13,3.9,3.99,2.33
GTF2A2,924,0.37,0.1,3.9,3.99,2.33
UBE2S,200,0.59,0.15,3.9,3.97,2.32
CCNB1,107,1.31,0.34,3.9,3.97,2.32
ATRAID,1372,0.35,0.09,3.9,3.97,2.32
CSNK1D,1792,-0.42,0.11,-3.9,3.97,2.32
RSPH3,134,-0.66,0.17,-3.9,3.97,2.32
ZNF629,101,-0.6,0.15,-3.9,3.96,2.32
RPS18,79695,0.74,0.19,3.9,3.96,2.32
CHCHD2,3584,0.47,0.12,3.9,3.95,2.31
CKS1B,272,0.7,0.18,3.9,3.95,2.31
DHX29,437,-0.25,0.06,-3.9,3.94,2.3
MCM9,296,-0.44,0.12,-3.9,3.94,2.3
GPR15,1174,2.27,0.59,3.9,3.94,2.3
PPIB,5904,0.43,0.11,3.9,3.94,2.3
PRELID3B,1437,0.31,0.08,3.9,3.93,2.3
RPS10,27253,0.57,0.15,3.9,3.93,2.3
IGLC3,1537,1.91,0.5,3.9,3.93,2.3
JAGN1,646,0.39,0.1,3.9,3.93,2.3
TECPR1,666,-0.63,0.16,-3.8,3.93,2.3
DNAJC13,1221,-0.43,0.11,-3.8,3.92,2.29
DMAC1,531,0.52,0.14,3.8,3.91,2.29
YPEL2,809,-0.42,0.11,-3.8,3.91,2.29
BLTP2,2521,-0.41,0.11,-3.8,3.9,2.28
SNU13,2016,0.33,0.08,3.8,3.9,2.28
HAUS1,560,0.5,0.13,3.8,3.9,2.28
H1.0,791,-0.69,0.18,-3.8,3.9,2.28
RPL36A,14403,0.44,0.12,3.8,3.9,2.28
MADD,1155,-0.42,0.11,-3.8,3.9,2.28
WEE1,201,0.84,0.22,3.8,3.89,2.28
RPL10P9,337,2.11,0.55,3.8,3.89,2.28
NDUFB7,557,0.56,0.15,3.8,3.87,2.27
RNASEH2B,1320,0.37,0.1,3.8,3.87,2.27
IGF1R,370,-0.71,0.19,-3.8,3.88,2.27
ROCK2,409,-0.38,0.1,-3.8,3.87,2.27
TMEM14B,1371,0.48,0.13,3.8,3.87,2.27
SELENOF,5240,0.39,0.1,3.8,3.87,2.27
GTF3A,3565,0.4,0.1,3.8,3.86,2.26
MRPL57,468,0.43,0.11,3.8,3.86,2.26
CLCN7,699,-0.83,0.22,-3.8,3.86,2.26
RANGRF,318,0.36,0.09,3.8,3.85,2.26
COX7C,5347,0.38,0.1,3.8,3.86,2.26
RTN4IP1,109,0.52,0.14,3.8,3.85,2.26
PPP1R12B,178,-0.97,0.26,-3.8,3.85,2.26
QKI,3458,-0.5,0.13,-3.8,3.85,2.26
H2AC25,102,0.77,0.2,3.8,3.85,2.26
PACSIN2,1176,-0.33,0.09,-3.8,3.84,2.26
COX6A1,1915,0.43,0.11,3.8,3.84,2.26
UBE2D2,2764,0.29,0.08,3.8,3.84,2.26
ZBTB34,412,-0.55,0.14,-3.8,3.84,2.26
SIVA1,400,0.44,0.12,3.8,3.84,2.26
TIPRL,1303,0.42,0.11,3.8,3.83,2.25
CDCA7,108,1.17,0.31,3.8,3.83,2.25
RPL37A,36316,0.44,0.12,3.8,3.83,2.25
FKBP11,377,0.71,0.19,3.8,3.82,2.25
UQCRQ,813,0.54,0.14,3.8,3.82,2.25
SSPN,71,1.71,0.45,3.8,3.81,2.24
RPS15A,39978,0.6,0.16,3.8,3.81,2.24
NDUFB8,1606,0.38,0.1,3.8,3.81,2.24
RPL13AP5,424,0.6,0.16,3.8,3.81,2.24
FNTB,152,-0.45,0.12,-3.8,3.81,2.24
EPG5,600,-0.37,0.1,-3.8,3.8,2.24
ITM2C,1100,0.83,0.22,3.8,3.79,2.23
CHD1,1067,-0.54,0.14,-3.8,3.79,2.23
CD59,1050,0.77,0.2,3.8,3.79,2.23
LYRM1,525,0.37,0.1,3.8,3.78,2.23
ITGB7,2505,0.48,0.13,3.8,3.78,2.23
IGKV2.24,61,1.5,0.4,3.8,3.78,2.23
EEA1,459,-0.58,0.15,-3.8,3.78,2.23
PSMA2,2444,0.39,0.1,3.8,3.78,2.23
CDK19,660,-0.35,0.09,-3.8,3.77,2.23
RPP25L,204,0.42,0.11,3.8,3.77,2.23
NFU1,462,0.46,0.12,3.8,3.77,2.23
OSTC,2162,0.44,0.12,3.8,3.77,2.23
NME1,436,0.65,0.17,3.8,3.78,2.23
SSH2,1790,-0.37,0.1,-3.8,3.77,2.22
HIC2,79,-0.6,0.16,-3.8,3.77,2.22
RAP1GAP2,683,-0.52,0.14,-3.8,3.77,2.22
TRIM33,881,-0.4,0.11,-3.8,3.76,2.22
CDC42BPB,221,-0.82,0.22,-3.8,3.76,2.22
NCOA1,1373,-0.42,0.11,-3.7,3.75,2.22
VIPR1,388,-0.59,0.16,-3.7,3.75,2.22
DGUOK,850,0.32,0.09,3.7,3.75,2.22
GNL3L,503,-0.38,0.1,-3.8,3.76,2.22
SRP14,3578,0.33,0.09,3.7,3.75,2.22
RPSA,41751,0.57,0.15,3.8,3.75,2.22
MRPL13,547,0.59,0.16,3.7,3.75,2.22
TOMM20,4576,0.57,0.15,3.7,3.75,2.22
IGLV4.69,70,1.59,0.42,3.7,3.75,2.22
CYTH3,177,-0.57,0.15,-3.7,3.74,2.22
RTRAF,2029,0.27,0.07,3.7,3.74,2.22
CDC123,1179,0.27,0.07,3.7,3.74,2.22
PIK3CD,2926,-0.29,0.08,-3.7,3.74,2.22
TXNDC5,3556,1.27,0.34,3.7,3.74,2.22
IGKV1.12,93,1.36,0.36,3.7,3.74,2.21
CUTA,1205,0.4,0.11,3.7,3.73,2.21
REL,811,-0.66,0.18,-3.7,3.73,2.21
MRPL36,263,0.43,0.12,3.7,3.72,2.21
TTBK2,389,-0.5,0.13,-3.7,3.72,2.2
MAP3K3,1500,-0.63,0.17,-3.7,3.71,2.2
BAZ2A,2132,-0.49,0.13,-3.7,3.71,2.2
MNAT1,142,0.44,0.12,3.7,3.71,2.2
ELOC,831,0.39,0.1,3.7,3.7,2.19
NUBP2,390,0.22,0.06,3.7,3.69,2.19
RPL18A,39678,0.49,0.13,3.7,3.69,2.19
KDM5C,887,-0.72,0.19,-3.7,3.69,2.19
TET3,814,-0.66,0.18,-3.7,3.69,2.18
COA4,534,0.34,0.09,3.7,3.68,2.18
SNHG29,9044,0.5,0.14,3.7,3.68,2.18
GLO1,2061,0.39,0.11,3.7,3.68,2.18
PTPRE,1715,-0.68,0.18,-3.7,3.67,2.17
ACOT13,393,0.63,0.17,3.7,3.67,2.17
CCDC167,284,0.72,0.2,3.7,3.66,2.16
MRPL14,473,0.46,0.13,3.7,3.66,2.16
CEP85L,555,-0.46,0.13,-3.7,3.65,2.15
ATP5MC1,562,0.39,0.11,3.7,3.64,2.15
GAPVD1,793,-0.3,0.08,-3.7,3.65,2.15
RPL36AP37,186,0.5,0.14,3.7,3.64,2.15
MAVS,886,-0.49,0.13,-3.7,3.64,2.15
RPS14,67370,0.59,0.16,3.7,3.64,2.15
HTT,1009,-0.46,0.13,-3.7,3.64,2.15
SMIM30,609,0.37,0.1,3.7,3.64,2.15
PAFAH1B3,154,0.43,0.12,3.7,3.63,2.15
ERVK3.1,617,0.34,0.09,3.7,3.63,2.15
TNFRSF13B,114,1.32,0.36,3.7,3.63,2.14
KRBA2,69,-1.19,0.33,-3.7,3.62,2.14
SUMO1,3008,0.33,0.09,3.7,3.62,2.14
BRD3,552,-0.39,0.11,-3.7,3.61,2.13
TINF2,1983,0.33,0.09,3.7,3.61,2.13
LAGE3,143,0.42,0.12,3.7,3.61,2.13
NDUFA13,1819,0.5,0.14,3.7,3.6,2.13
OCIAD2,587,0.75,0.2,3.7,3.6,2.12
GTF2H5,409,0.44,0.12,3.7,3.6,2.12
RWDD1,1392,0.42,0.11,3.7,3.6,2.12
MAGOH,801,0.28,0.08,3.7,3.6,2.12
NXT1,330,0.46,0.13,3.7,3.59,2.12
DRG1,1013,0.35,0.09,3.7,3.59,2.12
PSMD9,771,0.29,0.08,3.7,3.59,2.12
HBA2,1458,3.28,0.9,3.7,3.58,2.11
MCRIP1,579,0.34,0.09,3.6,3.58,2.11
MRPS6,848,0.4,0.11,3.6,3.58,2.11
LRRC37A16P,83,-0.43,0.12,-3.6,3.58,2.11
CRAMP1,263,-0.71,0.2,-3.6,3.58,2.11
AP2A1,998,-0.44,0.12,-3.6,3.57,2.11
SNRPG,1345,0.68,0.19,3.6,3.57,2.11
ATP5MK,1111,0.45,0.12,3.6,3.57,2.11
TMEM256,226,0.62,0.17,3.6,3.57,2.11
EPB41L4A.AS1,460,0.46,0.13,3.6,3.56,2.11
CHAC2,79,1.13,0.31,3.6,3.56,2.1
RPL24,22239,0.47,0.13,3.6,3.55,2.09
CXorf38,1158,-0.36,0.1,-3.6,3.55,2.09
RPL34,24582,0.55,0.15,3.6,3.55,2.09
PLGRKT,321,0.52,0.14,3.6,3.54,2.09
SUPT6H,1356,-0.37,0.1,-3.6,3.54,2.09
CYB5A,284,0.67,0.18,3.6,3.54,2.09
UQCC4,135,0.35,0.1,3.6,3.53,2.08
RPS8,50256,0.51,0.14,3.6,3.53,2.08
NUGGC,65,1.05,0.29,3.6,3.52,2.07
NOTCH2,4360,-0.53,0.15,-3.6,3.51,2.07
MCTS1,790,0.4,0.11,3.6,3.51,2.07
MAP4K4,2139,-0.42,0.12,-3.6,3.51,2.07
BABAM1,1185,0.21,0.06,3.6,3.5,2.06
ROMO1,532,0.61,0.17,3.6,3.5,2.06
ISG20,1344,0.71,0.2,3.6,3.5,2.06
ILF2,2178,0.33,0.09,3.6,3.5,2.06
TBCA,1839,0.37,0.1,3.6,3.49,2.06
NDUFA4,2335,0.52,0.14,3.6,3.49,2.06
MRPL11,697,0.47,0.13,3.6,3.49,2.06
RPS7P1,140,0.57,0.16,3.6,3.49,2.06
TRAPPC6A,431,0.32,0.09,3.6,3.49,2.05
PDIA6,3814,0.36,0.1,3.6,3.49,2.05
UBB,8910,0.32,0.09,3.6,3.49,2.05
RNF169,639,-0.45,0.13,-3.6,3.48,2.05
NAXE,653,0.45,0.13,3.6,3.48,2.05
MBTD1,544,-0.37,0.1,-3.6,3.47,2.05
SLC6A6,1316,-0.54,0.15,-3.6,3.47,2.05
HMGN4,3277,0.3,0.08,3.6,3.47,2.05
HSD17B8,146,0.55,0.15,3.6,3.47,2.05
ITPRIP,524,-0.38,0.1,-3.6,3.47,2.04
ZZEF1,940,-0.69,0.19,-3.6,3.46,2.04
ERF,319,-0.41,0.12,-3.6,3.46,2.04
NTMT1,285,0.37,0.1,3.6,3.46,2.04
SKP1,4317,0.32,0.09,3.6,3.46,2.03
RPS28,8582,0.44,0.12,3.6,3.45,2.03
ADSL,1316,0.33,0.09,3.6,3.45,2.03
ERCC6L2,432,-0.45,0.13,-3.6,3.45,2.03
EIF5A,4790,0.25,0.07,3.6,3.44,2.03
TMCO1,2159,0.37,0.1,3.6,3.44,2.03
RPL13A,90286,0.47,0.13,3.6,3.44,2.03
ATP5MG,5342,0.46,0.13,3.6,3.44,2.03
ABRACL,2164,0.4,0.11,3.6,3.44,2.02
THYN1,591,0.35,0.1,3.6,3.44,2.02
NEU3,226,-0.59,0.17,-3.6,3.43,2.02
ATXN7,821,-0.42,0.12,-3.6,3.43,2.02
PRDX2,1092,0.53,0.15,3.6,3.43,2.02
EEF1A1P6,493,0.8,0.22,3.6,3.43,2.02
SLC25A39,713,0.33,0.09,3.5,3.41,2.01
ARL1,990,0.33,0.09,3.5,3.41,2.01
TMEM131L,1118,-0.37,0.11,-3.5,3.41,2.01
PHF20L1,940,-0.46,0.13,-3.5,3.41,2.01
TENT4B,469,-0.36,0.1,-3.5,3.41,2.01
IGHV3.49,75,1.65,0.47,3.5,3.41,2.01
RPL38,15991,0.44,0.12,3.5,3.41,2.01
DPP8,1230,-0.25,0.07,-3.5,3.4,2
PEBP1,2390,0.37,0.1,3.5,3.4,2
USP22,1844,-0.28,0.08,-3.5,3.4,2
MRPL47,599,0.32,0.09,3.5,3.4,2
OVCA2,419,0.43,0.12,3.5,3.4,2
RPL27,29432,0.53,0.15,3.5,3.4,2
ATP5IF1,960,0.48,0.13,3.5,3.39,2
HINT2,209,0.5,0.14,3.5,3.39,2
MRPS21,984,0.36,0.1,3.5,3.39,2
ECE1,1162,-0.52,0.15,-3.5,3.38,1.99
PDZD8,604,-0.5,0.14,-3.5,3.39,1.99
FIBP,662,0.29,0.08,3.5,3.38,1.99
UNC13D,1089,-0.43,0.12,-3.5,3.38,1.99
ADCY7,1967,-0.63,0.18,-3.5,3.36,1.98
PRMT1,1252,0.3,0.09,3.5,3.36,1.98
KRI1,559,-0.52,0.15,-3.5,3.36,1.98
RABEPK,252,0.28,0.08,3.5,3.36,1.98
MTHFR,577,-0.52,0.15,-3.5,3.37,1.98
UBE2N,2678,0.42,0.12,3.5,3.36,1.98
ERLEC1,1234,0.33,0.09,3.5,3.35,1.98
COX7A2,1783,0.55,0.16,3.5,3.36,1.98
SDF2,855,0.37,0.1,3.5,3.36,1.98
ST6GALNAC4,193,0.48,0.14,3.5,3.35,1.98
KANSL1L,128,-0.6,0.17,-3.5,3.35,1.98
TACC1,2158,-0.31,0.09,-3.5,3.36,1.98
ASAP1,879,-0.47,0.13,-3.5,3.35,1.98
IGKV1.16,89,1.49,0.42,3.5,3.36,1.98
RPL32P29,197,0.49,0.14,3.5,3.36,1.98
NME2,3575,0.44,0.13,3.5,3.34,1.97
KPNB1,2915,-0.3,0.09,-3.5,3.33,1.96
ARHGAP21,574,-0.79,0.23,-3.5,3.33,1.96
PSMD13,2482,0.31,0.09,3.5,3.33,1.96
IGHG2,1495,1.76,0.5,3.5,3.33,1.96
MPG,351,0.46,0.13,3.5,3.32,1.96
CSGALNACT2,1589,-0.47,0.14,-3.5,3.32,1.96
MAML3,187,-0.81,0.23,-3.5,3.32,1.96
MRPL20,792,0.31,0.09,3.5,3.32,1.96
TMED2,4527,0.28,0.08,3.5,3.31,1.95
SLC25A17,244,0.41,0.12,3.5,3.31,1.95
YTHDC2,536,-0.37,0.1,-3.5,3.31,1.95
PPP1R12A,1649,-0.37,0.11,-3.5,3.31,1.95
RBM28,289,-0.47,0.13,-3.5,3.31,1.95
PTPN12,2142,-0.54,0.16,-3.5,3.31,1.95
DNAAF2,320,0.49,0.14,3.5,3.31,1.95
XRCC5,7722,0.28,0.08,3.5,3.3,1.95
NPDC1,106,1.06,0.3,3.5,3.3,1.95
RAPGEF2,371,-0.57,0.16,-3.5,3.3,1.95
PCNA,997,0.58,0.17,3.5,3.3,1.95
ATP5MC3,1976,0.4,0.11,3.5,3.3,1.95
RAB11FIP1,1291,-0.79,0.23,-3.5,3.3,1.95
AIM2,240,0.83,0.24,3.5,3.3,1.95
SDHAF2,856,0.3,0.09,3.5,3.3,1.95
MRPS11,330,0.4,0.11,3.5,3.3,1.95
UQCR10,1206,0.36,0.1,3.5,3.3,1.95
RALGAPA2,446,-0.53,0.15,-3.5,3.3,1.95
UBL5,1825,0.49,0.14,3.5,3.3,1.95
SLK,1087,-0.43,0.12,-3.5,3.29,1.94
TPCN2,261,-0.74,0.21,-3.5,3.29,1.94
KDM6B,512,-0.61,0.18,-3.5,3.29,1.94
RPS18P5,135,0.75,0.22,3.5,3.29,1.94
AP4E1,497,-0.3,0.09,-3.5,3.28,1.94
SNRPE,899,0.4,0.12,3.5,3.28,1.94
TEX30,158,0.62,0.18,3.5,3.28,1.93
NFE2L1,1208,-0.43,0.12,-3.5,3.27,1.93
ZNF106,2107,-0.44,0.13,-3.5,3.27,1.93
TMEM267,269,0.41,0.12,3.5,3.27,1.93
RPL14,25630,0.38,0.11,3.5,3.27,1.93
SNHG6,2045,0.4,0.11,3.5,3.27,1.93
BOLA3,123,0.53,0.15,3.5,3.27,1.93
SAR1B,1062,0.59,0.17,3.5,3.27,1.93
PLAAT4,2568,0.56,0.16,3.5,3.27,1.93
TCP11L1,117,-0.48,0.14,-3.5,3.27,1.93
ULK2,416,-0.57,0.17,-3.5,3.27,1.93
CD52,13508,0.55,0.16,3.5,3.26,1.93
ZBTB8OS,406,0.39,0.11,3.5,3.26,1.93
RPS27L,1181,0.46,0.13,3.5,3.26,1.93
COX4I1,9389,0.35,0.1,3.5,3.26,1.93
RPL7A,47162,0.38,0.11,3.5,3.26,1.93
ATP11A,748,-0.65,0.19,-3.5,3.25,1.92
