symbol,baseMean,log2_FoldChange,lfcSE,stat,minus_log10_pvalue,minus_log10_padjvalue
C1QTNF3.AMACR,5,0.829,3.2,0.3,0.1,0.05
HERC2P3,5,3.653,3.2,1.1,0.59,0.3
ZNF781,7,1.562,3.2,0.5,0.21,0.1
ASDURF,6,-1.91,3.1,-0.6,0.26,0.13
CFAP95,6,-2.066,3.1,-0.7,0.29,0.14
F8A2,38,-1.683,3.1,-0.5,0.23,0.11
H2AC18,12,-0.88,3.1,-0.3,0.11,0.05
INTS4P1,5,-1.172,3.1,-0.4,0.15,0.07
NPIPA8,19,-1.841,3.1,-0.6,0.26,0.13
PMS2CL,8,-3.12,3.1,-1,0.49,0.25
SMIM10L3,35,2.172,3.1,0.7,0.31,0.15
UTP14C,24,-1.488,3.1,-0.5,0.2,0.09
ZNF815P,5,-0.682,3.1,-0.2,0.08,0.04
PWAR5,6,5.47,3,1.8,1.19,0.61
RRP7BP,10,0.92,2.9,0.3,0.12,0.06
SBDSP1,13,0.842,2.9,0.3,0.11,0.05
X5_8S_rRNA,120,-1.782,2.9,-0.6,0.27,0.13
NPEPPSP1.1,9,-1.727,2.8,-0.6,0.27,0.13
GSTM1,414,1.551,2.7,0.6,0.25,0.12
HERC3.1,39,0.596,2.7,0.2,0.08,0.04
ZNF658B,7,0.658,2.7,0.2,0.09,0.04
FAM184B,13,-3.711,2.6,-1.4,0.82,0.42
FOXH1,6,-4.478,2.6,-1.7,1.06,0.54
LINC03105,21,1.532,2.5,0.6,0.27,0.13
SMG1P1,13,6.52,2.5,2.6,2.09,1.02
IGHV1OR15.1,38,-0.367,2.3,-0.2,0.06,0.03
IGHV5.10.1,31,0.529,2.3,0.2,0.09,0.04
RPS14P8,9,-6.426,2.3,-2.7,2.22,1.08
RPS26P19,7,-0.871,2.3,-0.4,0.16,0.07
SMG1P3,33,-0.438,2.3,-0.2,0.07,0.03
TXLNGY.1,487,0.713,2.3,0.3,0.12,0.06
ZFP57,29,0.861,2.3,0.4,0.15,0.07
ZNF204P,12,-0.68,2.3,-0.3,0.11,0.05
CELF6.AS1,22,-3.325,2.2,-1.5,0.91,0.47
EIF1AY,656,0.842,2.2,0.4,0.16,0.07
GTPBP6.1,248,-0.037,2.2,0,0.01,0
HNRNPA1P10,8,0.802,2.2,0.4,0.14,0.07
IGKV1D.17,12,6.398,2.2,2.9,2.48,1.2
UTY,240,0.576,2.2,0.3,0.1,0.05
ZFY,252,0.665,2.2,0.3,0.12,0.06
IL3RA.1,72,-0.869,2.1,-0.4,0.17,0.08
KDM5D,395,-0.392,2.1,-0.2,0.07,0.03
RNF150,11,6.311,2.1,2.9,2.49,1.2
SMG1P5,16,0.371,2.1,0.2,0.06,0.03
USP9Y,448,0.868,2.1,0.4,0.17,0.08
XIST,1306,-1.875,2.1,-0.9,0.44,0.22
CENPBD2P,19,-1.828,2,-0.9,0.43,0.22
GTPBP6,250,-0.053,2,0,0.01,0
HMGB1P3,5,0.89,2,0.4,0.18,0.09
INO80B.WBP1,67,1.596,2,0.8,0.38,0.19
NEBL,62,7.315,2,3.6,3.52,1.67
NR4A1AS,13,-1.169,2,-0.6,0.25,0.12
NSFP1,15,-1.436,2,-0.7,0.33,0.17
PMS2P1,15,-1.358,2,-0.7,0.31,0.15
SPDYE2,11,-1.659,2,-0.8,0.4,0.2
BCORP1.1,34,0.556,1.9,0.3,0.11,0.05
BPTFP1,12,-2.162,1.9,-1.1,0.59,0.3
GTF2H2B,56,0.961,1.9,0.5,0.21,0.1
IGKV1D.13,49,8.393,1.9,4.4,4.98,2.47
KYAT1.1,13,-2.062,1.9,-1.1,0.54,0.28
PLCXD1,32,0.926,1.9,0.5,0.21,0.1
SLX1B.SULT1A4,94,-3.578,1.9,-1.9,1.24,0.63
TMSB4Y,46,-0.862,1.9,-0.4,0.18,0.09
CCDC144A,45,-1.891,1.8,-1.1,0.54,0.27
CHURC1.FNTB,22,-1.337,1.8,-0.7,0.34,0.17
DDX3Y,1071,0.252,1.8,0.1,0.05,0.02
GTF2IP1,127,0.344,1.8,0.2,0.07,0.03
HLA.DRB6,34,0.61,1.8,0.3,0.13,0.06
LINC00278,31,-0.632,1.8,-0.3,0.14,0.06
LINC02315,6,4.029,1.8,2.3,1.64,0.82
PDLIM7.AS1,6,-3.395,1.8,-1.9,1.26,0.64
PRKY.1,225,0.01,1.8,0,0,0
RPS4Y1,5122,0.772,1.8,0.4,0.17,0.08
AHSP,5,1.451,1.7,0.9,0.42,0.21
AS3MT,7,-1.668,1.7,-1,0.5,0.25
FAM83F,5,2.896,1.7,1.7,1.06,0.54
FAM95B1.1,8,0.431,1.7,0.3,0.1,0.05
H4C11,17,1.443,1.7,0.8,0.4,0.2
IGFBP5,5,4.343,1.7,2.6,2.03,1.01
IGHV7.4.1,35,6.02,1.7,3.6,3.52,1.67
NPIPA3,5,-1.507,1.7,-0.9,0.43,0.22
PRAL,34,-2.936,1.7,-1.8,1.1,0.56
RAB3C,6,-2.652,1.7,-1.6,0.95,0.48
AGGF1P10,6,-3.034,1.6,-1.9,1.23,0.62
AKAP17A,310,-1.23,1.6,-0.7,0.34,0.17
CENPBD1P,46,-0.744,1.6,-0.5,0.19,0.09
COL7A1,6,-1.318,1.6,-0.8,0.39,0.2
COMMD3.BMI1,7,-0.547,1.6,-0.3,0.13,0.06
CSF2RA.1,345,-0.842,1.6,-0.5,0.23,0.11
CXorf65,6,1.212,1.6,0.8,0.36,0.18
DCANP1,9,-0.934,1.6,-0.6,0.26,0.13
DKK2,5,3.678,1.6,2.2,1.61,0.81
FBXW10B,6,-1.438,1.6,-0.9,0.43,0.22
IL3RA,106,0.177,1.6,0.1,0.04,0.02
LCT.AS1,9,1.906,1.6,1.2,0.65,0.33
NCF1C,333,0.205,1.6,0.1,0.05,0.02
NPIPP1,23,-1.526,1.6,-1,0.48,0.25
PLEKHM1P1,5,3.279,1.6,2.1,1.4,0.71
RPL23AP87.1,6,3.91,1.6,2.5,1.85,0.92
SIK1,85,-0.721,1.6,-0.4,0.18,0.09
SORD2P.1,25,1.016,1.6,0.7,0.29,0.14
TPM4P2,5,3.593,1.6,2.3,1.64,0.82
ASMTL,75,-0.409,1.5,-0.3,0.11,0.05
CPA5,31,1.712,1.5,1.2,0.61,0.31
CTAGE8,6,-0.043,1.5,0,0.01,0
ENO1P1,7,-0.019,1.5,0,0,0
FAM156B,141,-1.572,1.5,-1,0.52,0.26
FHL1P1,9,3.539,1.5,2.4,1.74,0.87
HBG2,25,-0.462,1.5,-0.3,0.12,0.06
KRT8P12,8,2.254,1.5,1.5,0.88,0.45
LINC01954,7,0.842,1.5,0.6,0.24,0.11
LMNTD2.AS1,10,-2.555,1.5,-1.7,1.06,0.54
MTND1P23,5398,4.73,1.5,3.1,2.78,1.33
NBPF19,284,-2.119,1.5,-1.4,0.78,0.4
NLGN4Y,12,3.454,1.5,2.4,1.74,0.87
NRIR,7,-3.133,1.5,-2.1,1.47,0.74
PKD1P4,35,-1.296,1.5,-0.8,0.4,0.2
PKD2L1,5,1.676,1.5,1.1,0.56,0.28
PNMA8A,6,1.902,1.5,1.2,0.67,0.34
RSPH10B2,10,-1.27,1.5,-0.8,0.38,0.19
SNORC,9,-1.196,1.5,-0.8,0.38,0.19
SOS1.IT1,8,-0.854,1.5,-0.6,0.24,0.12
STX16.NPEPL1,43,-1.712,1.5,-1.1,0.59,0.3
ZRSR2P1,6,0.035,1.5,0,0.01,0
ACTG1P17.1,5,-0.506,1.4,-0.4,0.14,0.07
ASMTL.AS1.1,11,-1.665,1.4,-1.2,0.64,0.33
ASPRV1,5,1.51,1.4,1.1,0.57,0.29
CADM2,7,-1.793,1.4,-1.3,0.71,0.36
CXCL14,5,4.375,1.4,3.1,2.73,1.3
F8A3,162,7.009,1.4,5,6.33,3.36
GCOM1,5,0.805,1.4,0.6,0.25,0.12
IGHV3.64D,9,0.843,1.4,0.6,0.27,0.13
IGKV2.29,40,4.196,1.4,3,2.64,1.26
IL6,6,2.56,1.4,1.9,1.24,0.63
ITIH4,48,-2.976,1.4,-2.1,1.47,0.74
LERFS,36,0.876,1.4,0.6,0.28,0.14
LINC01291,83,-0.572,1.4,-0.4,0.17,0.08
LINC03053,5,1.747,1.4,1.3,0.68,0.35
LINC03112,8,0.122,1.4,0.1,0.03,0.01
MAST3.AS1,13,-2.004,1.4,-1.5,0.85,0.43
NPM1P25,6,0.537,1.4,0.4,0.16,0.07
PKD1P1,61,-1.3,1.4,-0.9,0.46,0.23
PLCXD1.1,108,-1.155,1.4,-0.8,0.38,0.19
S100A1,6,-1.814,1.4,-1.3,0.74,0.38
SERF1A,50,0.314,1.4,0.2,0.09,0.04
TF,9,-0.475,1.4,-0.3,0.14,0.06
TIMM23B.AGAP6,11,-1.559,1.4,-1.1,0.58,0.3
TPO,5,1.308,1.4,0.9,0.46,0.23
TREML4,16,3.472,1.4,2.6,1.99,0.99
TTTY14,8,-0.868,1.4,-0.6,0.27,0.14
TXLNGY,9,0.041,1.4,0,0.01,0
UCHL1,5,3.706,1.4,2.6,2.07,1.02
ADARB2,6,-1.066,1.3,-0.8,0.39,0.19
ADCY10P1.1,31,-1.516,1.3,-1.2,0.61,0.31
BMP3,6,0.94,1.3,0.7,0.33,0.16
BMS1P4.AGAP5,7,0.67,1.3,0.5,0.21,0.1
COL26A1,13,-1.233,1.3,-0.9,0.46,0.23
DMC1,9,5.169,1.3,3.9,4,1.91
EDN3,7,0.877,1.3,0.7,0.31,0.15
FAT1,5,2.168,1.3,1.7,1.05,0.54
FRG1CP,52,0.103,1.3,0.1,0.03,0.01
GNRHR2P1,12,-0.565,1.3,-0.4,0.17,0.08
GOLGA8T,7,-2.369,1.3,-1.8,1.19,0.61
HLA.DQB2,102,0.003,1.3,0,0,0
IFI27,127,3.842,1.3,3,2.54,1.23
IGHV2.70D,10,2.425,1.3,1.8,1.15,0.59
ITGAD,14,5.169,1.3,4.1,4.29,2.09
KCNK17,5,-0.396,1.3,-0.3,0.11,0.05
LINC01220,11,2.254,1.3,1.8,1.13,0.58
MDGA1,38,1.471,1.3,1.1,0.6,0.31
METTL14.DT,6,-1.323,1.3,-1,0.53,0.27
MYCL.AS1,8,-5.502,1.3,-4.1,4.42,2.16
PLIN5,5,-0.45,1.3,-0.3,0.13,0.06
PXDN,8,3.361,1.3,2.6,1.98,0.98
RAB6C.AS1.1,7,3.459,1.3,2.7,2.12,1.04
RAMACL,16,4.021,1.3,3.1,2.64,1.26
RPL23AP82,13,-0.164,1.3,-0.1,0.04,0.02
RPRM,12,0.234,1.3,0.2,0.06,0.03
SCIN,7,2.828,1.3,2.3,1.61,0.81
SERINC4,34,-1.452,1.3,-1.1,0.58,0.29
SIGLEC22P,7,-1.889,1.3,-1.5,0.86,0.44
SLC28A2.AS1,5,0.908,1.3,0.7,0.32,0.16
SLC2A14,7,0.182,1.3,0.1,0.05,0.02
SLC35E2A,10,-0.069,1.3,-0.1,0.02,0.01
SLC44A5,8,-1.104,1.3,-0.8,0.39,0.2
SNHG28,5,-1.15,1.3,-0.9,0.43,0.22
SYCE1,8,0.205,1.3,0.2,0.06,0.03
TPH1,5,-1.176,1.3,-0.9,0.45,0.23
TPM3P9,12,0.796,1.3,0.6,0.26,0.13
UMODL1.AS1,7,2.218,1.3,1.7,1.06,0.54
WTIP,6,1.852,1.3,1.4,0.81,0.41
XGY2,14,1.893,1.3,1.5,0.85,0.44
ZNF542P,14,1.26,1.3,0.9,0.46,0.24
ABCA9,6,1.254,1.2,1.1,0.55,0.28
ABHD14A.ACY1,8,-1.079,1.2,-0.9,0.46,0.23
ALAS2,10,0.205,1.2,0.2,0.06,0.03
AMIGO3,20,0.285,1.2,0.2,0.09,0.04
ASIC3,7,-1.632,1.2,-1.4,0.79,0.4
ATP2C2,6,-0.593,1.2,-0.5,0.2,0.1
BTNL9,6,-0.024,1.2,0,0.01,0
C1DP1,7,1.649,1.2,1.3,0.75,0.39
CA1,20,-0.448,1.2,-0.4,0.15,0.07
CACNA1D,6,-2.311,1.2,-2,1.32,0.67
CDH4.AS2,6,-1.653,1.2,-1.4,0.78,0.4
CELF6,9,-1.616,1.2,-1.4,0.76,0.39
CRYAB,9,2.592,1.2,2.2,1.54,0.78
CTTNBP2,15,1.12,1.2,0.9,0.43,0.22
DGCR5,6,-1.414,1.2,-1.2,0.63,0.32
DISP2,8,2.354,1.2,2,1.38,0.7
DNAAF4.CCPG1,13,-2.405,1.2,-2,1.36,0.69
DOK7,5,0.018,1.2,0,0.01,0
DUSP5.DT,9,-0.596,1.2,-0.5,0.22,0.11
EOLA1.DT,6,-1.892,1.2,-1.5,0.91,0.47
FAM27C,7,-0.112,1.2,-0.1,0.03,0.02
FAM3B,7,-0.607,1.2,-0.5,0.22,0.11
FAM72C,11,1.282,1.2,1,0.53,0.27
GAREM1,12,-1.503,1.2,-1.3,0.71,0.36
GLDC,58,2.565,1.2,2.1,1.42,0.72
GOLGA8B,513,-1.414,1.2,-1.2,0.63,0.32
GRM2,8,0.092,1.2,0.1,0.03,0.01
H4C15,91,-0.426,1.2,-0.4,0.14,0.07
HBQ1,7,-1.971,1.2,-1.7,1.04,0.53
HERC2P9,7,-2.111,1.2,-1.8,1.16,0.59
HEXIM2.AS2,10,-3.558,1.2,-3,2.56,1.23
HLA.DQA2,353,0.316,1.2,0.3,0.1,0.05
HMSD,6,1.121,1.2,0.9,0.46,0.23
HP,146,0.774,1.2,0.6,0.27,0.13
ID1,7,-1.297,1.2,-1.1,0.56,0.29
IGKV1D.33,107,3.857,1.2,3.3,3.08,1.45
IGKV2D.24,5,1.987,1.2,1.7,1.07,0.55
IGKV2D.40,11,2.921,1.2,2.5,1.86,0.92
IGLV3.10,46,2.807,1.2,2.4,1.74,0.87
IGLV5.37,7,3.47,1.2,3,2.56,1.23
IKBKGP1,40,0.153,1.2,0.1,0.04,0.02
IL9R.1,21,1.298,1.2,1.1,0.55,0.28
KRT1,101,1.449,1.2,1.2,0.65,0.33
LCMT1.AS2,5,-2.159,1.2,-1.9,1.19,0.61
LINC00689,5,-0.032,1.2,0,0.01,0
LINC01505,7,0.157,1.2,0.1,0.05,0.02
LINC02363,6,-0.32,1.2,-0.3,0.11,0.05
LINC02470,22,-3.162,1.2,-2.7,2.15,1.05
LINC02603,8,-2.354,1.2,-1.9,1.25,0.63
LINC02887,14,-3.877,1.2,-3.3,3.09,1.45
LINC03112.1,14,-1.334,1.2,-1.1,0.58,0.29
LRRC59.AS1,9,-0.782,1.2,-0.7,0.29,0.14
LSMEM2,8,4.252,1.2,3.4,3.23,1.52
MORF4L2.AS1,6,0.181,1.2,0.1,0.05,0.02
MTCO1P40,17,2.49,1.2,2,1.39,0.7
MTUS2,6,0.064,1.2,0.1,0.02,0.01
PLEKHH2,6,-1.501,1.2,-1.3,0.69,0.35
POLR2J2,49,-1.696,1.2,-1.4,0.76,0.39
POLR2J2.UPK3BL1,93,0.453,1.2,0.4,0.15,0.07
PRECSIT,6,0.225,1.2,0.2,0.07,0.03
PRG2,6,-0.945,1.2,-0.8,0.35,0.18
PRKD1,6,1.574,1.2,1.4,0.76,0.39
PTPRN,11,-0.869,1.2,-0.7,0.33,0.17
RASA4DP,9,0.088,1.2,0.1,0.03,0.01
SCGB3A1,10,1.87,1.2,1.5,0.91,0.47
SLC6A9,6,3.495,1.2,3,2.57,1.23
SMG1P2,13,-2.124,1.2,-1.7,1.06,0.54
SPRED3,7,-0.55,1.2,-0.5,0.2,0.09
SPTA1,7,-3.247,1.2,-2.8,2.26,1.1
SRPX2,5,-1.893,1.2,-1.6,0.97,0.5
SYCP3,5,0.953,1.2,0.8,0.39,0.2
TACSTD2,48,-0.285,1.2,-0.2,0.09,0.04
TMPRSS11E,6,1.535,1.2,1.3,0.72,0.37
TPSAB1,5,0.632,1.2,0.5,0.22,0.1
TRMT9B,7,-1.694,1.2,-1.4,0.78,0.4
VWDE,7,-0.002,1.2,0,0,0
ZMAT4,5,-0.929,1.2,-0.8,0.36,0.18
AKR1C1,5,-1.996,1.1,-1.8,1.15,0.58
AP3B2,5,-0.808,1.1,-0.7,0.33,0.17
AREG,5,-0.678,1.1,-0.6,0.28,0.14
BMF.AS1,12,-1.55,1.1,-1.4,0.76,0.39
BMS1P4.1,8,-2.176,1.1,-2,1.3,0.66
C1orf220,5,-1.159,1.1,-1.1,0.55,0.28
C20orf204,10,0.956,1.1,0.9,0.42,0.21
C22orf23,7,-1.372,1.1,-1.3,0.71,0.36
CCDC17,6,-1.692,1.1,-1.5,0.92,0.47
CCDC28A.AS1,9,0.038,1.1,0,0.01,0.01
CCDC73,6,-0.609,1.1,-0.6,0.25,0.12
CCDC78,9,-1.522,1.1,-1.4,0.82,0.42
CCL2,47,-0.466,1.1,-0.4,0.17,0.08
CCL8,5,-1.799,1.1,-1.7,1.04,0.53
CCN2,5,-0.196,1.1,-0.2,0.07,0.03
CD8B2,27,1.954,1.1,1.8,1.13,0.58
CDC25C,7,1.783,1.1,1.6,0.99,0.5
CDK3,19,-1.526,1.1,-1.4,0.8,0.41
CEMIP,17,-2.428,1.1,-2.2,1.56,0.79
CHGB,6,0.078,1.1,0.1,0.02,0.01
CHKB.CPT1B,62,-1.694,1.1,-1.6,0.95,0.48
CP,52,-0.563,1.1,-0.5,0.21,0.1
CTAGE4,8,0.18,1.1,0.2,0.06,0.03
CYP2D6,7,-2.04,1.1,-1.9,1.25,0.63
CYP2U1.AS1,12,2.556,1.1,2.3,1.69,0.85
DDX12B,6,-0.594,1.1,-0.5,0.23,0.11
DGCR6,16,0.502,1.1,0.4,0.18,0.09
DHX40P1,7,3.46,1.1,3.2,2.89,1.37
DLEU2L,8,-1.14,1.1,-1.1,0.56,0.28
DOCK6,6,0.212,1.1,0.2,0.07,0.03
DPYSL3,13,-1.776,1.1,-1.7,1.03,0.53
DRAIC,12,0.833,1.1,0.8,0.37,0.18
DSC1,112,0.671,1.1,0.6,0.28,0.14
DSP,27,2.276,1.1,2.1,1.45,0.73
E2F3P1,5,-0.134,1.1,-0.1,0.04,0.02
EFHB,6,0.865,1.1,0.8,0.36,0.18
EIF3EP1,5,0.999,1.1,0.9,0.44,0.22
FAM225B,7,-0.537,1.1,-0.5,0.2,0.1
FAM88C,9,0.206,1.1,0.2,0.07,0.03
FOS.AS1,67,-1.223,1.1,-1.1,0.6,0.31
GOLGA8A,610,-1.982,1.1,-1.8,1.16,0.59
GOLGA8M,5,-1.274,1.1,-1.2,0.61,0.31
HLA.DRB5,3219,-0.494,1.1,-0.4,0.18,0.09
HTR6,9,0.289,1.1,0.3,0.1,0.05
IFI44L,1657,0.075,1.1,0.1,0.03,0.01
IGHV1.58,10,2.892,1.1,2.7,2.17,1.06
IGHV5.78,6,3.462,1.1,3.2,2.81,1.34
IGKV3D.20,85,3.305,1.1,3.1,2.77,1.32
IGLV3.16,10,3.697,1.1,3.4,3.19,1.51
IGLV8.61,110,1.976,1.1,1.8,1.19,0.61
IGLVI.70,10,2.427,1.1,2.2,1.6,0.81
IL9R,27,0.874,1.1,0.8,0.38,0.19
INPP5B.AS1,14,-1.747,1.1,-1.6,0.99,0.51
KLHL4,5,2.449,1.1,2.3,1.69,0.85
KPNA2P3,22,-1.228,1.1,-1.1,0.59,0.3
LBX2,6,0.433,1.1,0.4,0.16,0.07
LINC00334,10,1.177,1.1,1.1,0.54,0.27
LINC00624,5,-2.061,1.1,-1.8,1.16,0.59
LINC00880,10,1.716,1.1,1.5,0.9,0.46
LINC01140,6,-0.528,1.1,-0.5,0.2,0.09
LINC01694,11,1.309,1.1,1.1,0.6,0.31
LINC01964,9,-1.839,1.1,-1.7,1.03,0.53
LINGO2,17,-1.857,1.1,-1.6,1,0.51
MAGED4,15,0.569,1.1,0.5,0.21,0.1
MED12L,45,-0.542,1.1,-0.5,0.2,0.09
MET,6,1.445,1.1,1.3,0.68,0.35
MIR142HG,269,-2.071,1.1,-2,1.3,0.66
MIR181A1HG,5,-1.293,1.1,-1.2,0.61,0.31
MYO15B,363,-1.845,1.1,-1.7,1.04,0.53
MYO16,7,-2.456,1.1,-2.3,1.71,0.85
NAIPP4,19,-0.503,1.1,-0.5,0.19,0.09
NALF2,5,1.237,1.1,1.1,0.59,0.3
NCS1,6,-1.282,1.1,-1.1,0.59,0.3
NEIL3,9,2.852,1.1,2.7,2.11,1.03
PABPC1L,68,-1.987,1.1,-1.8,1.11,0.57
PBK,22,3.208,1.1,3,2.58,1.23
PCF11.AS1,13,-1.825,1.1,-1.7,1.07,0.55
PKD1P3,60,-1.384,1.1,-1.2,0.67,0.34
PKD1P5,58,-1.686,1.1,-1.6,0.95,0.49
PKD1P6,13,-1.618,1.1,-1.4,0.81,0.41
PLEKHD1,9,-1.961,1.1,-1.7,1.1,0.56
PPM1K.DT,5,0.052,1.1,0,0.02,0.01
PTGFR,6,0.469,1.1,0.4,0.17,0.08
RAB4B.EGLN2,25,-2.603,1.1,-2.4,1.81,0.9
RDM1,6,1.536,1.1,1.5,0.84,0.43
RIMBP3C,8,-0.357,1.1,-0.3,0.13,0.06
S100B,381,2.658,1.1,2.4,1.82,0.91
SCGB3A2,8,-1.715,1.1,-1.5,0.88,0.45
SCNN1D,7,-1.76,1.1,-1.6,0.93,0.48
SH3RF2,5,1.582,1.1,1.5,0.86,0.44
SPATA3.AS1,8,3.403,1.1,3.2,2.85,1.35
SPDYE2B,6,-0.374,1.1,-0.3,0.13,0.06
ST20.MTHFS,6,-0.806,1.1,-0.7,0.34,0.17
SUGT1P4.STRA6LP.CCDC180,19,-1.287,1.1,-1.1,0.58,0.3
SV2B,9,0.379,1.1,0.4,0.14,0.07
TCAF2P1,7,0.709,1.1,0.7,0.3,0.15
TCL1B,6,0.091,1.1,0.1,0.03,0.01
TGIF2.RAB5IF,8,-0.246,1.1,-0.2,0.09,0.04
THBS3.AS1,8,-1.685,1.1,-1.6,0.95,0.48
TMEM176B,1008,-0.021,1.1,0,0.01,0
TMEM254.AS1,6,0.675,1.1,0.6,0.26,0.13
UGT2B17,22,0.72,1.1,0.6,0.28,0.14
UICLM,75,-3.215,1.1,-3,2.54,1.23
UNC5B,6,0.708,1.1,0.7,0.29,0.14
WSCD2,5,0.93,1.1,0.8,0.39,0.19
ZNF521,15,-0.329,1.1,-0.3,0.12,0.05
ZNF876P.1,7,-1.049,1.1,-0.9,0.46,0.23
ABCA10,7,1.184,1,1.2,0.61,0.31
ACSM1,11,0.904,1,0.9,0.44,0.22
ADAMTS13,9,-1.249,1,-1.2,0.64,0.33
ADCY5,7,-3.734,1,-3.9,3.95,1.89
ADGRB3.DT,15,-2.007,1,-2.1,1.42,0.72
AGAP5,20,-1.221,1,-1.2,0.67,0.34
AGAP6,82,-1.433,1,-1.4,0.83,0.43
AIRE,14,-0.106,1,-0.1,0.04,0.02
AK1,35,-1.495,1,-1.5,0.92,0.47
AK8,11,0.871,1,0.9,0.42,0.21
AKAP17A.1,272,-0.327,1,-0.3,0.12,0.06
AP1G2.AS1,90,-2.257,1,-2.4,1.73,0.87
ARAP1.AS2,8,-2.696,1,-2.8,2.32,1.13
ARHGAP11A.SCG5,5,-0.466,1,-0.5,0.19,0.09
ARHGAP33,24,-1.196,1,-1.2,0.64,0.33
ARHGEF25,9,2.062,1,2.1,1.45,0.73
ARHGEF34P,12,-0.331,1,-0.3,0.13,0.06
ASMTL.AS1,18,-2.838,1,-2.9,2.47,1.19
ATP5MF.PTCD1,16,0.749,1,0.8,0.36,0.18
ATP6V1C2,191,-2.348,1,-2.3,1.7,0.85
ATP8B1,7,1.073,1,1,0.52,0.26
BAALC,12,-0.547,1,-0.6,0.25,0.12
BCDIN3D.AS1,9,0.765,1,0.8,0.36,0.18
BCL2L14,11,0.102,1,0.1,0.04,0.02
BCL2L15,31,-1.268,1,-1.2,0.66,0.34
BOK,16,-1.027,1,-1.1,0.54,0.27
CACNA1F,10,-0.124,1,-0.1,0.04,0.02
CATIP.AS1,6,-1.799,1,-1.8,1.12,0.57
CC2D2B,5,-0.755,1,-0.8,0.35,0.17
CCDC154,12,-1.313,1,-1.4,0.77,0.39
CCDC183,6,-0.894,1,-0.9,0.43,0.22
CCDC183.AS1,6,-0.896,1,-0.9,0.46,0.23
CCDC194,7,-1.026,1,-1,0.51,0.26
CD109.AS1,9,-0.605,1,-0.6,0.27,0.13
CD163L1,17,-2.03,1,-2,1.38,0.7
CEACAM19,7,-2.253,1,-2.3,1.65,0.83
CHST8,6,-2.447,1,-2.4,1.78,0.89
CLEC2L,12,-1.211,1,-1.3,0.68,0.35
COL15A1,6,0.564,1,0.6,0.24,0.12
CPT1B,110,-1.921,1,-2,1.33,0.67
CSF2RA,392,-0.634,1,-0.6,0.28,0.14
CTRL,27,-1.377,1,-1.4,0.83,0.42
CTSG,14,1.667,1,1.6,0.99,0.51
CXCL10,132,0.142,1,0.1,0.05,0.02
CYP2B7P.1,24,-0.764,1,-0.7,0.34,0.17
DACT1,181,-0.552,1,-0.5,0.23,0.11
DACT3.AS1,6,-0.91,1,-0.9,0.44,0.22
DBIL5P.1,5,1.761,1,1.7,1.07,0.55
DIAPH3,12,2.142,1,2.1,1.4,0.71
DNAH17,5,-2.041,1,-2.1,1.48,0.75
DUXAP10.1,13,-0.606,1,-0.6,0.27,0.13
DUXAP9.1,6,0.06,1,0.1,0.02,0.01
E2F7,7,1.046,1,1.1,0.55,0.28
E2F8,11,2.884,1,2.9,2.37,1.15
EEF1A2,13,2.541,1,2.6,2.02,1
EIF2AK1P1,7,-1.126,1,-1.1,0.58,0.29
EREG,84,-1.593,1,-1.6,0.99,0.5
FAM88E,11,-1.387,1,-1.3,0.74,0.38
FCGR3B,97,1.227,1,1.2,0.66,0.34
FOSB,964,-0.478,1,-0.5,0.2,0.1
FPGT.TNNI3K,9,-0.385,1,-0.4,0.15,0.07
GIPR,25,-0.769,1,-0.8,0.36,0.18
GOLGA6L5P,12,-1.732,1,-1.7,1.06,0.54
GOLGA8J,6,-1.246,1,-1.2,0.65,0.33
GOLGA8K,17,-0.838,1,-0.8,0.4,0.2
GPR15,1442,2.348,1,2.5,1.86,0.93
GPR25,12,1.305,1,1.4,0.75,0.39
GPR85,10,1.487,1,1.5,0.84,0.43
H4C12,18,-0.073,1,-0.1,0.03,0.01
HLA.H,110,-0.113,1,-0.1,0.04,0.02
HLA.L.1,85,0.219,1,0.2,0.08,0.04
HNRNPK.AS1,92,-2.249,1,-2.2,1.52,0.77
HSD11B1,6,-0.357,1,-0.4,0.15,0.07
HSD17B1,6,-0.914,1,-0.9,0.45,0.23
HSF4,18,-1.293,1,-1.3,0.71,0.36
HTR3A,6,1.375,1,1.4,0.76,0.39
IER5L.AS1,11,0.184,1,0.2,0.07,0.03
IGF1,15,1.369,1,1.4,0.76,0.39
IGHG4,260,-0.407,1,-0.4,0.16,0.08
IGHV1.2,108,2.609,1,2.5,1.92,0.95
IGHV3.20,18,3.883,1,3.9,4.09,1.96
IGHV4.55,6,1.28,1,1.3,0.7,0.36
IGKV1.39,203,2.456,1,2.4,1.77,0.88
IGKV2D.30,16,2.793,1,2.9,2.4,1.17
IGKV6D.21,17,2.372,1,2.3,1.69,0.85
IGLV10.54,22,3.695,1,3.6,3.43,1.62
IGLV3.27,42,3.118,1,3.1,2.73,1.3
IGSF10,9,-1.583,1,-1.6,0.95,0.49
ITGB4,7,1.275,1,1.2,0.67,0.34
JAZF1.AS1,15,0.524,1,0.5,0.23,0.11
KANSL1L.AS1,6,-0.646,1,-0.6,0.29,0.14
KIR2DS4,81,-0.007,1,0,0,0
KLRC2,229,3.315,1,3.4,3.17,1.49
LCNL1,11,-2.652,1,-2.6,2.08,1.02
LEFTY1,6,-0.5,1,-0.5,0.21,0.1
LGI2,6,-0.721,1,-0.7,0.33,0.16
