symbol,baseMean,log2_FoldChange,lfcSE,stat,minus_log10_pvalue,minus_log10_padjvalue
DOCK2,3610,-0.281,0.2,-1.6,0.96,0.49
DOHH,73,0.417,0.2,2.1,1.4,0.71
DOK1,619,-0.36,0.2,-1.6,0.99,0.51
DOK2,2770,-0.205,0.2,-1.2,0.65,0.33
DOLK,98,0.428,0.2,2.2,1.51,0.76
DOLPP1,160,0.136,0.2,0.6,0.28,0.14
DOP1A,349,-0.436,0.2,-1.8,1.14,0.58
DOP1B,508,-0.038,0.2,-0.2,0.08,0.03
DORIP1,114,0.259,0.2,1.2,0.63,0.32
DPAGT1,310,0.043,0.2,0.3,0.11,0.05
DPEP2,635,-0.352,0.2,-1.5,0.91,0.47
DPF2,824,0.055,0.2,0.3,0.13,0.06
DPH1,260,-0.427,0.2,-1.8,1.16,0.59
DPH2,265,0.042,0.2,0.2,0.09,0.04
DPH3,813,0.214,0.2,1.3,0.68,0.35
DPH5,831,0.704,0.2,3,2.56,1.23
DPH5.DT,116,0.513,0.2,2.2,1.61,0.81
DPH6,158,0.31,0.2,1.7,1.07,0.55
DPM3,204,0.163,0.2,0.7,0.32,0.16
DPP3,413,-0.268,0.2,-1.1,0.56,0.28
DPP7,1058,-0.212,0.2,-1.2,0.66,0.34
DPP9,579,-0.19,0.2,-1,0.52,0.26
DPY19L1,570,0.203,0.2,1.3,0.75,0.38
DPY19L3,289,-0.451,0.2,-2.3,1.73,0.86
DPY19L4,226,-0.114,0.2,-0.5,0.23,0.11
DR1,3081,0.36,0.2,1.9,1.22,0.62
DRAM2,1514,-0.031,0.2,-0.2,0.06,0.03
DRAP1,1580,0.063,0.2,0.4,0.15,0.07
DRG2,413,-0.018,0.2,-0.1,0.04,0.02
DROSHA,512,-0.166,0.2,-0.8,0.36,0.18
DSN1,205,0.37,0.2,1.5,0.89,0.46
DSTN,1873,0.416,0.2,2.6,2.01,1
DSTNP2.1,68,-0.138,0.2,-0.6,0.26,0.13
DSTYK,348,-0.258,0.2,-1.7,1.05,0.54
DTNB,97,0.318,0.2,1.4,0.79,0.4
DTNBP1,383,0.223,0.2,1.4,0.76,0.39
DTWD1,242,0.111,0.2,0.6,0.25,0.12
DTYMK,170,0.387,0.2,2,1.35,0.68
DUS2,293,0.016,0.2,0.1,0.03,0.01
DUS4L,96,0.244,0.2,1.1,0.57,0.29
DUSP11,638,0.419,0.2,2.6,2.04,1.01
DUSP18,124,-0.346,0.2,-1.6,0.99,0.5
DUSP22,1375,-0.003,0.2,0,0.01,0
DUSP23,220,-0.087,0.2,-0.4,0.16,0.07
DUSP28,120,0.241,0.2,1.1,0.54,0.27
DUSP7,699,-0.209,0.2,-1.2,0.62,0.32
DUT,924,0.239,0.2,1.2,0.67,0.34
DVL2,274,0.044,0.2,0.2,0.09,0.04
DVL3,518,-0.575,0.2,-2.4,1.81,0.9
DYM,943,-0.115,0.2,-0.6,0.28,0.14
DYNC1H1,2158,-0.253,0.2,-1.4,0.82,0.42
DYNC1LI1,1129,-0.217,0.2,-1.4,0.81,0.41
DYNC1LI2,725,-0.596,0.2,-2.6,2.01,0.99
DYNC2I1,100,-0.286,0.2,-1.2,0.62,0.32
DYNC2LI1,81,0.135,0.2,0.6,0.26,0.13
DYNLL1,2180,-0.006,0.2,0,0.01,0
DYNLL2,2718,0.228,0.2,1.1,0.57,0.29
DYNLRB1,1141,0.178,0.2,1.1,0.54,0.28
DYNLT1,977,-0.202,0.2,-0.9,0.41,0.21
DYNLT3,726,0.289,0.2,1.6,0.99,0.5
DYRK1B,223,-0.07,0.2,-0.5,0.19,0.09
DYRK4,174,0.026,0.2,0.1,0.05,0.02
E2F4,840,-0.258,0.2,-1.7,1.04,0.53
E4F1,195,-0.251,0.2,-1,0.51,0.26
EARS2,184,0.33,0.2,1.5,0.84,0.43
EBLN3P,1728,0.206,0.2,1,0.5,0.25
EBP,399,0.696,0.2,3.7,3.62,1.71
EBPL,280,0.269,0.2,1.2,0.64,0.33
ECE1,1162,-0.325,0.2,-1.3,0.73,0.37
