symbol,baseMean,log2FoldChange,lfcSE,stat,minus_log10_pvalue,minus_log10_padjvalue
HBB,18573,6.013,1,5.8,8.05,4.66
SNHG31,76,5.236,0.9,5.6,7.55,4.32
AHSP,26,5.141,1.2,4.3,4.68,2.63
MYL4,9,4.893,1.3,3.9,3.99,2.25
ALAS2,74,4.442,1,4.2,4.64,2.61
IGHV7.4.1,15,4.361,1.4,3.2,2.84,1.55
HBA1,3007,4.3,1,4.5,5.16,2.88
HMGB1P5,38,3.883,2.9,1.3,0.74,0.34
HBA2,1890,3.848,0.9,4.4,4.99,2.8
EPB42,7,3.308,1.8,1.8,1.15,0.56
LINC00484,10,3.231,1,3.2,2.79,1.51
TRDV3,12,3.149,0.8,3.7,3.69,2.08
MUC16,7,3.046,1.4,2.2,1.6,0.8
LTF,22,2.927,0.8,3.5,3.41,1.9
IGKV1D.13,35,2.925,1.3,2.3,1.66,0.83
HBD,17,2.8,0.8,3.6,3.46,1.94
IFI27,43,2.723,0.7,3.7,3.74,2.11
ZNF475,20,2.669,0.9,2.8,2.33,1.24
IGLV1.36,33,2.624,0.6,4.2,4.49,2.54
KLRC2,97,2.577,0.6,4.6,5.39,3
IRS4,9,2.575,2,1.3,0.72,0.33
DTNB.AS1,13,2.565,0.5,5.2,6.7,3.81
TMEM178B,9,2.535,0.8,3.3,2.95,1.62
SLC4A1,61,2.512,1.1,2.3,1.65,0.82
IGHG1,1866,2.508,0.6,4,4.14,2.32
GLDC,45,2.503,0.6,3.9,3.97,2.25
IL6.AS1,13,2.496,0.8,3.1,2.68,1.44
CRNDE,11,2.471,0.7,3.4,3.16,1.75
IGHA2,1413,2.464,0.8,2.9,2.44,1.3
HLA.DQA2,690,2.41,1.3,1.9,1.22,0.59
IGKV2.29,10,2.379,1,2.5,1.87,0.95
STAG3,147,2.369,0.7,3.6,3.57,2.01
IGLV3.25,142,2.366,0.5,4.7,5.58,3.09
IGLV3.19,201,2.309,0.4,5.2,6.68,3.81
SYN3,7,2.28,0.7,3,2.63,1.41
RPL10P9,291,2.235,0.5,4.4,5,2.8
MYOM2,441,2.223,0.8,2.7,2.17,1.13
JCHAIN,12028,2.214,0.5,4.3,4.69,2.63
PLAAT2,12,2.209,0.6,3.7,3.65,2.06
IGLV3.21,256,2.185,0.5,4.1,4.32,2.42
IGKV2D.29,38,2.181,0.8,2.8,2.33,1.23
GALNTL6,6,2.144,0.9,2.4,1.78,0.9
SEMA3D,7,2.139,0.6,3.3,3.04,1.67
TNFRSF17,163,2.097,0.5,4.3,4.83,2.71
F8A3,140,2.083,1.6,1.3,0.74,0.34
KRT1,107,2.075,1,2,1.34,0.66
IGKV1.39,126,2.059,0.8,2.6,2.09,1.08
GBP1P1.1,65,2.025,0.7,2.8,2.28,1.19
LINC03105,14,1.994,2.9,0.7,0.31,0.13
HLA.DRB6.1,263,1.972,1.2,1.7,1.01,0.48
ANXA3,13,1.963,0.6,3,2.63,1.41
SELENBP1,13,1.954,0.8,2.5,1.89,0.96
C15orf48,7,1.951,0.7,2.6,2.09,1.08
GPR15,777,1.943,0.7,3,2.53,1.35
IGHA1,5210,1.941,0.8,2.4,1.79,0.91
DISP2,13,1.925,0.8,2.3,1.71,0.86
IGLV3.16,11,1.92,0.6,3.2,2.92,1.6
PBK,8,1.917,0.6,3.4,3.22,1.78
SOBP,23,1.913,0.6,3.2,2.86,1.56
TPSAB1,7,1.91,1,1.9,1.27,0.62
IGLL5,541,1.905,0.4,4.5,5.24,2.9
UGT2B17,61,1.885,1.1,1.8,1.1,0.53
IGLC1,869,1.88,0.4,4.4,4.9,2.75
IGHG3,335,1.879,0.5,4.2,4.52,2.55
IGLV1.47,233,1.873,0.5,3.7,3.67,2.06
SORD2P.1,20,1.867,0.8,2.4,1.74,0.88
CSTF3.DT,11,1.859,0.6,2.9,2.44,1.29
IGKV3D.11,11,1.856,0.6,3.1,2.64,1.42
OIP5,8,1.841,0.6,3,2.63,1.41
MMP1,10,1.834,0.9,2.1,1.47,0.73
IGLC2,1976,1.829,0.4,4.2,4.6,2.59
IGHE,29,1.825,0.8,2.3,1.64,0.81
EGR2,369,1.822,0.7,2.4,1.84,0.93
IGKC,11268,1.82,0.4,4.2,4.49,2.54
IGKV3D.15,50,1.815,0.7,2.6,2.06,1.07
IGLV6.57,45,1.798,0.6,3.2,2.85,1.56
IGLV2.23,148,1.769,0.4,4.4,4.97,2.8
SCHIP1,13,1.769,0.6,2.8,2.3,1.21
IGKV6.21,24,1.765,0.6,2.8,2.26,1.18
IGHV2.5,61,1.761,0.4,4.3,4.85,2.72
NETO1,54,1.756,0.7,2.5,1.96,1.01
STEAP1B,29,1.754,0.5,3.5,3.39,1.89
IGKV3D.20,31,1.752,0.6,3.1,2.7,1.45
C1QC,33,1.748,0.7,2.5,1.87,0.95
IGLV2.11,111,1.732,0.6,3.1,2.72,1.47
SSPN,60,1.728,0.5,3.2,2.84,1.55
LRRC32,8,1.722,0.6,3,2.62,1.41
IL3RA,141,1.719,1.6,1,0.53,0.24
EDN3,10,1.706,0.9,1.9,1.19,0.58
KCNG1,83,1.698,0.6,2.8,2.27,1.19
GPRC5D,14,1.696,0.8,2.2,1.55,0.77
CD8B2,17,1.681,0.6,2.7,2.1,1.09
ATP5MF.PTCD1,20,1.675,0.8,2.1,1.44,0.71
PCLAF,61,1.674,0.4,4.3,4.77,2.67
BIRC5,57,1.671,0.4,4.2,4.61,2.59
C1S,7,1.67,0.8,2.1,1.48,0.73
IGKV1.6,31,1.667,0.4,3.8,3.93,2.22
IGLV3.27,25,1.644,0.6,2.9,2.47,1.31
IGHV3.49,62,1.643,0.6,2.9,2.47,1.31
BHLHA15,24,1.637,0.6,2.8,2.32,1.23
IGLV3.1,184,1.636,0.5,3.5,3.32,1.84
NCAPG,46,1.633,0.4,4.2,4.55,2.57
IGHV3.20,17,1.632,0.9,1.7,1.07,0.51
FOLR3,196,1.624,0.5,3.1,2.76,1.49
ZNF232.AS1,54,1.622,0.4,4.5,5.22,2.89
NPM1P25,12,1.621,0.7,2.2,1.57,0.78
IGKV1.9,83,1.619,0.5,3.5,3.41,1.9
PKHD1L1,259,1.616,0.6,2.7,2.1,1.09
KNL1,59,1.613,0.4,4.2,4.52,2.55
IL6,10,1.611,0.8,2.1,1.41,0.69
MGAT3,44,1.611,0.5,3.2,2.9,1.58
IGKV1D.33,34,1.59,0.7,2.3,1.66,0.83
KCNN3,12,1.59,0.9,1.7,1.08,0.52
PEG10,123,1.59,0.6,2.7,2.1,1.09
IGKV2.24,54,1.589,0.4,3.8,3.77,2.13
IGLV1.40,199,1.588,0.5,3.3,3.02,1.66
IGLC7,19,1.587,0.6,2.7,2.22,1.16
IGKV1D.39,416,1.582,0.4,3.6,3.48,1.95
CCNB2,34,1.581,0.4,4.3,4.68,2.63
DLGAP5,33,1.569,0.4,4,4.16,2.33
SYCP2L,10,1.559,1.1,1.5,0.85,0.39
NEK2,14,1.558,0.4,3.8,3.84,2.17
IGHV3.30,258,1.557,0.4,3.9,3.95,2.24
TROAP,13,1.55,0.5,3.4,3.12,1.72
IGKV3.15,413,1.549,0.4,3.6,3.51,1.97
IGHV4.4,46,1.538,0.7,2.2,1.53,0.76
TRDV1,37,1.538,0.4,4.1,4.38,2.46
DUXAP8,11,1.536,0.7,2.3,1.7,0.85
IGKV3.20,790,1.529,0.4,3.4,3.21,1.78
LINC02576,7,1.527,0.6,2.4,1.73,0.87
DNAH8,9,1.526,0.6,2.6,2.07,1.07
TYMS,93,1.522,0.4,3.8,3.92,2.22
MZB1,236,1.517,0.4,3.6,3.46,1.94
IGKV4.1,535,1.514,0.4,3.4,3.25,1.8
PNMA8A,7,1.511,1.1,1.4,0.8,0.37
RFPL1S,19,1.509,0.4,3.4,3.17,1.75
AFF3,564,1.507,0.4,3.4,3.19,1.76
RRM2,175,1.5,0.4,3.9,4.02,2.27
TRBV10.1,8,1.494,0.8,1.9,1.26,0.62
CD24,763,1.488,0.6,2.6,2.09,1.08
CEP55,30,1.483,0.4,4.2,4.57,2.57
C1QB,104,1.481,0.6,2.4,1.82,0.93
IGHV2.70D,12,1.476,1.1,1.4,0.79,0.36
PCDHGC3,23,1.471,0.6,2.4,1.82,0.92
BUB1,57,1.469,0.4,3.8,3.77,2.13
APOBEC3B,40,1.46,0.5,2.7,2.14,1.12
TMEM176A,493,1.459,0.5,3,2.6,1.39
EGR1,2167,1.457,0.7,2,1.37,0.68
REG4,21,1.457,0.4,3.4,3.22,1.78
IGHV3.48,120,1.456,0.6,2.5,1.86,0.95
IGLV1.44,266,1.455,0.4,3.3,3.07,1.69
SKA1,18,1.451,0.4,4,4.18,2.34
FHL1P1,7,1.448,0.9,1.5,0.92,0.43
LINC02397,147,1.443,0.6,2.3,1.7,0.85
TMEM176B,1453,1.443,0.5,2.9,2.42,1.28
LINC01857,87,1.44,0.5,2.9,2.36,1.25
PRCD,19,1.429,0.7,2.1,1.48,0.73
CCNA2,61,1.428,0.3,4.2,4.66,2.63
CHURC1.FNTB,37,1.425,1.5,1,0.47,0.21
MTCL1,14,1.411,0.6,2.5,1.91,0.97
IGLV9.49,19,1.404,0.7,2,1.32,0.65
NLGN4Y,12,1.4,1,1.4,0.83,0.39
BACE2,182,1.398,0.6,2.5,1.94,1
IGKV3.11,473,1.398,0.4,3.4,3.2,1.77
IGLV3.10,35,1.398,0.7,2,1.37,0.68
RNF5P1,11,1.388,0.9,1.6,0.97,0.45
AK8,11,1.384,0.7,2.1,1.41,0.7
C1QA,230,1.382,0.5,2.7,2.14,1.12
DEGS2,18,1.381,0.5,2.7,2.11,1.1
UBE2C,19,1.381,0.5,3,2.62,1.41
HSD17B6,10,1.379,0.6,2.2,1.59,0.79
SLCO4A1,7,1.377,0.6,2.3,1.65,0.82
PPP5C.AS1,7,1.371,0.9,1.5,0.9,0.42
IGHV1.3,44,1.369,0.7,2,1.38,0.68
LILRB5,8,1.368,0.7,2,1.33,0.66
KLRC4,352,1.367,0.3,4.6,5.37,2.99
IGLV3.9,19,1.363,0.6,2.4,1.84,0.94
IGKV1.33,168,1.362,0.5,3,2.53,1.35
IGKV2D.40,7,1.358,0.9,1.6,0.95,0.44
FCRLA,956,1.354,0.5,2.7,2.15,1.12
GPR85,7,1.353,0.7,1.9,1.23,0.6
CLEC20A,7,1.352,0.7,1.9,1.2,0.58
IGHV4.59,228,1.351,0.5,2.8,2.27,1.19
NRN1,12,1.349,0.6,2.4,1.8,0.91
IGKV2D.30,12,1.343,0.6,2.3,1.64,0.82
LSMEM2,8,1.343,0.8,1.6,0.98,0.46
RPL24P8,11,1.334,0.4,3.3,3.05,1.67
MCOLN3,18,1.333,0.4,3.1,2.75,1.49
GNG3,27,1.332,0.5,2.7,2.1,1.1
IGHV3.69.1,7,1.331,0.8,1.6,0.96,0.45
RGPD4,38,1.33,0.8,1.7,1.07,0.51
IGKV1D.8,21,1.326,0.7,2,1.37,0.68
BHLHE41,35,1.325,0.5,2.6,2.02,1.04
GDF7,44,1.32,0.6,2.2,1.52,0.75
IGKV1D.16,10,1.319,0.7,1.9,1.29,0.63
EAF2,563,1.317,0.3,4.9,5.96,3.34
H2AC20,14,1.314,0.5,2.7,2.17,1.13
CENPM,31,1.311,0.3,3.9,3.98,2.25
IGHV1.18,112,1.307,0.5,2.5,1.96,1
IGKV5.2,21,1.306,0.6,2.2,1.55,0.77
IGLC3,925,1.306,0.5,2.9,2.38,1.26
CA6,20,1.301,0.6,2.1,1.44,0.72
CDKN3,32,1.299,0.4,3.3,3.09,1.7
CT47A12,11,1.299,1.1,1.2,0.61,0.28
LINC01825,20,1.295,0.7,1.8,1.12,0.54
IGHV1.24,17,1.293,0.5,2.6,1.98,1.02
IGHV1OR15.1,51,1.293,1.5,0.9,0.42,0.19
IGKV1.16,69,1.293,0.5,2.7,2.2,1.15
RPS18P12,7,1.288,0.5,2.5,1.97,1.01
IGKV1.27,80,1.286,0.7,2,1.31,0.64
DMD,17,1.285,0.6,2.3,1.68,0.84
FCGR3B,63,1.285,0.7,1.9,1.25,0.61
MYBPC2,8,1.284,0.8,1.7,1.01,0.48
SYT1,7,1.282,0.6,2,1.34,0.66
KRT8P12,7,1.281,1.4,0.9,0.45,0.2
LINC03057,9,1.278,1,1.3,0.7,0.32
CKS2,185,1.277,0.3,4.3,4.71,2.64
CDC6,26,1.271,0.4,2.9,2.38,1.26
RPS26P19,11,1.27,1.2,1.1,0.56,0.25
SKA3,15,1.27,0.5,2.8,2.27,1.19
TCL1B,15,1.266,1,1.3,0.72,0.33
IL5RA,15,1.265,0.6,2,1.39,0.69
LINC03112,14,1.261,0.7,1.9,1.24,0.6
MELK,17,1.259,0.5,2.6,1.99,1.02
SPC25,12,1.258,0.6,2,1.34,0.66
LPAR3,15,1.253,0.5,2.5,1.95,1
JUN,687,1.25,0.7,1.8,1.11,0.53
RGS7,8,1.245,0.8,1.6,0.94,0.44
ADRB1,13,1.244,0.5,2.5,1.87,0.95
RPS3AP5,28,1.239,0.3,4.2,4.66,2.63
IGHV4.31,21,1.237,0.4,2.9,2.37,1.26
IGKV1.12,75,1.237,0.4,3.2,2.91,1.59
WFDC21P.1,25,1.236,0.4,3.1,2.67,1.44
HP,153,1.235,0.9,1.4,0.78,0.36
IGHV3.11,109,1.235,0.5,2.4,1.73,0.87
SLC2A5,46,1.234,0.4,2.8,2.29,1.21
IGKV1.8,48,1.233,0.6,2.1,1.46,0.73
IGHG2,943,1.231,0.5,2.6,2.07,1.07
DUXAP10.1,23,1.23,0.6,1.9,1.28,0.63
DPF3,54,1.224,0.6,2.1,1.5,0.74
LINC03110,29,1.223,0.5,2.4,1.84,0.94
SULT1A4,89,1.221,0.8,1.5,0.91,0.42
CPXM1,7,1.217,0.6,2,1.38,0.68
CDC20,29,1.216,0.5,2.4,1.81,0.92
LINC03052,13,1.216,0.5,2.6,2.01,1.04
HOXB7,11,1.215,0.5,2.2,1.61,0.8
HRK,22,1.215,0.7,1.8,1.11,0.53
LINC01013,30,1.215,0.6,2,1.31,0.64
TCL6,123,1.214,0.6,2.1,1.49,0.74
GLIDR,45,1.213,0.4,3.2,2.89,1.57
SNURF,48,1.212,0.6,2,1.32,0.65
COL4A4,32,1.21,0.6,2.2,1.53,0.76
MIR3150BHG,8,1.21,0.8,1.5,0.88,0.41
DTL,38,1.208,0.5,2.4,1.83,0.93
RPS3AP21,27,1.206,0.3,4.6,5.42,3
RPL39L,59,1.205,0.3,4,4.13,2.32
BRCA2,60,1.197,0.5,2.6,1.97,1.01
MUC12.AS1,9,1.196,0.5,2.2,1.56,0.77
COCH,100,1.195,0.5,2.2,1.6,0.8
IGHD,2193,1.195,0.6,2.2,1.51,0.75
MKI67,70,1.195,0.4,3.4,3.17,1.75
CYB5R2,12,1.194,0.6,1.9,1.22,0.59
RPS18P9,7,1.191,0.5,2.4,1.81,0.92
ABCB4,86,1.19,0.5,2.3,1.65,0.82
RPL39P3,27,1.19,0.3,3.7,3.75,2.12
L1CAM,24,1.189,0.5,2.2,1.58,0.79
LINC02446,824,1.189,0.4,3.3,3.04,1.67
RNASE1,15,1.186,0.5,2.6,1.99,1.03
KHDC1,9,1.185,0.5,2.4,1.84,0.94
CD79A,3076,1.184,0.5,2.3,1.65,0.82
FAM72C,8,1.184,0.8,1.5,0.86,0.4
IGKV2D.28,67,1.184,0.6,1.9,1.28,0.63
ANLN,17,1.182,0.4,3.4,3.13,1.73
CDKL3,11,1.181,0.5,2.3,1.7,0.85
LINC01800,13,1.181,0.6,2.1,1.4,0.69
RPS13P2,11,1.181,0.4,2.9,2.47,1.31
TNNT1,219,1.181,0.5,2.5,1.86,0.94
NPDC1,97,1.18,0.4,3.2,2.84,1.55
CDK1,54,1.179,0.3,3.5,3.32,1.84
KLRC3,68,1.179,0.5,2.1,1.5,0.74
PTTG1,118,1.179,0.3,4.2,4.52,2.55
EXO1,14,1.178,0.4,2.7,2.17,1.13
CD248,65,1.174,0.5,2.5,1.92,0.98
MFF.DT,11,1.174,0.5,2.3,1.64,0.82
SMIM24,12,1.172,0.7,1.7,1.05,0.5
STK33,12,1.17,0.6,2.1,1.4,0.69
CLC,16,1.169,0.7,1.6,0.98,0.46
FAM30A,270,1.167,0.3,3.4,3.16,1.75
IGKV2.28,125,1.165,0.4,3.1,2.71,1.46
SNX22,216,1.161,0.5,2.3,1.65,0.82
FCRL5,191,1.156,0.5,2.2,1.52,0.75
CD70,12,1.154,0.4,2.8,2.24,1.17
IGKV1.5,496,1.154,0.5,2.4,1.77,0.89
LCN10,167,1.153,0.5,2.2,1.52,0.75
CDC25A,10,1.15,0.5,2.3,1.65,0.82
NSG1,322,1.15,0.4,2.6,2.03,1.05
RPL35P5,21,1.149,0.3,3.8,3.83,2.16
LINC02937,32,1.148,0.5,2.4,1.78,0.9
PKIG,307,1.145,0.4,2.8,2.23,1.17
IGKV1.17,71,1.143,0.5,2.4,1.74,0.88
IGHV5.78,9,1.141,0.7,1.6,0.95,0.45
STX5.DT,40,1.134,1.3,0.9,0.42,0.19
IGHV3.64,8,1.133,0.8,1.4,0.82,0.38
TSPAN13,712,1.131,0.5,2.4,1.84,0.93
CD8A,4028,1.129,0.3,3.9,4.01,2.27
RNFT1.DT,8,1.128,0.5,2.4,1.76,0.89
FANK1,9,1.127,0.5,2.3,1.67,0.83
IGHV1.46,67,1.126,0.5,2.2,1.57,0.78
IL7,53,1.125,0.3,3.2,2.93,1.6
ASIC1,9,1.121,0.6,2,1.37,0.68
VPREB3,138,1.12,0.5,2.1,1.44,0.71
WNT16,27,1.12,0.5,2.1,1.45,0.72
SNRPGP10,15,1.118,0.4,3.2,2.83,1.54
RPS4Y1,6715,1.117,1.4,0.8,0.39,0.17
CASC8,8,1.116,0.7,1.6,0.97,0.46
SYBU,13,1.111,0.7,1.5,0.89,0.42
CDCA2,12,1.108,0.5,2.1,1.48,0.73
POU2AF1,700,1.108,0.4,2.5,1.9,0.97
MOXD1,25,1.102,0.5,2.1,1.41,0.7
PYCR1,14,1.1,0.5,2.3,1.62,0.81
XGY2,14,1.098,0.9,1.2,0.64,0.29
EIF1AY,797,1.097,1.3,0.8,0.39,0.17
TMEM156,400,1.097,0.3,3.2,2.79,1.52
RPL39,45397,1.096,0.2,5.8,8.19,4.73
TPRG1,84,1.094,0.5,2.4,1.76,0.89
CALHM6,871,1.092,0.3,3.1,2.75,1.49
IFNG,30,1.092,0.5,2.2,1.55,0.77
CD19,375,1.089,0.5,2.2,1.59,0.79
RPS26,21437,1.088,0.5,2.4,1.76,0.89
KANSL1.AS1,115,1.084,0.4,2.5,1.93,0.99
TLN2,11,1.084,0.6,1.9,1.23,0.6
NIPAL4,23,1.081,0.7,1.5,0.88,0.41
CCNB1,83,1.079,0.3,4.1,4.35,2.44
AZU1,10,1.078,0.5,2.1,1.42,0.7
PIERCE2,8,1.078,0.4,2.8,2.32,1.23
GGH,90,1.076,0.3,4,4.15,2.32
IL9R.1,26,1.076,1.3,0.9,0.4,0.18
DNAH11,56,1.075,0.5,2,1.36,0.67
DSCC1,16,1.075,0.4,2.6,2.05,1.06
PNOC,109,1.069,0.4,2.8,2.3,1.21
CHAC2,67,1.067,0.3,3.2,2.87,1.56
TK1,49,1.067,0.3,3.3,3.05,1.68
GTSE1.DT,11,1.066,0.5,2.1,1.48,0.74
IQSEC3.AS2,27,1.066,0.5,2,1.38,0.68
RPL9P7,10,1.066,0.6,1.9,1.26,0.61
CD79B,2062,1.065,0.4,2.6,2.03,1.05
ZNF658B.1,37,1.064,0.5,2.3,1.63,0.81
RNA5.8SN2,118,1.063,2.9,0.4,0.15,0.06
RPS18,83325,1.062,0.2,5.4,7.18,4.09
IGLV4.69,45,1.061,0.4,2.5,1.89,0.96
TSBP1.AS1,10,1.06,0.5,2.2,1.56,0.78
CKAP2L,13,1.058,0.5,2.1,1.45,0.72
CENPA,8,1.056,0.6,1.7,1.04,0.49
IL12A,10,1.056,0.4,2.6,1.97,1.01
CDT1,20,1.053,0.4,3,2.56,1.37
EEF1A2,11,1.052,0.6,1.9,1.24,0.61
IFI27L1,44,1.051,0.2,4.6,5.41,3
TRAV24,17,1.048,0.5,2.2,1.58,0.79
E2F5,198,1.047,0.4,2.7,2.2,1.15
FXYD1,21,1.046,0.4,2.6,2.06,1.07
RPS7P11,20,1.046,0.3,3.2,2.79,1.52
SH3D19,24,1.044,0.3,3.1,2.69,1.45
CDCA7,88,1.042,0.3,3.6,3.46,1.93
IGHM,11860,1.042,0.5,2.1,1.42,0.7
IGHV4.34,139,1.039,0.6,1.8,1.16,0.56
FCGR1A,889,1.035,0.4,2.3,1.67,0.83
SPACA6,8,1.035,0.6,1.7,1.03,0.49
TMSB4XP6,8,1.033,0.6,1.9,1.21,0.59
HTR3A,6,1.032,0.6,1.6,0.96,0.45
NACA3P,10,1.031,0.5,2,1.34,0.66
RPS18P5,138,1.03,0.2,4.6,5.39,3
TPX2,55,1.03,0.3,3.6,3.42,1.9
IGHV3.15,97,1.027,0.4,2.5,1.89,0.96
ZBTB32,15,1.026,0.4,2.3,1.68,0.84
UQCC2,345,1.025,0.2,5.4,7.09,4.09
MEF2B,17,1.023,0.5,1.9,1.22,0.59
IGHV3.21,168,1.022,0.5,2.2,1.59,0.79
CENPF,53,1.021,0.5,2.1,1.42,0.7
COL5A2,7,1.021,0.5,2,1.3,0.64
LINC02245,79,1.018,0.3,3.3,2.95,1.62
ACOT4,28,1.017,0.6,1.7,1.05,0.5
LINC02021,13,1.016,0.5,2,1.35,0.67
TIE1,11,1.012,0.6,1.6,1,0.47
HLA.DOB,641,1.011,0.5,2,1.34,0.66
HSPG2,29,1.01,0.4,2.4,1.84,0.94
CYB5A,302,1.009,0.2,5.4,7.18,4.09
IGF1,10,1.009,0.8,1.3,0.68,0.31
LRRC75A,500,1.009,0.5,2,1.3,0.64
CNTNAP2,162,1.008,0.8,1.2,0.65,0.3
CDKN2A,18,1.007,0.3,3.3,3.07,1.69
EEF1B2P3,96,1.007,0.2,4.8,5.73,3.17
RPS26P6,21,1.007,0.5,1.9,1.27,0.62
DEPDC1,14,1.006,0.7,1.4,0.8,0.37
PLA2G2D,9,1.006,0.6,1.6,1,0.47
POMC,42,1.001,0.3,3.9,4.08,2.3
TLR10,665,1.001,0.4,2.5,1.95,1
FAM20A,28,0.998,0.6,1.6,0.97,0.45
GSTM1,266,0.998,2.3,0.4,0.18,0.07
LINC00689,8,0.998,1,1,0.53,0.24
KIF5A,13,0.997,0.6,1.7,1.02,0.48
VCAN.AS1,122,0.997,0.5,2.1,1.41,0.7
DERL3,86,0.995,0.5,2,1.35,0.67
KIF2C,16,0.994,0.4,2.3,1.73,0.87
RPL24P2,9,0.994,0.5,2,1.29,0.64
DEPDC1B,22,0.992,0.4,2.6,2.08,1.08
KIF15,17,0.992,0.5,1.9,1.24,0.61
TMCC1.DT,21,0.992,0.5,1.8,1.15,0.56
FCRL3,852,0.988,0.4,2.5,1.93,0.99
KRT7,9,0.988,0.6,1.5,0.91,0.43
LINC02391,7,0.988,0.4,2.5,1.89,0.96
SLC1A3,36,0.987,0.4,2.5,1.96,1
IGHV1.2,121,0.986,0.6,1.5,0.9,0.42
TOP2A,136,0.986,0.4,2.4,1.76,0.89
IGKV6D.21,9,0.985,0.7,1.3,0.74,0.34
TRBV10.2,17,0.985,0.6,1.6,0.99,0.46
WDR31,7,0.984,0.7,1.4,0.78,0.36
UBE2T,47,0.983,0.3,3.7,3.62,2.04
MIR4458HG,41,0.982,0.3,2.9,2.43,1.29
DBNDD1,63,0.981,0.5,2,1.33,0.66
LINC00926,595,0.98,0.5,1.9,1.24,0.6
MYBL2,97,0.979,0.4,2.4,1.76,0.89
RPL21P75,135,0.979,0.2,4.2,4.55,2.57
RPSAP15,18,0.979,0.3,3.2,2.86,1.56
TMEM121,16,0.977,0.4,2.3,1.7,0.85
FAUP4.1,28,0.976,0.3,2.9,2.46,1.3
CLIC6,8,0.975,0.6,1.7,1.02,0.48
SEC11C,1039,0.975,0.2,6.1,9.05,5.45
TNFRSF4,42,0.975,0.3,3.4,3.1,1.71
CCL3.AS1,24,0.973,0.5,1.8,1.17,0.57
PLEK2,15,0.972,0.5,2,1.36,0.68
CCR10,25,0.969,0.4,2.2,1.52,0.75
EXO5.DT,9,0.966,0.4,2.5,1.96,1.01
SCOC.AS1,19,0.966,0.4,2.6,2.09,1.08
CPA3,13,0.964,0.7,1.4,0.77,0.36
LIPH,13,0.964,0.6,1.6,0.99,0.46
RPS21,13646,0.96,0.2,4.6,5.34,2.96
MAD2L1,216,0.959,0.3,3.6,3.56,2.01
MSC.AS1,46,0.959,0.3,2.9,2.46,1.3
TNFRSF13B,83,0.959,0.4,2.4,1.83,0.93
ARHGEF4,8,0.958,0.8,1.2,0.67,0.31
SCYL2P1,6,0.958,0.5,1.8,1.11,0.53
CD72,343,0.957,0.5,2,1.36,0.67
RPL5P4,47,0.957,0.2,3.9,4.08,2.29
S100P,38,0.957,0.4,2.4,1.77,0.89
CCL4L2,41,0.956,0.4,2.5,1.88,0.95
IGLV1.51,184,0.956,0.5,2,1.39,0.69
ZNF80,26,0.955,0.6,1.6,0.98,0.46
ANKRD44.AS1,103,0.954,0.3,2.9,2.46,1.31
TXNDC5,2651,0.952,0.3,2.9,2.36,1.25
HLA.DQB2,127,0.95,1,1,0.49,0.22
LINC02968.1,16,0.95,0.5,1.8,1.18,0.57
PLEKHA3P1,8,0.95,0.5,2.1,1.43,0.71
MIR9.1HG,14,0.948,0.5,1.9,1.26,0.62
GAS5,5612,0.947,0.2,4.5,5.14,2.87
IGHV3.7,108,0.947,0.4,2.2,1.57,0.78
NTPCR,452,0.947,0.2,4.7,5.6,3.09
MS4A1,3813,0.942,0.5,2,1.31,0.65
MTARC2,22,0.94,0.6,1.6,0.97,0.46
CD200,215,0.939,0.6,1.6,1,0.47
TNFRSF13C,468,0.939,0.5,1.9,1.24,0.6
H4C12,13,0.937,1,0.9,0.43,0.19
IGHV3.53,33,0.937,0.6,1.7,1.04,0.49
LINC01819,7,0.937,0.7,1.3,0.69,0.31
GNG7,389,0.936,0.3,2.7,2.19,1.14
MAGOH.DT,14,0.935,0.5,1.8,1.17,0.57
TPT1P9,44,0.935,0.2,4.2,4.65,2.62
BTLA,659,0.934,0.4,2.5,1.87,0.95
CASP4LP.1,167,0.934,0.3,3.3,2.94,1.61
RPS3A,126440,0.934,0.2,5,6.28,3.53
SNX29P1,7,0.934,0.8,1.2,0.67,0.31
SLC27A2,19,0.932,0.5,2,1.37,0.68
CIT,19,0.931,0.6,1.7,1.02,0.48
LINC01506,67,0.931,0.4,2.5,1.93,0.99
DSP,132,0.928,1.1,0.9,0.41,0.18
BFSP2,9,0.926,0.4,2.1,1.44,0.72
FLT1,25,0.926,0.4,2.2,1.58,0.78
SPINT1.AS1,9,0.926,0.5,2,1.31,0.64
TXLNGY.1,619,0.926,1.3,0.7,0.33,0.14
PTGDR2,180,0.925,0.4,2.2,1.59,0.79
FAM229B,26,0.924,0.4,2.6,2.05,1.06
RBMS3,8,0.924,0.5,1.7,1.07,0.51
ADAM7.AS1,8,0.922,0.6,1.6,0.95,0.44
LINC00665,100,0.922,0.3,2.7,2.21,1.16
OCIAD2,574,0.922,0.3,3.6,3.45,1.93
GLB1L2,26,0.918,0.4,2.1,1.49,0.74
MT1E,29,0.918,0.4,2.1,1.43,0.71
B3GNT3,7,0.917,0.6,1.5,0.87,0.4
KIFC1,24,0.917,0.3,2.7,2.14,1.12
NEFM,10,0.913,0.5,1.7,1.02,0.48
RPL34P18,10,0.913,0.4,2.2,1.59,0.79
HERC2P3.1,33,0.912,0.6,1.5,0.83,0.39
KIF20A,66,0.911,0.2,5.2,6.79,3.87
TMLHE.AS1,9,0.911,0.6,1.6,0.94,0.44
