Gene,baseMean,log2_FoldChange,pvalue
AL355877.1,4.49,-0.59,0.36304723
CCNL2,9.89,-0.14,0.415079079
PRSS3,4.89,0.49,0.495197481
CEP41,11.12,-0.09,0.418049576
PPRC1,9.89,0.1,0.42820852
LAT2,4.06,-0.73,0.346686491
ANXA2R,6.04,0.35,0.461084333
AL365181.2,4.52,-0.89,0.343038225
NDRG2,12.61,0.05,0.424649906
UBE3D,8.57,0.1,0.430009667
FANCG,8.48,0.27,0.441787575
ADAT2,7.08,-0.1,0.415245677
KCND3,8.39,0.17,0.434846325
TRIM7,9.64,0.2,0.435563716
ARHGEF40,9,0.12,0.430557717
FNDC4,4.92,0.38,0.474149681
SLC16A1-AS1,5.37,0.5,0.487222779
ZNF815P,5.52,0.51,0.487480915
SNORA7B,8.7,0.23,0.439240388
AP001528.1,4.4,0.86,0.596556384
SERPINB11,6.57,-0.27,0.400734278
LRGUK,10.29,-0.09,0.417689595
MRPL40,10.22,0.11,0.428616328
SAP130,10.34,-0.11,0.416270836
CELF2,7.41,-0.23,0.406280166
RPRD1B,10.7,-0.08,0.418750156
SMARCD3,8.24,0.13,0.432546337
RAB3D,11.91,0.09,0.427081345
AL353588.1,4.57,0.52,0.506597908
FAM160A1-DT,7,-0.17,0.409793251
STRADA,5.39,-0.55,0.373960206
FOXE1,9.4,0.13,0.431289353
AC062017.1,5.64,0.22,0.446294581
PRR5L,9.64,-0.11,0.416212696
HIST1H3H,10.24,0.14,0.431153647
C19orf57,6.41,0.26,0.44810514
AP002008.2,2.84,-0.64,0.333897947
UMODL1-AS1,10.03,-0.15,0.41464158
MAL,3.24,-0.68,0.338832823
STIL,11.42,-0.09,0.418168585
LINC00886,8.21,-0.21,0.408159103
AFAP1L1,10.16,0.06,0.426484679
HNRNPLP2,3.77,0.43,0.505624524
ZNF773,7.94,-0.22,0.407048512
SEC11A,11.25,0.09,0.427345663
CLN6,8.7,0.18,0.435107624
PRICKLE2,10.27,-0.1,0.41750185
PPP2CB,12.07,-0.05,0.419961159
SP6,5.97,0.13,0.436483353
CSF2,6.28,-0.7,0.370367988
KRT24,4.81,1.13,0.654890549
AC018529.3,2.03,-1.03,0.284804889
GPR176,5.58,-0.7,0.365731059
DIAPH3,8.51,-0.13,0.414097924
ABLIM2,7.59,-0.13,0.413583094
ATP5PD,11.96,0.09,0.427058754
CXCL8,11.84,-0.23,0.412171047
AC005699.1,4.41,-0.49,0.370451901
AP3S2,9.4,-0.1,0.416237779
HIST1H2AE,11.13,0.14,0.43009876
HAS2,7.09,-0.28,0.401540606
RAPGEF2,11.12,-0.07,0.418718315
MID1,11.16,-0.05,0.419743909
AFDN,13.98,-0.05,0.42087313
PTPRA,12,0.04,0.424910716
INSIG1,11.84,0.07,0.426432408
ENPEP,7.58,-0.24,0.405001033
KCNK3,3.75,-0.87,0.333134633
ZNF449,7.49,-0.22,0.407121157
AC011472.2,4.29,-0.85,0.34258723
RPS20,14.1,0.07,0.425269364
TSTD3,5.58,-0.25,0.399541439
MKI67,12.54,0.09,0.427164455
ANKRD13A,11.52,-0.07,0.41918228
ATP5MG,12.2,0.06,0.425517339
ARPC5,11.94,0.04,0.424596961
SLC2A8,7.9,0.24,0.440785414
ARNT2,9.39,0.22,0.436837612
NPIPA5,5.68,-0.42,0.386148655
AC104506.1,4.44,-0.81,0.347239678
MARCH10,10.51,-0.07,0.418493206
SCD,14.24,0.09,0.426346777
PTGR1,11.62,0.06,0.425326529
TMEM43,10.47,0.1,0.427894765
KHK,6.14,0.35,0.459742553
AKR1B10,8.2,0.3,0.445414844
AC026250.1,4.92,-0.62,0.365578635
AC073195.1,3.03,-1.24,0.298094694
PPM1M,6.8,-0.13,0.412569066
TANC2,11.68,-0.06,0.419388957
DDIAS,8.17,-0.19,0.40981763
ZNF572,7.74,-0.22,0.407130773
SLC30A8,4.79,0.43,0.485389375
GLUL,15.95,0.07,0.424962815
ZEB1,4.78,0.55,0.506928948
ARL6IP6,9.02,0.09,0.428524179
ANKRD20A21P,5.18,-0.37,0.386017465
FAM117B,10.18,-0.08,0.418183126
FAM111B,9.08,0.17,0.434316134
DNAJC6,8.36,-0.09,0.416562315
AC107021.2,3.76,-0.3,0.382222226
TPBG,10.25,0.06,0.426450718
GALNT5,11.12,0.1,0.428291076
OCA2,6.32,0.3,0.453569619
NT5DC2,9.46,0.15,0.431684848
ANP32B,12.03,0.05,0.424747217
HYDIN2,9.05,-0.18,0.412014218
CCL20,9.53,-0.45,0.397764578
POLE2,6.05,0.21,0.443493696
AC009506.1,7.6,-0.14,0.412879365
PPIA,14.03,0.1,0.426545218
COMTD1,7.29,0.27,0.445155757
HIST1H1C,12.68,0.09,0.42680491
CRNDE,10.57,-0.12,0.415887757
SAP30L-AS1,3.88,0.7,0.580376287
HSPA9,13.44,0.05,0.425101952
AL603750.1,4.67,-0.25,0.395533783
AC008464.1,5.08,-0.47,0.378363622
SRSF5,12.49,0.03,0.424352642
SLC25A5,13.23,0.08,0.426183624
ZNF582,6.47,-0.27,0.400454502
NLGN4Y,9.59,-0.1,0.416753071
HIST1H2AB,8.96,0.17,0.433589024
FSCN2,4.19,-0.56,0.361595539
TRMT12,8.9,-0.11,0.41568334
FUBP3,11.52,0.07,0.42620265
USP46-AS1,7.02,-0.17,0.40931085
HIST2H2AC,10.68,0.15,0.430987936
GVQW3,6.75,0.19,0.439877838
RHEBL1,6.82,-0.33,0.397703405
OASL,4.83,0.31,0.465097312
UHRF2,9.38,0.07,0.427444551
RBFA,8.16,0.1,0.429416564
TMEM170B,6.75,-0.36,0.394375033
FOXP1-IT1,2.02,-1.84,0.252418408
MIR1244-3,4.45,0.46,0.498401572
LINC02175,5.39,-0.2,0.402725985
HNRNPM,13.4,0.06,0.424967926
MFSD11,9.66,0.07,0.426897197
HIST1H1B,12.05,0.14,0.429516612
NUDT8,7.57,0.21,0.440131506
TOE1,8.09,0.17,0.435822881
ADA2,12.35,-0.06,0.419871896
ZNF799,7.23,-0.19,0.408251915
TTC23L,8.38,-0.1,0.415475999
WDR82,12.13,0.05,0.425050325
OXTR,9.37,-0.17,0.412932532
HIST1H4C,11.31,0.14,0.429626837
SOD1,13.05,0.06,0.425030591
ETAA1,9.43,-0.07,0.418424757
HIST1H2BK,11.47,0.08,0.426733628
AC092718.3,7.65,-0.19,0.409460564
AL731569.1,2.61,-0.57,0.33651319
C1orf115,8.92,0.12,0.43018524
MAPKAPK5,10.56,0.05,0.425042045
ZFYVE28,8.18,0.11,0.430633012
ULK2,10.94,-0.07,0.419000755
GART,11.37,0.06,0.426072095
ARL9,5.93,0.26,0.451090334
HIST1H2BE,10.38,0.1,0.428321284
RBM3,12.05,0.07,0.426365838
RDH11,10.73,0.09,0.427210941
ZSCAN29,10.13,0.04,0.424564156
RGS20,4.27,0.65,0.544282534
SGK494,4.38,-0.54,0.365962907
AC079610.3,4.24,-0.46,0.372195138
AC123768.3,4.47,-0.61,0.361885505
APOBEC3C,11.08,0.07,0.426345642
GNA14,10.43,-0.1,0.417218956
C2orf15,7.54,0.21,0.439132426
PTGS2,10,-0.35,0.403417958
AC009022.1,4.55,0.52,0.508238124
AL139274.2,3.47,0.75,0.631417618
AC007262.2,3.69,-0.52,0.360557896
TRIP13,10.37,-0.09,0.418090501
ZNF589,8.73,0.09,0.428730576
KIF4A,9.45,0.1,0.42847306
PGAM1,11.44,0.12,0.429180926
IRX2,9.3,-0.1,0.416976405
PPP1R36,8.85,-0.09,0.416899361
ZNF622,10.02,0.07,0.426742486
SLC35D1,10.14,0.08,0.427277864
RNVU1-19,2.73,0.76,0.729812739
VMP1,10.86,-0.06,0.419145586
RPLP1,14.7,0.05,0.424627673
AC137630.3,4.53,0.49,0.501706014
SPRR3,10.25,0.36,0.44402995
POLH,10.23,-0.07,0.418380881
AC244197.2,2.75,-0.97,0.307517541
SCARNA5,9.57,0.48,0.454339975
ZNF525,8.94,-0.18,0.411889014
TET1,7.84,-0.23,0.40712722
HCAR2,9.79,0.08,0.427847654
KIAA1958,10.24,-0.11,0.416942236
BCL2L14,7.79,-0.2,0.408094554
ANKRD10-IT1,3.57,-0.82,0.333474064
CDCA3,7.49,0.38,0.454603015
THAP8,7.09,0.31,0.450922897
ZFP2,5.62,-0.77,0.361171954
ZFP36L2,11.51,-0.04,0.420325853
FLG-AS1,6.1,0.21,0.443999686
AC004808.2,4.72,0.42,0.483775543
ITGB3,4.37,-0.67,0.356275756
MTCH2,11.6,0.07,0.426511613
SLFN12L,6.29,0.19,0.44055869
HMGN2,13.07,0.06,0.425324742
MANBA,9.87,0.08,0.427406553
LRRIQ4,4.62,-0.19,0.399959511
AC093911.1,5.21,0.43,0.478636271
FANCD2,9.65,0.12,0.429600968
EME2,7.31,-0.21,0.406965153
RRM2P3,6.86,0.21,0.44206288
AL391001.1,3.57,0.81,0.641515461
PDHB,11.25,0.06,0.426109103
SNHG12,6.59,-0.35,0.394961562
AC139256.2,4.78,0.62,0.520801515
CSNK1A1,13,0.04,0.424437204
AC009271.1,4.15,0.4,0.491038464
MRPL32,9.73,0.08,0.42747637
SNX2,11.48,-0.05,0.419824214
HERC2P3,6.34,-0.2,0.406093256
LIN9,8.24,-0.13,0.413816636
RNF38,10.69,-0.1,0.417348727
DGLUCY,10.84,0.07,0.426789732
NOLC1,12.32,0.04,0.424851615
CALU,11.27,0.05,0.425235325
LGR6,3.88,-0.46,0.367702212
AL121895.2,4.44,-0.65,0.358584395
AC026271.1,7.76,-0.18,0.409857321
TNFRSF11B,5.38,-0.55,0.373311886
PHC1P1,6.46,0.26,0.447237034
SNTB2,11.44,-0.06,0.419985503
MYO16,4.24,0.39,0.486235345
SDHAF4,9.68,-0.16,0.413795987
RUNX1,13.63,-0.06,0.420130475
TTL,10.44,0.08,0.42676719
MLEC,12.72,0.04,0.424171915
TLDC2,5.64,0.16,0.43927641
MRPS11,9.62,0.12,0.429622633
CEACAM5,12.58,0.1,0.427313269
AP001350.1,3.9,0.88,0.641366545
SSPO,2.85,0.64,0.638520364
CAP1,12.72,0.04,0.42478194
SNTA1,6.54,-0.38,0.393171381
RHBDL3,4.95,0.32,0.464430984
AC068768.1,7.39,0.16,0.435164628
BTF3L4P2,3.91,-0.63,0.353159226
AC002451.1,5.57,-0.46,0.381881506
FGF5,3.29,-1.18,0.306429248
TMEM61,6.43,0.25,0.446982766
ACSM3,6.79,-0.42,0.391432503
CSTF2,10.36,0.08,0.427178044
PCNA,11.09,0.12,0.428678185
AL080243.2,3.61,1.02,0.74082987
FADS1,11.33,0.09,0.4269656
S100A14,12.16,0.1,0.42715412
COA4,10.36,0.06,0.42565598
LAPTM4B,10.93,0.04,0.425133758
JPT1,11.02,0.1,0.428342931
KRT16,8.91,0.23,0.437910459
ABCC9,8.69,-0.17,0.411790472
CREB5,5.41,-0.75,0.360485741
RSPRY1,10.8,-0.07,0.418603448
TRPM8,4.01,-0.46,0.369854919
NUDT13,6.67,-0.28,0.399797274
AP000769.1,3.75,-1.16,0.31546652
RPRD2,12.31,-0.08,0.418946063
NEDD4L,12.44,-0.07,0.419436076
LINC00504,4.14,0.34,0.47914238
AL390879.1,7.41,-0.15,0.411413713
MON1B,11.49,0.03,0.424165771
CLIC6,12.81,0.02,0.423553982
RMDN1,10.31,-0.04,0.420797028
NQO2,9.02,0.14,0.431452702
CD9,13.95,0.06,0.425154552
FSTL3,7.23,-0.32,0.399683184
KIAA1024,5.06,-0.44,0.379439989
POLR3A,10.26,0.06,0.425685422
PLP2,12.06,0.06,0.425228084
INPP1,9.82,0.08,0.427031056
HADHA,12.71,0.05,0.424938127
YAE1D1,8.28,0.17,0.43452855
RLN1,4.49,0.36,0.47857447
HLA-DQA1,8.19,-0.14,0.412659631
MIR4521,5.35,0.46,0.482321001
LRRC37A4P,9.43,0.12,0.430188646
KARS,11.93,0.03,0.42378486
TRDMT1,8.37,-0.13,0.413507424
THOC3,10.31,0.15,0.431684933
ALOX15B,9.83,0.2,0.434895092
AL137145.2,3.34,-0.79,0.332521413
FAM172BP,4.25,-0.42,0.375244719
LINC00174,7.34,-0.17,0.409372492
FRY,10.22,-0.16,0.413887393
ZNF778,8.08,0.08,0.427993605
MED8,9.02,0.06,0.426108408
MYL6B,9.54,0.11,0.429467261
PRIM2,9,0.12,0.430116809
TCF7L2,10.67,0.07,0.426489799
AL138895.1,4.93,0.54,0.501979034
C16orf72,11.91,-0.03,0.420881049
MCM6,9.76,0.13,0.430554793
CFAP61,11.14,-0.06,0.419232741
SPIN1,11.33,-0.04,0.420625842
TCEAL1,8.92,0.17,0.434548773
BTF3,13.59,0.05,0.425074688
AC099489.1,6.34,0.31,0.454609982
U47924.2,6.57,-0.26,0.400969362
GPR89B,6.87,0.28,0.447628801
CELSR3,6.9,0.26,0.446150253
NLRP2,9.92,0.13,0.430423459
MAT1A,7.28,-0.25,0.403615054
PAM16,4.23,0.57,0.528017655
PAK1IP1,8.99,0.18,0.435139975
AC074011.1,3.13,-0.58,0.346428385
ZNF74,8.35,0.1,0.429259287
HNRNPKP4,4.68,0.52,0.50333496
MTMR8,6.5,-0.17,0.408298776
EEF2KMT,7.87,0.15,0.433583526
MED9,8.76,0.17,0.434312376
ACVR2B,11.09,-0.07,0.41939436
NR6A1,8.27,0.15,0.433035325
TTC8,9.81,-0.05,0.419348094
GLIS3,11.7,-0.07,0.418911101
TPM3,13.21,0.04,0.424115167
RBM33,11.04,0.07,0.426004984
MRPS15,10.1,0.13,0.430281528
HMGB3,11.94,0.09,0.427070279
TYW1B,5.89,-0.52,0.379505856
AC139769.1,10.02,-0.19,0.412477003
CYP2F2P,5.66,-0.3,0.394433043
DHX15,12.02,0.06,0.425560885
PDK3,8.91,-0.14,0.414272392
KLHL41,6.16,-0.35,0.393231343
TYMS,9.51,0.17,0.433358954
SNORD3A,10.7,0.29,0.43956431
AC108673.3,4.72,-0.68,0.359321789
SNORD17,7.96,0.36,0.451344975
PBX2,11.4,0.08,0.427103027
DXO,7.75,0.26,0.443936709
GUCY1A1,8.68,0.18,0.435139008
KIAA0319,9.55,-0.12,0.415183734
CD99L2,10.27,0.11,0.428586772
APBA1,7.11,-0.28,0.401105626
CAGE1,3.21,-0.19,0.39211727
C3orf35,3.09,-0.85,0.321664843
DPYSL2,11.13,0.09,0.427750545
EIF4EBP3,5.51,0.21,0.445716098
LMO7,12.74,0.06,0.425089159
AC009133.1,6.81,0.15,0.436538924
ALKBH1,8.09,-0.06,0.41843058
TRPM6,5.86,-0.19,0.405705801
RAB11B-AS1,6.92,0.36,0.456743902
LMO3,5.02,-0.32,0.39008809
ARL4AP2,3.47,-0.37,0.371258871
SPTY2D1OS,4.97,-0.41,0.382589786
SNORA54,7.14,0.27,0.445675782
WHAMMP3,5.01,-0.27,0.39463983
ABCB11,8.22,0.15,0.433098354
KIF5C,6.04,0.2,0.4424182
FDPS,12.45,0.19,0.432056049
SRP14-AS1,7.43,-0.15,0.411950294
MPDZ,11.9,-0.05,0.420565319
USP30,9.35,-0.1,0.416204682
EIF4EBP1,8.46,0.17,0.43520879
AL359265.3,3.91,-0.99,0.328272949
LINC00592,3.3,0.68,0.613967377
UGT1A1,5.42,0.44,0.477396486
WDR4,8.04,0.11,0.430776607
RIOK1,9.74,0.1,0.429107355
AL512625.3,6.25,0.36,0.460129199
POLE3,10.98,0.09,0.427463545
MAEA,10.9,0.07,0.426407676
ZNF616,9.18,-0.13,0.414695896
BLACAT1,5.33,-0.49,0.37797747
PLCB3,10.6,0.09,0.427268165
MAIP1,8.43,0.14,0.432566605
SERHL2,6.65,-0.31,0.397533355
RNF212,6.35,-0.24,0.401831345
MT-TS1,4.38,-0.63,0.35878296
SMIM10L2B,4.39,-0.57,0.363585478
TMEM178B,10.01,0.09,0.428332096
CPS1,7.58,-0.19,0.408866726
TNNC2,4.29,-0.78,0.346611557
AC100810.1,7.85,0.12,0.43226415
PIP4K2A,9.35,-0.1,0.416604713
PDE1A,5.56,-0.25,0.398224239
YBX1,14.15,0.06,0.425393872
MAK,10.73,-0.1,0.417368306
AC090587.1,4.58,-0.58,0.364744066
SERPINB7,8.56,-0.14,0.413508966
AL390208.1,5.05,-0.62,0.365572945
BAALC-AS1,8.92,0.15,0.433138609
CES1P1,3.95,0.64,0.555600226
ADAMTS7,4.6,-0.61,0.36316555
AL353593.1,4.65,-0.39,0.380635711
AC025594.2,4.16,-0.9,0.336884384
PORCN,7.9,0.09,0.429878086
BTG2,11.67,0.12,0.429049346
RIOX2,10.84,0.05,0.425695712
CSF3,5.74,-0.89,0.3545753
AC010998.3,6.31,0.2,0.441521047
ELP3,10.13,-0.05,0.419829441
PTPN21,10.33,-0.04,0.420800588
IRX6,5.85,0.51,0.48409783
SEL1L3,12.11,-0.04,0.420440197
HOGA1,6.92,-0.24,0.404454218
AP1S2,6.42,0.15,0.437451484
C16orf86,5.66,-0.22,0.402470041
EPHA1,9.6,0.19,0.434538345
MTMR1,11.39,0.05,0.425207956
MBTPS1,12.9,-0.04,0.420574675
VANGL1,11.49,0.03,0.424501639
TMEM189,11.11,0.1,0.427942094
CNTNAP3,9.38,-0.11,0.415633666
CDC37L1-AS1,4.74,0.32,0.467618885
DISC1,7.83,-0.09,0.415681762
MEGF10,7.66,-0.09,0.416018994
AL354714.2,3.79,0.67,0.575793121
PDGFD,5.54,-0.53,0.375911885
DIRAS3,3.72,0.45,0.515267849
LZTS1,7.94,0.19,0.43665505
APEX1,11.95,0.08,0.426239928
AHCY,11.47,0.06,0.425361925
MUC12,8.14,-0.31,0.401795936
HIST1H3B,11.51,0.15,0.430378311
EDN2,3.94,0.97,0.678731067
RABEPK,8.99,0.07,0.427219088
ZFAND4,10.21,-0.14,0.414581324
RFFL,10.03,-0.09,0.41718349
AC090510.1,3.67,-0.94,0.326763303
RANGRF,7.71,0.15,0.433817284
IVL,7.03,0.41,0.460717197
TTC34,7.87,-0.2,0.408695732
TXN2,10.86,0.1,0.428428706
FN1,7.73,-1.13,0.357570817
GAS5-AS1,5.71,-0.63,0.371325652
CCDC3,8.67,0.11,0.430620133
CDKN3,7.21,0.27,0.446563791
ADM,7.5,-0.33,0.399318364
KLHDC9,10.31,-0.09,0.417694325
C3orf58,10.3,-0.13,0.415909251
RBSN,10.52,0.06,0.425980779
TMEM44,9.21,0.08,0.428181373
UBLCP1,10.61,-0.1,0.416955143
THOC5,10.24,0.07,0.427031814
EVPLL,4.52,-0.46,0.373409022
TMEM220,7.15,0.13,0.432986258
AL645728.1,7.1,-0.25,0.404186597
AC073585.1,4.89,-0.52,0.372330385
CATSPERB,9.04,-0.17,0.412590371
AC107983.2,3.87,-0.54,0.360914864
AC034243.1,4.04,-0.71,0.347823347
USP24,12.11,-0.05,0.420601067
RPL14,14.19,0.02,0.4237381
GAS1RR,5.41,0.36,0.467761988
RBM24,10.5,-0.08,0.418677007
FGD2,5.13,0.33,0.466042811
CD83,6.05,-0.38,0.389962455
NR2F1-AS1,6.27,0.15,0.436515527
EIF5AL1,4.6,0.22,0.454106976
GPATCH4,9.75,0.15,0.431409059
RRN3P3,5.62,0.34,0.462311431
RORC,8.91,-0.09,0.416509984
SNUPN,8.8,0.19,0.435225103
AC234582.1,9.36,0.07,0.427035323
ATP6V0A4,8.89,-0.1,0.415878599
BCO1,4.65,0.58,0.517833445
CXCL10,4.1,1.15,0.736881433
TNF,4.5,-0.74,0.351478787
AC104187.1,3.1,0.43,0.533064933
RHOF,6.41,0.28,0.450946548
HMCN2,4.74,-0.45,0.376123782
LRRC66,3.15,0.44,0.53095926
LINC00852,4.78,0.58,0.513084259
CDPF1,6.86,-0.23,0.404510872
R3HDM2,10.82,0.05,0.425343844
CROCCP2,9.23,-0.14,0.41455427
ATG7,10.05,0.04,0.424966093
EOGT,10.8,-0.13,0.415515264
RBM47,13.35,-0.04,0.421216459
SNORD100,3.75,0.47,0.518608924
YARS2,8.86,-0.17,0.411978481
CC2D1B,9.98,0.06,0.426555051
FAM131B,7.74,0.25,0.443104331
CXorf57,9.46,-0.08,0.41784904
TOMM40L,8.81,0.17,0.434244618
ACE2,7.69,-0.13,0.413205921
LYPD3,9.18,0.16,0.433076422
ITGB6,10.18,-0.16,0.413490172
MUTYH,8.74,0.09,0.428716676
TNFRSF10A,9.53,0.1,0.429252236
LAMC1,11.78,-0.03,0.421186264
AP000808.1,5.73,0.24,0.449778263
ACACA,12.78,0.02,0.423858593
ULBP2,4.65,-0.51,0.370351203
CLK1,9.6,-0.09,0.416943134
ACCS,7.51,-0.14,0.412767001
APOBEC3B,7.63,0.32,0.448519572
B4GAT1,8.23,0.2,0.437389888
FAM167B,3.84,0.69,0.578576873
MCM10,7.68,0.2,0.438513489
YPEL5,11.96,-0.06,0.420100233
BOC,7.43,-0.18,0.408828814
MIR200B,3.02,-0.66,0.336232017
SPAG8,10.61,-0.12,0.415912374
CLYBL,7.43,0.18,0.436799929
CYP20A1,9.98,-0.06,0.419220149
LINC00467,9.39,0.06,0.425970215
HIST1H2BPS2,5.88,-0.3,0.396544837
LDLRAD3,6.95,0.26,0.445364839
TRIM4,10.39,0.04,0.42488978
BCAT1,6.95,-0.37,0.395391603
CCDC68,6.61,-0.21,0.404867184
ARID1B,12.97,-0.04,0.420585761
ILKAP,9.04,-0.1,0.416816888
TM2D2,9.76,0.06,0.426243491
SP4,8.94,-0.12,0.415521509
FLRT2,5.21,-0.36,0.387695419
GINS1,8.75,0.16,0.43360985
BHLHE40-AS1,5.8,-0.4,0.387758472
NUAK1,9.99,-0.07,0.41865854
GCC1,10.28,-0.02,0.421158495
SCRN1,12.27,0.04,0.424544299
RPSAP58,8.39,0.13,0.431411636
HIST1H2AL,9.25,0.25,0.439147622
L3HYPDH,6.26,-0.26,0.400536184
FGFBP1,11.12,0.21,0.43362093
DNPH1,10.72,0.12,0.42963114
AC026704.1,7.97,0.15,0.433439821
NPTN,12.39,-0.04,0.420797847
S100A6,14.75,0.08,0.425551228
AADACP1,9.39,-0.11,0.415640997
TUBA3FP,6.77,-0.28,0.401136853
SMIM10,4.21,-0.26,0.390986921
IRF5,8.7,0.09,0.429207556
HIST1H3J,9.44,0.22,0.436758523
AL355816.2,6.09,-0.39,0.389389656
FANCF,10.27,-0.09,0.41767535
DNAJC1,9.93,0.06,0.426575008
SEPT7P2,7.22,-0.22,0.406081088
HIST1H2BB,9.02,0.13,0.431211672
KRT13,11.45,0.31,0.439518799
NUP58,11.39,-0.11,0.417512829
NSMAF,9.95,-0.11,0.416408918
AL136295.6,3.76,-0.49,0.362570082
POLR1E,9.24,0.12,0.430779212
PBX3,8.68,-0.19,0.410121153
ZNF227,9.28,0.1,0.429434491
STRN3,10.88,-0.1,0.417439487
PWP1,10.29,0.07,0.427014734
AKAP6,10.94,-0.07,0.418654417
MNX1,3.5,1.08,0.793839966
SNX18P9,3.24,0.27,0.481474614
LINC01344,6.64,0.27,0.448193964
FAM103A1,9.22,0.08,0.427321237
SLC35G2,4.37,0.43,0.493984606
SPRR1B,10.25,0.26,0.437679965
RETREG1,8.02,-0.15,0.41270865
NXPH4,6.44,0.23,0.444854329
LINC01446,3.7,-0.69,0.346000447
DUSP6,9.04,0.15,0.432998223
ACSM1,6.97,0.21,0.441772804
TMEM202-AS1,5.11,-0.18,0.40297828
STK25,10.64,0.07,0.426132713
ACYP1,9.45,0.09,0.427841237
SNORA73B,11.98,0.28,0.43714878
AL359955.1,5.48,-0.49,0.379071307
ZBTB18,11.77,-0.07,0.418933145
FAM161B,9.73,-0.05,0.419711724
KCNMB3,4.63,0.4,0.482748599
DYRK2,11.45,-0.07,0.418830359
EPB41L4A-AS2,6.03,0.18,0.440975789
AC011416.3,6.36,-0.29,0.399116839
AC114956.3,4.3,-0.4,0.378290635
MYO15A,5.31,-0.33,0.390158759
ACKR4,5.66,-0.29,0.395240981
KLF10,10.76,-0.12,0.416700049
SCX,4.99,-0.42,0.381209559
MRPL57,10.19,0.06,0.425706517
MYL12B,13.16,0.05,0.424860999
TGFBI,10,-0.18,0.412990768
DTWD2,9.12,-0.11,0.416257571
SOCS2,6.04,-0.56,0.377182318
TPM4,13.05,0.09,0.426388827
FIGNL1,9.07,0.22,0.437812535
CADM2,5.96,0.2,0.443398741
SRGAP3-AS4,3.85,0.66,0.570092631
ZFYVE26,10.76,0.04,0.425173451
RBM6,11,0.04,0.425118031
SLC27A4,8.57,0.15,0.433584853
KIAA0825,10.43,-0.12,0.416516439
MYC,10.09,0.08,0.427690565
CCDC183-AS1,6.64,-0.21,0.404940121
C3orf70,4.69,-0.44,0.376580867
SIRT4,4.69,-0.52,0.370583288
TMC7,5.95,-0.11,0.412970084
GLTP,11.74,0.08,0.426972357
DRD2,4.92,0.37,0.474496762
UQCC1,10.38,0.06,0.426402698
TIMELESS,10.6,0.12,0.429336809
FAM207A,8.83,0.06,0.426183613
MAN1B1-AS1,5.48,-0.23,0.40030229
AP001922.5,3.45,0.3,0.484417358
GRHL2,12.74,0.04,0.424778645
GRHPR,10.7,0.06,0.426289034
LINC01301,5.42,-0.57,0.373334648
GAREM1,10.57,-0.07,0.418516832
AP001350.2,7.24,-0.17,0.410201576
SOCS1,5.33,-0.38,0.387338273
ARL17B,5.09,0.35,0.469486162
PWWP2A,9.95,-0.07,0.418646584
RFTN1,7.41,-0.2,0.408359886
BDNF,4.6,0.33,0.471877955
ZNF788,7.85,-0.18,0.409998739
ASRGL1,7.62,-0.09,0.415985318
CTNND1,14.26,0.03,0.423869071
TMEM270,4.17,0.64,0.545991625
TMEM71,8.15,0.14,0.432919484
LINC00992,5.4,0.59,0.503356785
SYS1,10.48,0.03,0.423942923
LMNTD1,9.47,-0.12,0.415515832
TAGLN3,5.81,0.4,0.467888166
NR4A2,10.53,-0.12,0.416573756
CTSF,8.8,-0.12,0.414987538
FAM3D,12.18,0.11,0.427957645
C12orf76,9.42,0.06,0.425959696
C10orf143,7.04,-0.15,0.410863314
GCNT4,8.3,-0.21,0.408308682
PFN2,12.83,-0.05,0.420416313
SLC35A1,7.6,0.14,0.433160902
ADAM19,6.53,-0.64,0.37559122
ZNF626,8.95,-0.13,0.414507597
EIF4EP2,4.98,0.32,0.466074838
FICD,7.91,-0.14,0.412319156
AGER,4.24,-0.68,0.353327932
PPCDC,7.44,0.25,0.443435273
OSBPL3,11.14,-0.08,0.418562552
TXNRD3,8.53,0.12,0.431005802
AC138866.1,5.43,-0.38,0.387906211
RBM34,3.92,0.18,0.451790051
DNAH11,12.94,-0.09,0.418983328
L3MBTL3,8.26,0.13,0.431551426
ERVMER34-1,5.27,0.46,0.483282746
LRRC74B,8.88,-0.11,0.415676358
GTF2IP7,6.47,-0.27,0.399885625
CCDC167,7.83,0.2,0.43818436
ZMAT3,11.22,-0.1,0.417259089
AC096536.3,5.21,-0.45,0.379674387
AL391684.1,3.48,-0.56,0.353820174
AL358472.2,3.79,-0.6,0.354645333
RUNDC3B,7.57,-0.29,0.402580681
AC068790.3,#NUM!,#NUM!,#NUM!
TRIM26,11.38,0.07,0.425903539
SCARNA22,4.7,-0.41,0.379900529
GTF2IP4,10.74,0.08,0.426650769
NDUFB9,11.25,0.1,0.427524881
SPATA4,9.26,-0.09,0.417142932
THEMIS2,5.86,-0.2,0.404218564
GDE1,11.68,-0.03,0.421175128
RPL12P4,5.86,0.35,0.461782649
LINC00900,4.06,-0.74,0.346477759
GOLT1A,5.04,0.29,0.460230361
HCG18,9.83,-0.09,0.417074525
FAM198B-AS1,6.26,-0.31,0.396112417
CBWD1,9.96,0.11,0.428775881
ZNF34,6.58,-0.26,0.401530573
ARAF,10.31,0.1,0.428743436
AC005261.3,7.16,-0.2,0.407386878
ZNF32,8.84,-0.12,0.415441885
PCTP,8.79,0.14,0.432606332
AHI1,10.05,-0.1,0.417391993
ZNF319,9.11,0.07,0.427583819
