Gene,baseMean,log2_FoldChange,pvalue
PECAM1,3.44,-0.34,0.37632395
PRKAR2A-AS1,7.4,0.05,0.427143409
ZNF239,3.89,0.28,0.473407404
OGFOD1,10.05,-0.02,0.42150558
DNM2,12.33,0.03,0.423748104
SCOC,10.85,-0.07,0.418622694
SLC4A1AP,10.56,-0.02,0.421198597
GJB3,10.15,0.05,0.425142517
LZIC,10.21,-0.04,0.420778986
AC027290.2,4.94,0.1,0.434856417
HS2ST1,10.19,-0.04,0.420029888
GTF2A1,11.39,-0.06,0.41997509
ZDHHC9,10.34,0.04,0.424527336
CPT2,10.23,-0.05,0.420230572
AP002360.1,7.24,-0.03,0.420276305
EPS8L2,12.1,0.03,0.424409636
NRGN,5.76,0.14,0.438292661
GRN,11.78,0.04,0.424295432
PRKCD,11.57,0.03,0.424155229
LRRC3,5.2,-0.18,0.403975313
ASAH2,6.59,0.09,0.430808477
SPTLC1,11.27,0.04,0.424369136
STX5,9.87,-0.07,0.418616012
RAB5B,12.73,0.02,0.423863477
STK32C,8.62,-0.06,0.418256705
ZNF670,6.55,-0.08,0.416345859
IDH3A,11.16,-0.01,0.421789468
CEP104,11.52,-0.03,0.421487501
DOCK4,10.53,-0.03,0.421017075
ITPRIPL2,11.43,-0.02,0.421643266
